                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0696,                 8.7611,                 1.7975,                0.00052,                0.37647,                0.00043,                0.00014,                  1.488,                    inf,                 7.3464,             0.00041577,             0.00041577,             0.00041577
                      2,                 1.7093,                  2.509,                 1.5604,                0.09845,                0.03529,                0.01745,                0.00614,                 1.2203,                  2.263,                0.98893,              0.0008242,              0.0008242,              0.0008242
                      3,                 1.6471,                 2.0574,                 1.5169,                0.25667,                0.04118,                0.06182,                0.01992,                 1.1813,                 1.8929,                0.96415,              0.0012244,              0.0012244,              0.0012244
                      4,                 1.4767,                 1.5859,                 1.3916,                0.06103,                0.22941,                0.05829,                0.01772,                 1.2011,                 1.7966,                0.97243,              0.0012129,              0.0012129,              0.0012129
                      5,                 1.3377,                 1.2889,                 1.3026,                0.20473,                0.18824,                0.11836,                0.03927,                 1.2318,                 1.5012,                 1.0699,              0.0012005,              0.0012005,              0.0012005
                      6,                 1.2776,                 1.1635,                 1.2328,                0.60044,                0.17059,                0.17978,                0.05734,                 1.1537,                 1.6465,                0.98903,              0.0011881,              0.0011881,              0.0011881
                      7,                  1.214,                0.98418,                 1.1869,                0.40418,                0.18824,                0.18842,                0.07888,                 1.0625,                 1.5013,                0.89723,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.1432,                0.89127,                 1.1393,                0.35665,                0.07059,                0.07242,                0.03776,                 1.1688,                 2.1808,                 1.0111,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.1072,                0.85295,                 1.1246,                0.22946,                0.11563,                 0.0783,                0.02782,                  1.159,                 1.7378,                 1.0193,               0.001151,               0.001151,               0.001151
                     10,                 1.0627,                0.74158,                 1.0919,                0.36175,                0.11765,                0.10477,                0.05477,                  1.096,                 2.1211,                0.91432,              0.0011386,              0.0011386,              0.0011386
                     11,                   1.01,                0.72227,                 1.0432,                0.37923,                0.22353,                0.17692,                0.06926,                 1.1381,                 1.5665,                0.98915,              0.0011263,              0.0011263,              0.0011263
                     12,                0.98832,                0.66081,                 1.0371,                0.26316,                0.11765,                0.16471,                0.06038,                 1.1375,                   2.37,                 0.9499,              0.0011139,              0.0011139,              0.0011139
                     13,                0.92123,                0.59979,                 1.0011,                0.38757,                0.26471,                0.21284,                0.08453,                 1.1426,                 1.5791,                 1.0064,              0.0011015,              0.0011015,              0.0011015
                     14,                0.91085,                0.56099,                0.97921,                0.58182,                0.25882,                 0.3114,                0.11065,                 1.1093,                 1.5646,                0.96507,              0.0010891,              0.0010891,              0.0010891
                     15,                0.85592,                0.56436,                0.95189,                0.39628,                0.18235,                0.16707,                0.06147,                 1.2048,                 1.9111,                 1.0711,              0.0010768,              0.0010768,              0.0010768
                     16,                0.82405,                0.53212,                0.90023,                0.49088,                0.15294,                0.20431,                0.09722,                 1.1118,                 1.8054,                0.97958,              0.0010644,              0.0010644,              0.0010644
                     17,                0.79079,                0.49764,                0.90584,                 0.0856,                0.12941,                0.08231,                0.03614,                 1.1848,                 2.2915,                 1.0864,               0.001052,               0.001052,               0.001052
