                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.0244,                 7.6719,                 4.5373,                0.09935,                  0.094,                0.02323,                 0.0089,                 3.8306,                 12.641,                 3.3401,               0.070027,              0.0033304,              0.0033304
                      2,                 4.2984,                 5.6031,                 3.9901,                 0.2844,                0.13945,                0.09709,                0.03215,                 3.6731,                 15.712,                 3.1797,               0.040025,              0.0066621,              0.0066621
                      3,                 4.0224,                 5.0528,                 3.7978,                0.10543,                0.08473,                0.02872,                0.01097,                 3.7331,                 9.2831,                 3.2537,               0.010017,              0.0099873,              0.0099873
                      4,                 3.7975,                 4.5896,                 3.5865,                0.21744,                0.08517,                0.07706,                0.03222,                 3.6372,                 5.9481,                 3.1253,               0.009978,               0.009978,               0.009978
                      5,                 3.6243,                  4.335,                  3.448,                0.23855,                0.17917,                0.12666,                0.04354,                 3.6091,                  6.893,                 3.1198,               0.009961,               0.009961,               0.009961
                      6,                 3.4836,                  4.047,                  3.359,                0.02634,                0.02648,                0.01902,                0.00766,                 4.6697,                 7.9702,                 4.2943,              0.0099391,              0.0099391,              0.0099391
                      7,                  3.329,                 3.6995,                 3.2372,                0.34611,                0.14872,                 0.1371,                 0.0637,                 3.5653,                 8.2886,                 3.1361,              0.0099123,              0.0099123,              0.0099123
                      8,                 3.2948,                 3.4343,                 3.1866,                0.37364,                0.20653,                0.17886,                0.07622,                 3.5737,                 6.7413,                 3.1376,              0.0098808,              0.0098808,              0.0098808
                      9,                 3.1533,                 3.1962,                 3.0962,                   0.48,                0.18491,                0.21279,                0.11445,                 3.4049,                 5.6989,                 3.0407,              0.0098445,              0.0098445,              0.0098445
                     10,                 3.0952,                 3.0438,                 3.0603,                0.45726,                0.23169,                0.25172,                0.13242,                 3.5862,                 5.8027,                 3.1469,              0.0098035,              0.0098035,              0.0098035
                     11,                 3.0636,                  2.812,                 3.0272,                0.30119,                0.19771,                0.16202,                0.07565,                 3.6578,                 12.518,                 3.2379,              0.0097577,              0.0097577,              0.0097577
                     12,                 3.0093,                  2.606,                 2.9891,                0.51401,                0.24598,                0.26041,                0.13885,                 3.5884,                 5.7558,                 3.2082,              0.0097074,              0.0097074,              0.0097074
                     13,                 2.9282,                  2.435,                 2.9182,                0.43653,                0.24274,                0.23301,                0.10942,                 3.7901,                 6.9449,                 3.3729,              0.0096524,              0.0096524,              0.0096524
                     14,                 2.8245,                 2.4017,                 2.8589,                0.53451,                0.20117,                0.22365,                0.12376,                 3.5783,                 6.0132,                 3.1996,              0.0095929,              0.0095929,              0.0095929
                     15,                 2.7587,                 2.3365,                 2.8105,                0.52036,                0.27361,                0.29119,                0.16407,                 3.7196,                 6.5487,                 3.3985,              0.0095289,              0.0095289,              0.0095289
                     16,                 2.7865,                 2.2862,                 2.8335,                0.48214,                0.21315,                0.24598,                0.12573,                 3.6305,                 5.3657,                 3.2828,              0.0094605,              0.0094605,              0.0094605
                     17,                 2.6907,                 2.1713,                 2.7738,                0.46144,                0.23654,                0.23669,                0.11864,                 3.8421,                 5.7133,                 3.5297,              0.0093877,              0.0093877,              0.0093877
                     18,                 2.6407,                 2.0156,                 2.7433,                0.43786,                0.26169,                0.28616,                0.15525,                 3.5718,                 5.9784,                  3.217,              0.0093107,              0.0093107,              0.0093107
                     19,                 2.5363,                 1.9392,                 2.6648,                0.55711,                0.15137,                0.20803,                0.10473,                 3.9491,                 7.2033,                 3.5981,              0.0092294,              0.0092294,              0.0092294
                     20,                  2.487,                 1.8696,                 2.6427,                0.48418,                0.25103,                0.28545,                0.14765,                 3.6652,                 5.6564,                 3.3194,               0.009144,               0.009144,               0.009144
                     21,                 2.4698,                  1.842,                 2.6092,                0.44831,                0.24581,                0.25633,                0.13105,                 3.6341,                 6.1866,                 3.2887,              0.0090546,              0.0090546,              0.0090546
                     22,                 2.5188,                 1.7957,                 2.6465,                0.42704,                0.23654,                0.23256,                0.11685,                 3.7035,                 6.3162,                 3.3815,              0.0089613,              0.0089613,              0.0089613
                     23,                 2.3652,                 1.7137,                  2.539,                 0.5113,                0.26523,                0.28998,                0.16378,                 3.5053,                  6.221,                 3.2414,               0.008864,               0.008864,               0.008864
                     24,                 2.3309,                 1.5943,                 2.5354,                0.47888,                0.25728,                0.25739,                0.13007,                 3.6062,                 6.1716,                 3.2781,               0.008763,               0.008763,               0.008763
                     25,                 2.2604,                 1.5788,                 2.4957,                0.53119,                0.24492,                0.27396,                0.15154,                  3.715,                 5.8822,                 3.3839,              0.0086584,              0.0086584,              0.0086584
                     26,                 2.2631,                 1.5207,                 2.4673,                0.48915,                0.25684,                0.26714,                0.14803,                 3.6909,                 5.7907,                 3.3556,              0.0085502,              0.0085502,              0.0085502
                     27,                 2.1969,                 1.4686,                 2.4305,                0.46573,                0.27121,                0.24474,                0.12184,                 3.7867,                 6.5801,                 3.5446,              0.0084385,              0.0084385,              0.0084385
                     28,                 2.1167,                 1.4556,                 2.3962,                0.51902,                0.25728,                0.27217,                0.14328,                 3.7066,                 5.9524,                 3.4663,              0.0083235,              0.0083235,              0.0083235
                     29,                 2.1432,                 1.4138,                 2.4155,                0.46892,                0.25199,                0.24737,                0.11977,                  3.808,                 6.2632,                 3.5441,              0.0082052,              0.0082052,              0.0082052
                     30,                 2.0846,                 1.3675,                 2.3681,                0.51022,                0.23433,                0.24801,                0.12704,                 3.9036,                 6.4278,                 3.6351,              0.0080839,              0.0080839,              0.0080839
                     31,                 1.9915,                  1.261,                 2.3129,                0.53772,                0.23963,                0.26393,                0.13895,                 3.8321,                 6.0075,                 3.5269,              0.0079595,              0.0079595,              0.0079595
                     32,                 1.9518,                 1.2247,                 2.2891,                0.55331,                0.25375,                0.28146,                0.14972,                 4.0285,                 5.9818,                 3.7491,              0.0078323,              0.0078323,              0.0078323
                     33,                 1.9237,                 1.2092,                 2.2628,                0.45906,                0.25463,                0.26376,                0.12819,                 3.8672,                 5.9634,                 3.5881,              0.0077023,              0.0077023,              0.0077023
                     34,                 1.8388,                 1.1179,                 2.2206,                0.46507,                0.27096,                0.25668,                 0.1289,                 3.8712,                 6.0705,                 3.6269,              0.0075698,              0.0075698,              0.0075698
                     35,                 1.8022,                 1.0927,                 2.1794,                0.56616,                0.25993,                0.29847,                0.16314,                 3.8511,                 5.7261,                 3.7009,              0.0074347,              0.0074347,              0.0074347
                     36,                 1.7637,                 1.0426,                 2.1755,                0.38741,                0.27361,                 0.2283,                 0.1125,                 3.8919,                 6.3386,                 3.7479,              0.0072973,              0.0072973,              0.0072973
                     37,                 1.7262,                 1.0654,                 2.1523,                0.55323,                0.24492,                0.26538,                0.13113,                 4.0181,                 6.4028,                 3.7545,              0.0071576,              0.0071576,              0.0071576
                     38,                 1.7159,                 1.0409,                 2.1413,                0.57562,                0.26699,                0.26228,                0.13467,                 3.8276,                 6.2247,                 3.6617,              0.0070159,              0.0070159,              0.0070159
                     39,                 1.7071,                 1.0261,                 2.1416,                0.48561,                0.25247,                0.26452,                0.13233,                 3.9332,                 6.5427,                 3.7885,              0.0068722,              0.0068722,              0.0068722
