                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.67831,                0.69034,                0.98668,                0.45461,                0.15119,                0.15724,                0.05883,                 2.0942,                 3.2426,                  2.016,               0.068362,              0.0016652,              0.0016652
                      2,                 1.1582,                 1.1409,                 1.2784,                0.36895,                0.24272,                0.20344,                0.08222,                  2.017,                 4.9791,                 1.8589,               0.036694,              0.0033306,              0.0033306
                      3,                 1.1986,                 1.0319,                 1.3076,                0.37239,                0.26876,                0.22297,                 0.0914,                 2.0066,                 3.1232,                 1.8353,              0.0050205,              0.0049909,              0.0049909
                      4,                 1.1883,                0.98147,                 1.2949,                0.56119,                0.33363,                 0.3324,                0.14124,                 1.9012,                 3.7249,                 1.8188,              0.0049828,              0.0049828,              0.0049828
                      5,                 1.0979,                0.89291,                 1.2325,                0.50992,                0.28199,                0.30634,                0.14609,                  1.925,                 2.6999,                 1.8263,              0.0049695,              0.0049695,              0.0049695
                      6,                 1.0496,                0.79378,                  1.207,                 0.5748,                0.28508,                0.31783,                0.14515,                 1.9616,                 2.8575,                 1.8375,              0.0049524,              0.0049524,              0.0049524
                      7,                 1.0114,                0.77286,                 1.1809,                0.55844,                0.29876,                0.32056,                0.16337,                 1.8211,                 3.0488,                 1.7467,              0.0049316,              0.0049316,              0.0049316
                      8,                0.99558,                0.73902,                 1.1587,                0.49552,                0.30185,                 0.2912,                0.12526,                 1.9755,                 3.1156,                  1.866,              0.0049071,              0.0049071,              0.0049071
                      9,                0.92639,                0.67097,                 1.1179,                0.57164,                0.29744,                0.33728,                 0.1745,                 1.8815,                  2.875,                 1.7752,              0.0048789,              0.0048789,              0.0048789
                     10,                0.88453,                0.59307,                 1.0887,                0.39348,                0.25508,                0.24659,                0.10718,                 1.9825,                 3.5049,                 1.8208,               0.004847,               0.004847,               0.004847
                     11,                0.85392,                0.59059,                 1.0746,                0.45241,                0.29435,                0.29986,                0.14783,                 1.9829,                 3.1507,                 1.9033,              0.0048116,              0.0048116,              0.0048116
                     12,                0.84858,                 0.5841,                  1.068,                0.48038,                0.27979,                0.28235,                0.12689,                  1.952,                 3.2856,                 1.8817,              0.0047727,              0.0047727,              0.0047727
                     13,                0.83364,                0.55529,                 1.0548,                0.56447,                0.28244,                0.33128,                 0.1673,                 2.0015,                 3.0274,                 1.9004,              0.0047302,              0.0047302,              0.0047302
                     14,                0.80783,                0.54515,                 1.0413,                0.57793,                0.30803,                0.33912,                0.16962,                 2.0024,                 3.3198,                 1.9252,              0.0046844,              0.0046844,              0.0046844
                     15,                0.75826,                0.50762,                 1.0123,                0.52596,                0.28288,                 0.3357,                0.15915,                 2.0095,                 2.7339,                 1.9569,              0.0046353,              0.0046353,              0.0046353
                     16,                0.72243,                0.50285,                0.99474,                0.60018,                0.27626,                0.31794,                0.15174,                 2.0639,                 3.1499,                 2.0175,              0.0045829,              0.0045829,              0.0045829
                     17,                0.71398,                0.45998,                0.98637,                0.46054,                0.30847,                0.27011,                0.12243,                 1.9983,                 3.6057,                 1.9835,              0.0045273,              0.0045273,              0.0045273
                     18,                0.70406,                0.45923,                0.97754,                0.54856,                0.29921,                0.34608,                0.18516,                  2.024,                  3.296,                 1.9739,              0.0044687,              0.0044687,              0.0044687
                     19,                0.68176,                 0.4595,                0.96142,                0.59295,                0.29082,                0.35288,                0.18101,                 1.9412,                 3.0741,                 1.9319,               0.004407,               0.004407,               0.004407
                     20,                0.65779,                0.44003,                0.95054,                0.51824,                0.27493,                0.32775,                0.16501,                 1.9522,                 3.1744,                 1.9343,              0.0043424,              0.0043424,              0.0043424
                     21,                0.65161,                0.43039,                0.93836,                0.58837,                0.28508,                0.33648,                 0.1578,                 2.0345,                 3.1668,                 2.1057,              0.0042751,              0.0042751,              0.0042751
                     22,                 0.6211,                0.39472,                0.92779,                0.62215,                 0.2895,                0.37156,                 0.1701,                 2.0552,                 3.2329,                 2.0843,               0.004205,               0.004205,               0.004205
                     23,                0.59968,                0.38542,                0.90757,                0.57506,                0.29084,                 0.3552,                0.17957,                 2.0242,                 2.9802,                 1.9935,              0.0041324,              0.0041324,              0.0041324
                     24,                0.59386,                0.37443,                0.91259,                0.57095,                0.26434,                0.32422,                0.15836,                 2.0509,                 3.4991,                 2.0163,              0.0040573,              0.0040573,              0.0040573
                     25,                 0.5551,                0.34955,                0.89349,                 0.5689,                0.27317,                0.34392,                0.17991,                  1.949,                 3.1218,                 1.9571,              0.0039798,              0.0039798,              0.0039798
                     26,                0.55096,                0.35214,                0.88446,                0.49434,                0.24581,                0.29905,                0.14765,                 2.0446,                  3.622,                 2.0812,                 0.0039,                 0.0039,                 0.0039
                     27,                0.51637,                0.33515,                0.86265,                0.59285,                0.27626,                0.35492,                0.18108,                 2.0408,                 3.4091,                 2.0426,              0.0038182,              0.0038182,              0.0038182
                     28,                0.50618,                0.32357,                0.86405,                0.54735,                0.25721,                0.31474,                0.15824,                 2.0566,                 3.4913,                 2.0692,              0.0037343,              0.0037343,              0.0037343
                     29,                0.49394,                0.31381,                0.86224,                0.58677,                0.29264,                0.36532,                0.17953,                 1.9431,                 3.2481,                  1.969,              0.0036486,              0.0036486,              0.0036486
                     30,                0.47376,                 0.3028,                0.84567,                0.60883,                  0.297,                0.37315,                0.19411,                 1.9992,                 3.3543,                 2.0385,              0.0035612,              0.0035612,              0.0035612
                     31,                0.45808,                0.30061,                0.83807,                0.62938,                0.26434,                0.36013,                0.18127,                 1.9331,                  3.362,                 2.0264,              0.0034721,              0.0034721,              0.0034721
                     32,                0.42952,                0.27829,                0.83283,                 0.6071,                 0.2511,                0.37822,                0.19449,                 1.9431,                 3.0593,                 2.0255,              0.0033816,              0.0033816,              0.0033816
                     33,                0.42553,                0.27324,                0.83098,                0.61833,                 0.2295,                0.35518,                0.19534,                 2.0179,                 3.5972,                 2.0379,              0.0032898,              0.0032898,              0.0032898
                     34,                 0.4042,                 0.2637,                0.82195,                0.60655,                0.26964,                0.34548,                0.17765,                 1.9614,                 3.2974,                 2.0347,              0.0031968,              0.0031968,              0.0031968
                     35,                0.40046,                 0.2607,                0.81345,                0.54533,                0.25988,                0.34881,                0.18627,                 1.9782,                 3.3988,                 1.9751,              0.0031028,              0.0031028,              0.0031028
                     36,                0.38989,                0.25494,                0.81459,                0.55998,                 0.2639,                0.33979,                0.17149,                 1.9592,                 3.3198,                 1.9686,              0.0030078,              0.0030078,              0.0030078
                     37,                0.37032,                0.24736,                0.80943,                0.64755,                0.25066,                0.34074,                0.16973,                  2.018,                 3.2656,                 2.0991,              0.0029122,              0.0029122,              0.0029122
                     38,                0.35881,                0.23834,                0.80147,                0.62579,                0.26964,                0.38532,                0.19824,                 2.0203,                 3.2666,                 2.0765,              0.0028159,              0.0028159,              0.0028159
                     39,                0.34073,                 0.2341,                0.79466,                0.51259,                0.25287,                0.32562,                0.16963,                 1.9547,                 3.4127,                 2.0433,              0.0027192,              0.0027192,              0.0027192
                     40,                0.33384,                0.22612,                0.78969,                 0.5939,                0.25463,                0.30995,                0.16813,                 1.9478,                 3.4691,                 2.0298,              0.0026222,              0.0026222,              0.0026222
                     41,                0.32216,                 0.2194,                0.78819,                0.60256,                0.25552,                0.35985,                0.19733,                 1.9611,                 3.5088,                 2.0566,               0.002525,               0.002525,               0.002525
                     42,                0.31321,                0.21269,                0.78819,                0.55985,                0.26831,                0.41951,                0.23358,                 1.8578,                 3.3592,                 1.9088,              0.0024278,              0.0024278,              0.0024278
                     43,                0.29729,                0.20492,                0.77946,                  0.524,                 0.2842,                0.40724,                0.21826,                 1.8002,                 3.1446,                 1.9083,              0.0023308,              0.0023308,              0.0023308
                     44,                 0.2922,                0.20232,                0.78004,                0.51871,                 0.2692,                0.39487,                0.22423,                 1.6467,                 2.8182,                 1.7767,              0.0022341,              0.0022341,              0.0022341
                     45,                 0.2765,                0.19464,                0.77387,                0.59255,                0.25287,                0.42743,                0.24441,                 1.5446,                 2.5967,                 1.6756,              0.0021378,              0.0021378,              0.0021378
                     46,                0.26869,                0.19572,                0.77664,                0.52352,                0.27008,                0.40484,                0.21663,                 1.8067,                 3.1466,                 1.9237,              0.0020422,              0.0020422,              0.0020422
                     47,                0.25352,                0.18211,                0.77198,                0.51074,                0.28332,                0.41108,                0.22887,                 1.7365,                  2.896,                  1.887,              0.0019472,              0.0019472,              0.0019472
