                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6256,                 1.5248,                 1.4279,                0.38959,                0.27758,                0.25535,                0.11604,                  1.813,                 2.8324,                 1.3987,               0.066698,             1.6652e-06,             1.6652e-06
                      2,                 1.2954,                 0.9715,                 1.2234,                0.45757,                0.33274,                0.33008,                0.15354,                 1.7972,                 3.0014,                 1.4267,               0.033366,             3.3306e-06,             3.3306e-06
                      3,                 1.1014,                0.71962,                 1.1202,                0.44305,                 0.3632,                0.36313,                0.17656,                 1.7564,                 3.0302,                 1.4027,             3.4647e-05,             4.9909e-06,             4.9909e-06
                      4,                0.98433,                0.60124,                 1.0652,                0.45566,                0.35685,                0.37113,                0.17615,                 1.7758,                 3.0076,                 1.4391,             4.9828e-06,             4.9828e-06,             4.9828e-06
                      5,                0.90255,                0.55001,                 1.0227,                0.46059,                 0.3451,                0.35483,                0.17021,                 1.8021,                 3.1884,                 1.4866,             4.9695e-06,             4.9695e-06,             4.9695e-06
                      6,                0.83842,                 0.4956,                0.99173,                0.47326,                 0.3632,                0.37221,                0.17126,                 1.8162,                 3.0697,                 1.4917,             4.9524e-06,             4.9524e-06,             4.9524e-06
                      7,                0.77188,                0.45482,                0.95384,                 0.4533,                0.37467,                0.37891,                0.17851,                  1.813,                 2.9855,                 1.5073,             4.9316e-06,             4.9316e-06,             4.9316e-06
                      8,                0.73232,                0.43358,                 0.9347,                0.46795,                0.33628,                0.36096,                0.17439,                  1.797,                 3.1736,                 1.5218,             4.9071e-06,             4.9071e-06,             4.9071e-06
                      9,                0.68717,                0.40769,                0.91197,                0.44806,                0.37246,                0.38466,                0.17606,                 1.8309,                 2.9766,                 1.5303,             4.8789e-06,             4.8789e-06,             4.8789e-06
                     10,                  0.654,                 0.3833,                0.89848,                0.45445,                0.34775,                0.36982,                0.18327,                 1.7665,                 3.4486,                 1.4961,              4.847e-06,              4.847e-06,              4.847e-06
                     11,                0.62514,                0.36916,                0.88383,                0.41453,                0.35216,                0.35248,                0.17049,                 1.8229,                 3.2395,                 1.5713,             4.8116e-06,             4.8116e-06,             4.8116e-06
                     12,                0.59742,                0.35444,                0.88171,                0.46175,                0.34466,                 0.3715,                0.17605,                 1.8174,                 3.1864,                 1.5599,             4.7727e-06,             4.7727e-06,             4.7727e-06
                     13,                0.57393,                   0.34,                0.86707,                0.44692,                0.37836,                0.38628,                0.18139,                 1.8383,                 3.2626,                  1.631,             4.7302e-06,             4.7302e-06,             4.7302e-06
                     14,                0.55728,                 0.3285,                0.85787,                0.45809,                0.35613,                0.38455,                0.18959,                 1.8278,                 3.2187,                  1.598,             4.6844e-06,             4.6844e-06,             4.6844e-06
                     15,                0.51987,                0.31492,                0.84659,                0.45313,                0.28994,                0.32718,                0.15437,                 1.8531,                 3.4125,                 1.6153,             4.6353e-06,             4.6353e-06,             4.6353e-06
                     16,                0.50751,                0.30794,                  0.839,                0.43816,                0.33315,                0.36805,                 0.1807,                 1.8356,                 3.2656,                 1.6224,             4.5829e-06,             4.5829e-06,             4.5829e-06
                     17,                0.48687,                0.29732,                0.83615,                0.41851,                0.34378,                0.35843,                0.17377,                 1.8341,                 3.5284,                 1.6289,             4.5273e-06,             4.5273e-06,             4.5273e-06
                     18,                0.46875,                0.28939,                0.82751,                0.45048,                0.34907,                0.36909,                 0.1837,                  1.834,                 3.5981,                 1.6542,             4.4687e-06,             4.4687e-06,             4.4687e-06
                     19,                0.45247,                0.28057,                0.82046,                0.44446,                0.33848,                0.36682,                0.18145,                 1.8479,                 3.5494,                 1.6814,              4.407e-06,              4.407e-06,              4.407e-06
                     20,                0.44079,                0.27386,                0.81208,                0.42928,                0.33098,                0.35742,                0.16859,                 1.8456,                 3.8581,                 1.6734,             4.3424e-06,             4.3424e-06,             4.3424e-06
                     21,                0.42443,                0.26741,                0.80285,                 0.4689,                  0.323,                0.36181,                 0.1774,                 1.8233,                 3.5936,                 1.6619,             4.2751e-06,             4.2751e-06,             4.2751e-06
                     22,                 0.4158,                0.26308,                0.80888,                0.41777,                0.34483,                0.36253,                0.18466,                 1.8061,                 3.7586,                 1.6335,              4.205e-06,              4.205e-06,              4.205e-06
                     23,                0.39214,                0.25117,                  0.795,                0.43392,                0.31553,                0.35068,                0.17026,                 1.8313,                 3.9221,                 1.6784,             4.1324e-06,             4.1324e-06,             4.1324e-06
                     24,                0.39189,                0.25158,                0.80417,                0.49534,                0.32613,                0.37979,                0.18519,                 1.8243,                 3.4442,                 1.6296,             4.0573e-06,             4.0573e-06,             4.0573e-06
                     25,                0.38104,                0.24681,                0.79173,                0.41879,                 0.3323,                0.34285,                0.16168,                 1.8398,                 3.7507,                 1.6568,             3.9798e-06,             3.9798e-06,             3.9798e-06
                     26,                0.37048,                0.23968,                0.78899,                0.43481,                0.33672,                0.35675,                0.17634,                 1.7954,                 3.9412,                 1.6107,                3.9e-06,                3.9e-06,                3.9e-06
                     27,                0.35228,                0.23167,                0.77775,                0.43834,                0.30847,                0.34263,                0.16883,                  1.824,                 3.8626,                 1.6788,             3.8182e-06,             3.8182e-06,             3.8182e-06
                     28,                0.35254,                0.23156,                0.78371,                0.31087,                0.44175,                0.35596,                0.17056,                  1.843,                 3.7362,                 1.6863,             3.7343e-06,             3.7343e-06,             3.7343e-06
                     29,                0.34069,                0.22898,                0.78755,                0.45334,                0.32425,                0.36989,                 0.1879,                  1.827,                 3.7233,                 1.6682,             3.6486e-06,             3.6486e-06,             3.6486e-06
                     30,                0.32832,                0.22229,                0.77481,                0.33493,                0.43071,                 0.3757,                0.18666,                 1.8142,                 3.8617,                 1.6428,             3.5612e-06,             3.5612e-06,             3.5612e-06
                     31,                0.31874,                0.21768,                0.77468,                 0.3385,                0.43336,                0.36724,                0.17757,                 1.8389,                   3.76,                 1.6628,             3.4721e-06,             3.4721e-06,             3.4721e-06
                     32,                0.31335,                0.21422,                0.77721,                0.46741,                0.32804,                0.38156,                0.19198,                 1.8226,                 3.6344,                 1.7005,             3.3816e-06,             3.3816e-06,             3.3816e-06
                     33,                0.30405,                0.21065,                0.77246,                  0.331,                0.43822,                0.37423,                0.18597,                  1.823,                 3.7483,                 1.6624,             3.2898e-06,             3.2898e-06,             3.2898e-06
                     34,                0.29115,                0.20482,                0.77115,                0.33211,                0.43866,                0.38035,                0.19033,                 1.8119,                  3.752,                 1.6561,             3.1968e-06,             3.1968e-06,             3.1968e-06
                     35,                0.29408,                0.20403,                0.76745,                0.34839,                0.42542,                 0.3808,                0.18627,                  1.827,                 3.7565,                 1.6616,             3.1028e-06,             3.1028e-06,             3.1028e-06
                     36,                0.28639,                0.20283,                0.77122,                0.34618,                0.43204,                0.37253,                 0.1787,                 1.8383,                 3.9635,                 1.6692,             3.0078e-06,             3.0078e-06,             3.0078e-06
                     37,                0.27346,                0.19752,                0.76751,                0.34756,                0.42056,                0.37154,                0.18465,                 1.8232,                 3.7591,                 1.6894,             2.9122e-06,             2.9122e-06,             2.9122e-06
                     38,                0.27089,                0.19298,                0.76638,                0.41612,                0.34996,                 0.3598,                0.17842,                 1.8317,                 4.1005,                 1.7133,             2.8159e-06,             2.8159e-06,             2.8159e-06
