                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9969,                 2.4604,                 1.6392,                0.53537,                0.22021,                 0.2683,                0.10044,                 1.8612,                 2.5418,                 1.4056,               0.066699,             2.4978e-06,             2.4978e-06
                      2,                 1.4656,                 1.2686,                  1.286,                 0.5095,                0.37314,                0.38626,                0.18287,                  1.707,                 2.4584,                 1.3511,               0.033368,             4.9959e-06,             4.9959e-06
                      3,                 1.2167,                0.86125,                 1.1473,                0.48928,                0.33098,                0.34464,                0.15935,                 1.7825,                 2.6742,                 1.4223,             3.7142e-05,             7.4863e-06,             7.4863e-06
                      4,                 1.0558,                 0.6828,                 1.0769,                0.47845,                 0.3654,                0.38598,                0.19054,                 1.7679,                 2.8178,                  1.439,             7.4743e-06,             7.4743e-06,             7.4743e-06
                      5,                0.94885,                0.59506,                  1.018,                0.43321,                0.35349,                 0.3602,                0.18109,                 1.8168,                 3.0012,                 1.4883,             7.4543e-06,             7.4543e-06,             7.4543e-06
                      6,                 0.8687,                0.52405,                0.97869,                0.46983,                0.33634,                0.36875,                  0.184,                 1.8478,                 3.1726,                 1.5045,             7.4287e-06,             7.4287e-06,             7.4287e-06
                      7,                0.78118,                0.46036,                0.94024,                0.50663,                0.33672,                0.35238,                0.17002,                 1.8602,                 2.9751,                 1.5329,             7.3974e-06,             7.3974e-06,             7.3974e-06
                      8,                0.72615,                0.42643,                 0.9108,                 0.4588,                0.33628,                0.36805,                0.17867,                 1.8582,                 3.2486,                 1.5775,             7.3606e-06,             7.3606e-06,             7.3606e-06
                      9,                0.67936,                0.39396,                0.88878,                0.51061,                0.32657,                0.37057,                0.18743,                 1.8191,                 3.1955,                 1.5183,             7.3183e-06,             7.3183e-06,             7.3183e-06
                     10,                0.63573,                0.36461,                0.87201,                0.46233,                 0.3526,                0.36127,                0.18558,                 1.8195,                 3.4211,                 1.5424,             7.2705e-06,             7.2705e-06,             7.2705e-06
                     11,                0.60147,                0.36057,                0.85617,                0.49906,                0.32613,                0.37598,                0.19191,                  1.842,                 3.1227,                 1.5994,             7.2174e-06,             7.2174e-06,             7.2174e-06
                     12,                0.57179,                0.33272,                0.85381,                0.48127,                 0.3301,                 0.3598,                0.18559,                  1.818,                 3.1619,                 1.5719,              7.159e-06,              7.159e-06,              7.159e-06
