                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8535,                 4.5177,                 2.2384,                0.12911,                0.09444,                 0.0313,                0.01356,                 2.6758,                 176.32,                 2.1284,               0.073611,              0.0032716,              0.0032716
                      2,                 2.4287,                 2.9318,                 2.0017,                0.11863,                0.06752,                0.03408,                0.00772,                 2.6823,                 5.0575,                 2.0341,               0.047125,              0.0065533,              0.0065533
                      3,                 2.2214,                 2.7104,                 1.8666,                0.39969,                0.06708,                0.11031,                0.03858,                 2.6348,                 3.8828,                 2.0617,               0.020634,              0.0098286,              0.0098286
                      4,                 2.0716,                 2.4889,                 1.7808,                0.08239,                0.13327,                 0.0303,                0.01003,                    nan,                    nan,                    nan,               0.011006,               0.011006,               0.011006
                      5,                 1.9642,                 2.2545,                 1.7116,                0.19258,                0.17255,                0.08567,                0.03465,                 2.6105,                 7.3566,                 2.0587,               0.010987,               0.010987,               0.010987
                      6,                 1.9506,                 2.2022,                 1.7129,                0.12939,                0.09576,                0.03885,                0.01103,                    nan,                    nan,                    nan,               0.010963,               0.010963,               0.010963
                      7,                 1.8643,                 1.9587,                 1.6606,                0.04019,                 0.1677,                0.02092,                0.00665,                    nan,                    nan,                    nan,               0.010933,               0.010933,               0.010933
                      8,                 1.7944,                 1.8304,                 1.6219,                0.14374,                0.10724,                0.04106,                0.02048,                  2.845,                  7.277,                 2.2523,               0.010899,               0.010899,               0.010899
                      9,                 1.6923,                 1.6323,                  1.552,                0.02924,                0.10371,                0.01677,                0.00631,                    nan,                    nan,                    nan,               0.010859,               0.010859,               0.010859
                     10,                 1.6368,                 1.5014,                 1.5131,                0.38428,                0.11386,                 0.1347,                0.04231,                 2.6675,                 4.9703,                 2.0132,               0.010813,               0.010813,               0.010813
                     11,                 1.5627,                 1.4245,                 1.4666,                0.39065,                0.20477,                0.17527,                 0.0895,                    nan,                    nan,                    nan,               0.010763,               0.010763,               0.010763
                     12,                 1.5635,                 1.3783,                 1.4615,                 0.1946,                  0.109,                0.06935,                0.02259,                 2.8838,                  4.601,                  2.474,               0.010707,               0.010707,               0.010707
                     13,                 1.4941,                 1.2688,                 1.4244,                0.01199,                0.00838,                 0.0067,                 0.0032,                 3.2188,                 6.9017,                 2.5603,               0.010647,               0.010647,               0.010647
                     14,                 1.4235,                 1.1803,                 1.3725,                0.34929,                0.25949,                0.22677,                0.08441,                 2.5889,                 4.0345,                 2.1378,               0.010581,               0.010581,               0.010581
                     15,                 1.3723,                  1.093,                 1.3443,                0.58711,                 0.3376,                0.36045,                0.15178,                 2.3055,                 3.3394,                 1.8919,               0.010511,               0.010511,               0.010511
                     16,                 1.3319,                 1.0454,                 1.3178,                0.49539,                0.14651,                0.19502,                 0.0806,                 2.6529,                 4.4596,                 2.1512,               0.010435,               0.010435,               0.010435
                     17,                 1.3077,                0.99284,                 1.3059,                0.38183,                 0.1752,                0.17514,                0.06272,                    nan,                    nan,                    nan,               0.010355,               0.010355,               0.010355
                     18,                  1.309,                 1.0063,                 1.3014,                0.53991,                0.32304,                0.34864,                0.16839,                 2.3812,                 4.3067,                 1.9349,                0.01027,                0.01027,                0.01027
                     19,                 1.2372,                0.91789,                 1.2575,                0.42029,                0.31598,                0.29783,                0.13759,                 2.3423,                 5.5293,                  1.943,                0.01018,                0.01018,                0.01018
                     20,                 1.1642,                0.83419,                  1.216,                0.47972,                0.30229,                0.34613,                 0.1574,                 2.4579,                 3.7772,                 2.0731,               0.010086,               0.010086,               0.010086
                     21,                 1.1751,                0.83325,                   1.22,                0.34282,                0.17696,                0.15987,                0.06198,                 2.9267,                 4.6083,                 2.6603,              0.0099878,              0.0099878,              0.0099878
                     22,                 1.0967,                0.77915,                 1.1788,                0.37536,                0.22021,                0.21497,                0.07791,                 2.6847,                 4.1665,                 2.2169,              0.0098848,              0.0098848,              0.0098848
                     23,                 1.0714,                  0.764,                 1.1593,                0.50477,                0.28729,                0.28389,                0.11775,                 2.4136,                 5.8441,                 1.9837,              0.0097777,              0.0097777,              0.0097777
                     24,                 1.0306,                0.71228,                 1.1299,                0.51472,                0.29568,                0.31404,                0.15127,                 2.3477,                 4.4963,                 1.9967,              0.0096663,              0.0096663,              0.0096663
                     25,                0.98148,                 0.6833,                 1.1066,                0.46501,                0.29479,                0.26109,                 0.1168,                 2.4211,                 8.7172,                 2.1505,              0.0095509,              0.0095509,              0.0095509
                     26,                0.96968,                0.67262,                 1.0989,                0.05622,                0.02295,                0.02616,                0.01141,                    nan,                    nan,                    nan,              0.0094316,              0.0094316,              0.0094316
                     27,                0.92921,                0.63448,                  1.073,                0.50661,                0.12621,                 0.1939,                0.09322,                 2.9618,                 5.1553,                 2.4612,              0.0093085,              0.0093085,              0.0093085
                     28,                0.88167,                0.60276,                 1.0433,                0.44288,                0.32789,                0.28825,                0.13678,                 2.3937,                 7.0419,                  2.089,              0.0091817,              0.0091817,              0.0091817
                     29,                0.88813,                0.60209,                 1.0457,                0.45649,                0.29479,                0.29136,                0.12063,                 2.5612,                 5.0026,                 2.2009,              0.0090514,              0.0090514,              0.0090514
                     30,                0.84398,                0.56281,                 1.0166,                0.39369,                0.23522,                0.22932,                0.09847,                 2.4949,                 4.1833,                 2.1436,              0.0089176,              0.0089176,              0.0089176
                     31,                0.81292,                0.55578,                 1.0037,                0.40347,                0.31519,                0.27423,                0.12295,                 2.3967,                 4.4279,                 2.1094,              0.0087805,              0.0087805,              0.0087805
                     32,                0.79235,                0.54085,                 0.9957,                0.42244,                0.29303,                0.27665,                0.11841,                 2.5014,                 5.7425,                 2.1465,              0.0086402,              0.0086402,              0.0086402
                     33,                0.77815,                0.52986,                0.98169,                0.43379,                0.18402,                0.18498,                0.08128,                 2.7343,                  11.99,                 2.3818,              0.0084969,              0.0084969,              0.0084969
                     34,                0.75017,                0.51477,                0.97195,                0.46434,                0.25861,                0.26292,                0.11572,                  2.433,                  6.677,                  2.152,              0.0083508,              0.0083508,              0.0083508
                     35,                0.73849,                 0.5112,                 0.9659,                0.38119,                0.22462,                0.20464,                0.08408,                 2.5141,                 5.0832,                 2.1637,              0.0082019,              0.0082019,              0.0082019
                     36,                0.71415,                0.49729,                0.94991,                0.57103,                0.29303,                0.32416,                0.15923,                 2.4689,                 4.8239,                 2.1896,              0.0080503,              0.0080503,              0.0080503
