                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.053,                 3.2331,                 2.3332,                 0.0216,                 0.0887,                0.01042,                0.00324,                 1.9956,                 17.564,                 2.1073,               0.082624,              0.0025529,              0.0025529
                      2,                 1.7074,                 2.1631,                 2.0154,                0.18131,                0.15049,                0.08989,                0.03442,                 1.9279,                 64.041,                 2.1225,               0.065185,              0.0051136,              0.0051136
                      3,                 1.6206,                 1.9236,                 1.9213,                0.38518,                0.13019,                0.15604,                0.05745,                 1.8456,                 3.0462,                 1.9834,               0.047741,              0.0076694,              0.0076694
                      4,                 1.5089,                 1.7399,                 1.8036,                0.03413,                0.16152,                0.02862,                0.01027,                 2.1256,                 3.7902,                 2.1944,               0.030288,               0.010216,               0.010216
                      5,                 1.4097,                 1.5714,                 1.7166,                0.16843,                0.04281,                0.03722,                0.01861,                 2.0859,                 3.7964,                 2.1689,               0.012822,               0.012751,               0.012751
                      6,                 1.3626,                  1.466,                 1.6772,                0.36222,                0.23566,                 0.2168,                0.09579,                 1.7972,                 4.5416,                 1.9599,               0.012732,               0.012732,               0.012732
                      7,                 1.2967,                 1.3723,                  1.602,                0.50299,                0.29391,                0.30498,                0.13554,                    nan,                    nan,                    nan,               0.012698,               0.012698,               0.012698
                      8,                 1.2579,                 1.2875,                 1.5667,                0.50299,                0.29391,                0.30498,                0.13554,                 3.1316,                  5.921,                 3.7745,               0.012657,               0.012657,               0.012657
                      9,                 1.2104,                  1.137,                 1.5256,                0.47425,                0.13694,                0.16035,                0.07789,                 2.0746,                 3.4877,                 2.2221,               0.012611,               0.012611,               0.012611
                     10,                 1.1703,                 1.0625,                 1.4893,                0.47004,                0.25287,                0.24697,                0.08775,                 1.8647,                 3.5883,                  2.093,               0.012558,               0.012558,               0.012558
                     11,                 1.1092,                0.95775,                 1.4361,                 0.4984,                0.27361,                0.27208,                 0.1017,                  1.866,                 4.3274,                 2.1109,               0.012499,               0.012499,               0.012499
                     12,                 1.0782,                0.93378,                 1.4101,                0.10425,                0.14298,                0.08976,                0.04004,                 2.0641,                  4.221,                 2.2145,               0.012435,               0.012435,               0.012435
                     13,                  1.046,                0.87465,                 1.3861,                0.52579,                0.31805,                0.30987,                 0.1323,                 1.7405,                 2.9233,                  1.958,               0.012364,               0.012364,               0.012364
                     14,                  1.009,                0.82715,                 1.3499,                0.56297,                0.25949,                 0.2962,                0.14023,                 1.7631,                 2.7964,                 1.9692,               0.012288,               0.012288,               0.012288
                     15,                0.97432,                 0.7908,                  1.321,                 0.5493,                0.27184,                0.28303,                0.12847,                 1.8271,                 2.9228,                 2.1054,               0.012206,               0.012206,               0.012206
                     16,                0.95383,                0.73915,                 1.2991,                0.35584,                0.25419,                0.20898,                0.08778,                 1.8173,                 3.2838,                 2.0624,               0.012118,               0.012118,               0.012118
                     17,                0.90588,                0.69584,                 1.2632,                0.53424,                0.18491,                0.24045,                0.09827,                  2.038,                 3.4496,                 2.3608,               0.012025,               0.012025,               0.012025
                     18,                0.87541,                 0.6531,                  1.236,                0.47388,                0.31906,                0.31996,                0.13769,                 1.8174,                 4.0112,                 2.0838,               0.011926,               0.011926,               0.011926
                     19,                 0.8483,                0.62258,                 1.2149,                0.44056,                0.27184,                0.28676,                0.12904,                 1.8277,                 3.5757,                 2.1245,               0.011822,               0.011822,               0.011822
                     20,                0.82924,                0.60544,                 1.1983,                0.39087,                0.22418,                0.23359,                0.09292,                 1.9441,                 3.9996,                 2.2629,               0.011713,               0.011713,               0.011713
                     21,                0.81025,                 0.5859,                 1.1814,                0.05615,                0.08738,                0.05113,                0.02134,                 2.2534,                  4.709,                 2.5429,               0.011598,               0.011598,               0.011598
                     22,                0.77677,                   0.56,                 1.1539,                0.40886,                0.24448,                0.24285,                0.09678,                 1.9346,                 3.5257,                 2.2064,               0.011479,               0.011479,               0.011479
                     23,                0.73359,                0.51538,                 1.1207,                0.53874,                  0.312,                0.32371,                0.14571,                 1.8169,                 2.9887,                 2.0967,               0.011354,               0.011354,               0.011354
                     24,                0.71825,                0.50996,                  1.109,                 0.4933,                0.31818,                0.34252,                0.14462,                 1.8135,                 3.0339,                 2.1305,               0.011225,               0.011225,               0.011225
                     25,                0.69206,                 0.4774,                 1.0853,                0.47116,                0.31421,                0.31235,                 0.1511,                 1.8564,                 3.2443,                 2.2223,                0.01109,                0.01109,                0.01109
                     26,                0.67225,                0.46854,                 1.0718,                0.33434,                 0.2917,                 0.3037,                0.14278,                 2.0262,                 3.8798,                 2.3622,               0.010952,               0.010952,               0.010952
                     27,                0.63083,                0.44613,                 1.0429,                0.43411,                0.26302,                 0.2495,                0.10817,                  1.953,                 3.9926,                 2.3857,               0.010809,               0.010809,               0.010809
                     28,                 0.6131,                 0.4254,                 1.0272,                 0.4958,                0.27493,                0.28958,                0.13668,                 1.8867,                 3.6286,                 2.2398,               0.010661,               0.010661,               0.010661
                     29,                0.61032,                 0.4174,                  1.026,                0.54137,                 0.2767,                0.29244,                0.12596,                 1.9324,                 3.6695,                 2.3129,                0.01051,                0.01051,                0.01051
                     30,                0.58711,                 0.4087,                 1.0059,                0.38946,                0.19153,                0.21544,                0.09393,                 2.0154,                 4.1245,                 2.4506,               0.010354,               0.010354,               0.010354
                     31,                0.58245,                0.40435,                 1.0048,                0.46075,                0.24934,                0.27835,                0.12971,                 1.9342,                 3.7291,                 2.3376,               0.010195,               0.010195,               0.010195
                     32,                0.57131,                 0.3944,                0.99285,                0.56909,                0.27538,                0.30479,                0.12715,                 1.9089,                 3.5101,                  2.378,               0.010032,               0.010032,               0.010032
                     33,                0.53285,                0.36892,                0.96436,                0.48907,                0.25816,                0.26034,                0.11906,                 1.8894,                  4.034,                 2.2697,               0.009865,               0.009865,               0.009865
                     34,                0.51843,                0.36204,                0.95886,                0.46831,                0.23169,                0.26271,                0.11716,                 1.9761,                 3.7268,                 2.3342,              0.0096951,              0.0096951,              0.0096951
                     35,                0.51569,                0.35829,                0.95418,                 0.3131,                0.23213,                0.26791,                0.12409,                 2.0193,                 4.1386,                 2.5376,               0.009522,               0.009522,               0.009522
                     36,                0.48499,                0.34152,                0.93463,                 0.5275,                0.28508,                0.34074,                0.15714,                 1.8792,                 3.6242,                 2.3003,              0.0093458,              0.0093458,              0.0093458
                     37,                0.47238,                0.32821,                0.92561,                0.46206,                0.27052,                0.28198,                0.13555,                 1.8968,                 3.8579,                  2.282,              0.0091668,              0.0091668,              0.0091668
                     38,                0.45902,                0.32603,                 0.9182,                  0.444,                0.25199,                 0.2657,                0.11745,                 1.9562,                 3.7705,                 2.4111,              0.0089852,              0.0089852,              0.0089852
                     39,                0.45887,                0.32477,                0.91591,                0.51186,                0.25287,                0.31625,                0.15015,                 1.9814,                 3.7864,                 2.4024,               0.008801,               0.008801,               0.008801
                     40,                0.43776,                0.30857,                0.90475,                 0.4856,                0.24669,                0.27931,                  0.122,                 1.9328,                 3.8836,                 2.3975,              0.0086146,              0.0086146,              0.0086146
                     41,                0.42221,                0.30184,                0.89518,                0.53977,                 0.2158,                0.30607,                0.14404,                 1.9543,                 4.0899,                 2.3591,               0.008426,               0.008426,               0.008426
                     42,                0.41541,                0.29737,                 0.8901,                0.50146,                0.22462,                0.29278,                0.13497,                 1.9684,                 3.9926,                 2.4419,              0.0082355,              0.0082355,              0.0082355
                     43,                0.39527,                0.28585,                0.87994,                0.35031,                0.27626,                0.31817,                0.14674,                 1.9412,                 3.8771,                 2.4743,              0.0080433,              0.0080433,              0.0080433
                     44,                0.39082,                0.28049,                0.87739,                0.53399,                0.23666,                0.32922,                 0.1493,                 1.9523,                 3.9606,                 2.3307,              0.0078495,              0.0078495,              0.0078495
                     45,                0.37862,                0.27459,                0.86918,                0.53097,                0.24404,                0.32207,                0.15576,                 1.9471,                 4.1075,                 2.4513,              0.0076543,              0.0076543,              0.0076543
                     46,                0.37204,                0.26786,                0.86359,                0.59181,                0.26346,                0.36299,                  0.178,                 1.9601,                 3.7942,                  2.495,               0.007458,               0.007458,               0.007458
                     47,                0.35952,                0.26264,                0.85896,                0.55011,                0.23875,                0.31428,                0.15989,                 1.9262,                 4.0711,                  2.376,              0.0072606,              0.0072606,              0.0072606
                     48,                0.35035,                0.25772,                  0.853,                0.38216,                0.23257,                0.30119,                 0.1457,                 2.0637,                 4.5707,                 2.5322,              0.0070625,              0.0070625,              0.0070625
