,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,ateroesclerosis_tuning29,100,0.08078,0.08594,0.66929,0.52843,0.23301,0.30949,0.16818,                 1.9893,                 5.0844,                 2.0657,0.00013746,0.00013746,0.00013746
1,ateroesclerosis_tuning24,100,0.15873,0.1896,0.502,0.46449,0.33583,0.37574,0.19681,                  2.872,                 8.7837,                 1.6646,0.00015768,0.00015768,0.00015768
2,ateroesclerosis_tuning30,100,0.11959,0.15232,0.49843,0.51763,0.34855,0.39989,0.19909,                 2.0111,                 4.0764,                 1.6532,0.00015731,0.00015731,0.00015731
3,ateroesclerosis_tuning41,100,0.1246,0.15729,0.54155,0.59623,0.34212,0.4042,0.20266,                 2.2095,                 4.8914,                 1.7534,0.00017719,0.00017719,0.00017719
4,ateroesclerosis_tuning37,100,0.10562,0.12885,0.44684,0.60232,0.26478,0.36327,0.19263,                 2.3798,                 5.4631,                 1.4282,0.00015212,0.00015212,0.00015212
5,ateroesclerosis_tuning17,100,0.08044,0.09494,0.72221,0.40192,0.31377,0.3528,0.17933,                 2.3064,                 4.2243,                  2.487,0.00013884,0.00013884,0.00013884
6,ateroesclerosis_tuning,100,0.09869,0.12293,0.74473,0.50029,0.20765,0.30402,0.14241,                 2.6701,                 5.3732,                 2.5407,0.0001184,0.0001184,0.0001184
7,ateroesclerosis_tuning45,100,0.0903,0.11442,0.45262,0.42492,0.29347,0.35522,0.17281,                 2.2094,                 4.5853,                 1.5202,0.00015534,0.00015534,0.00015534
8,ateroesclerosis_tuning27,100,0.09415,0.10208,0.70538,0.53747,0.24448,0.32601,0.16957,                 2.3714,                 4.7232,                 2.2792,0.00013565,0.00013565,0.00013565
9,ateroesclerosis_tuning39,100,0.06026,0.09183,0.49556,0.45976,0.30759,0.38503,0.19316,                 1.8666,                  4.487,                 1.6667,9.8902e-05,9.8902e-05,9.8902e-05
10,ateroesclerosis_tuning14,100,0.06526,0.08784,0.75817,0.47152,0.26302,0.36837,0.1932,                 1.9765,                 3.9519,                 2.6416,0.00012406,0.00012406,0.00012406
11,ateroesclerosis_tuning38,100.0,0.10123,0.12313,0.29774,0.58554,0.26622,0.35537,0.1668,2.6623,4.7933,0.99572,0.00014581,0.00014581,0.00014581
12,ateroesclerosis_tuning9,100,0.08561,0.0965,0.61327,0.41566,0.28817,0.34526,0.17081,                 2.1544,                 4.3931,                 2.0608,0.00014814,0.00014814,0.00014814
13,ateroesclerosis_tuning36,100.0,0.12341,0.13322,0.60693,0.53604,0.27935,0.34157,0.16477,2.5528,5.4116,1.9057,0.00012072,0.00012072,0.00012072
14,ateroesclerosis_tuning44,100,0.07522,0.08969,0.47579,0.49438,0.24293,0.32645,0.18165,                 2.1604,                 7.0854,                 1.7141,0.00015039,0.00015039,0.00015039
15,ateroesclerosis_tuning10,100,0.08477,0.09669,0.67594,0.59895,0.24537,0.37443,0.20973,                 2.2308,                 4.4124,                 2.1999,0.00015132,0.00015132,0.00015132
16,ateroesclerosis_tuning34,100,0.09413,0.12552,0.4962,0.47842,0.29347,0.4078,0.22073,                 2.2425,                  4.353,                 1.6189,0.0001751,0.0001751,0.0001751
17,ateroesclerosis_tuning5,100,0.09598,0.11775,0.74425,0.59345,0.24757,0.36793,0.19453,                 2.4765,                 4.6782,                 2.4473,0.00012424,0.00012424,0.00012424
18,ateroesclerosis_tuning18,100,0.06612,0.09376,0.73812,0.47413,0.29921,0.39188,0.20637,1.8846,                 3.7246,2.6263,0.0001356,0.0001356,0.0001356
19,ateroesclerosis_tuning48,100,0.12867,0.14953,0.43024,0.59712,0.28508,0.38577,0.19472,                 2.2577,                 5.2074,                 1.4571,0.00013964,0.00013964,0.00013964
20,ateroesclerosis_tuning33,100,0.10818,0.13077,0.44628,0.57414,0.28861,0.39093,0.19852,                 2.2993,                 4.9626,                 1.4483,0.00014984,0.00014984,0.00014984
21,ateroesclerosis_tuning31,100,0.08461,0.10704,0.49669,0.56277,0.23124,0.33552,0.17013,                 2.0522,                 3.7691,                 1.5197,0.00016125,0.00016125,0.00016125
22,ateroesclerosis_tuning13,100,0.09098,0.09818,0.68035,0.54813,0.23124,0.32517,0.16431,                 2.4351,                 3.6294,                 2.3692,0.00014231,0.00014231,0.00014231
23,ateroesclerosis_tuning28,100.0,0.08682,0.11002,0.50261,0.46975,0.33583,0.412,0.21818,2.2142,4.0799,1.7006,0.00015294,0.00015294,0.00015294
24,ateroesclerosis_tuning49,100,0.10273,0.1378,0.44666,0.41089,0.29303,0.36384,0.18458,                 2.1278,                 5.9223,                 1.3723,9.331e-05,9.331e-05,9.331e-05
25,ateroesclerosis_tuning20,100,0.10109,0.15247,0.50713,0.57396,0.28537,0.39195,0.19764,                 2.3661,                 5.7577,                 1.6365,0.00014984,0.00014984,0.00014984
26,ateroesclerosis_tuning43,100,0.11614,0.13292,0.53223,0.5544,0.26831,0.35674,0.18354,                 2.1021,                 5.1201,                 1.6175,0.00020423,0.00020423,0.00020423
27,ateroesclerosis_tuning42,100,0.08783,0.12708,0.50253,0.51262,0.28685,0.41711,0.19818,                 2.1253,                 5.2377,                 1.6371,0.00013887,0.00013887,0.00013887
28,ateroesclerosis_tuning12,100,0.09278,0.10141,0.63555,0.50095,0.26567,0.33674,0.17459,                 2.4414,                 5.0761,                 2.1363,0.00011811,0.00011811,0.00011811
29,ateroesclerosis_tuning3,100,0.0941,0.10465,0.80073,0.5858,0.21889,0.33725,0.18128,                 2.7175,                 4.8093,                 2.7509,9.3274e-05,9.3274e-05,9.3274e-05
30,ateroesclerosis_tuning19,100,0.08352,0.09124,0.7239,0.57594,0.22727,0.3637,0.20427,                 2.3324,                 3.7388,                 2.4146,0.00014478,0.00014478,0.00014478
31,ateroesclerosis_tuning15,100,0.06745,0.08448,0.74541,0.41416,0.23742,0.33786,0.1774,                 2.0118,                 3.1794,                 2.6398,0.00011439,0.00011439,0.00011439
32,ateroesclerosis_tuning2,100,0.11402,0.13671,0.75069,0.56919,0.2308,0.33034,0.16057,                 2.9163,                 5.7216,                 2.5908,0.00012182,0.00012182,0.00012182
33,ateroesclerosis_tuning40,100,0.11723,0.13907,0.46893,0.51758,0.26787,0.33624,0.16262,2.2492,                 6.4987,1.4661,0.0001419,0.0001419,0.0001419
34,ateroesclerosis_tuning4,100,0.10518,0.10843,0.70766,0.56536,0.33186,0.40693,0.2051,                 2.3412,                 3.9842,                 2.6334,0.00013546,0.00013546,0.00013546
35,ateroesclerosis_tuning23,100,0.08192,0.08496,0.6934,0.4243,0.29435,0.36653,0.19619,                 2.3887,                 3.5402,                 2.3392,0.00011725,0.00011725,0.00011725
36,ateroesclerosis_tuning22,100,0.08934,0.09543,0.69492,0.57832,0.2233,0.35424,0.18803,                 2.5562,                 3.8205,                 2.4154,0.00013559,0.00013559,0.00013559
37,ateroesclerosis_tuning47,100,0.09306,0.11818,0.50401,0.52215,0.27493,0.35265,0.17589,                 2.1723,                  4.786,                 1.6458,0.00016831,0.00016831,0.00016831
38,ateroesclerosis_tuning26,100,0.09082,0.11649,0.50417,0.5533,0.2356,0.33867,0.16865,                  2.161,                 4.3624,                 1.6109,0.00014984,0.00014984,0.00014984
39,ateroesclerosis_tuning6,100,0.10725,0.11037,0.67904,0.56599,0.26358,0.32842,0.17023,                 2.3463,                 4.4865,                 2.2596,0.00015132,0.00015132,0.00015132
