,Unnamed: 0,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0,6,ateroesclerosis_tuning,100.0,0.09869,0.12293,0.74473,0.50029,0.20765,0.30402,0.14241,2.6701,5.3732,2.5407,0.0001184,0.0001184,0.0001184,0.3068,0.01103,0.01049,0.90711,0.0005,3.36035,0.82975,7.95152,0.55488,1.46651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,32,ateroesclerosis_tuning2,100.0,0.11402,0.13671,0.75069,0.56919,0.2308,0.33034,0.16057,2.9163,5.7216,2.5908,0.00012182,0.00012182,0.00012182,0.29248,0.01103,0.0108,0.88961,0.0005,2.92889,0.95,9.0481,0.61465,1.47052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,29,ateroesclerosis_tuning3,100.0,0.0941,0.10465,0.80073,0.5858,0.21889,0.33725,0.18128,2.7175,4.8093,2.7509,9.3274e-05,9.3274e-05,9.3274e-05,0.28358,0.01037,0.00875,0.89929,0.0005,3.35908,0.75579,7.99201,0.49549,1.58444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,34,ateroesclerosis_tuning4,100.0,0.10518,0.10843,0.70766,0.56536,0.33186,0.40693,0.2051,2.3412,3.9842,2.6334,0.00013546,0.00013546,0.00013546,0.33507,0.01281,0.01033,0.90711,0.00037,4.42771,0.85008,7.38856,0.44144,1.38628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,17,ateroesclerosis_tuning5,100.0,0.09598,0.11775,0.74425,0.59345,0.24757,0.36793,0.19453,2.4765,4.6782,2.4473,0.00012424,0.00012424,0.00012424,0.29174,0.01129,0.01076,0.89953,0.00048,3.41619,0.82975,8.10076,0.55492,1.46632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,39,ateroesclerosis_tuning6,100.0,0.10725,0.11037,0.67904,0.56599,0.26358,0.32842,0.17023,2.3463,4.4865,2.2596,0.00015132,0.00015132,0.00015132,0.30301,0.01431,0.01033,0.92154,0.0004,4.58941,0.89828,7.19532,0.43145,1.3247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,45,ateroesclerosis_tuning7,100.0,0.07522,0.09124,0.70667,0.43409,0.25287,0.35294,0.18917,2.1593,3.9306,2.36,0.00015601,0.00015601,0.00015601,0.28865,0.0129,0.01185,0.90016,0.0003,4.44946,0.91717,6.84052,0.44832,1.39783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,46,ateroesclerosis_tuning8,100.0,0.13115,0.13702,0.71826,0.40739,0.30671,0.36003,0.18267,2.792,6.8408,2.3639,0.00015921,0.00015921,0.00015921,0.29401,0.0139,0.01121,0.90711,0.00053,3.36035,0.95,9.06929,0.56202,1.39935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,12,ateroesclerosis_tuning9,100.0,0.08561,0.0965,0.61327,0.41566,0.28817,0.34526,0.17081,2.1544,4.3931,2.0608,0.00014814,0.00014814,0.00014814,0.30044,0.01401,0.01033,0.92263,0.00037,4.42771,0.78435,6.75492,0.42596,1.20268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15,ateroesclerosis_tuning10,100.0,0.08477,0.09669,0.67594,0.59895,0.24537,0.37443,0.20973,2.2308,4.4124,2.1999,0.00015132,0.00015132,0.00015132,0.3122,0.01431,0.01033,0.92113,0.0004,4.70301,0.89828,7.25231,0.45819,1.33124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,40,ateroesclerosis_tuning11,100.0,0.08893,0.10819,0.4846,0.37373,0.27493,0.3319,0.1743,2.283,5.0276,1.536,0.00014732,0.00014732,0.00014732,0.31283,0.01356,0.01062,0.90711,0.00037,4.41384,0.84527,7.01536,0.47861,0.94699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,28,ateroesclerosis_tuning12,100.0,0.09278,0.10141,0.63555,0.50095,0.26567,0.33674,0.17459,2.4414,5.0761,2.1363,0.00011811,0.00011811,0.00011811,0.29906,0.01117,0.01033,0.90711,0.00038,4.42771,0.85008,7.72248,0.46106,1.24758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,22,ateroesclerosis_tuning13,100.0,0.09098,0.09818,0.68035,0.54813,0.23124,0.32517,0.16431,2.4351,3.6294,2.3692,0.00014231,0.00014231,0.00014231,0.28463,0.01456,0.00953,0.90711,0.00037,5.0,0.90201,7.38856,0.44144,1.3384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,10,ateroesclerosis_tuning14,100.0,0.06526,0.08784,0.75817,0.47152,0.26302,0.36837,0.1932,1.9765,3.9519,2.6416,0.00012406,0.00012406,0.00012406,0.28479,0.01281,0.00944,0.90711,0.00033,5.0,0.85008,5.99484,0.43237,1.50231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,31,ateroesclerosis_tuning15,100.0,0.06745,0.08448,0.74541,0.41416,0.23742,0.33786,0.1774,2.0118,3.1794,2.6398,0.00011439,0.00011439,0.00011439,0.28732,0.01262,0.00882,0.90711,0.00037,4.42771,0.95,6.21085,0.4173,1.4774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,44,ateroesclerosis_tuning16,100.0,0.09851,0.12426,0.50578,0.41255,0.29876,0.33671,0.16523,2.2713,4.7901,1.5899,0.00014984,0.00014984,0.00014984,0.34303,0.01358,0.01079,0.92376,0.00038,4.41384,0.84527,6.97985,0.50906,0.98372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5,ateroesclerosis_tuning17,100.0,0.08044,0.09494,0.72221,0.40192,0.31377,0.3528,0.17933,2.3064,4.2243,2.487,0.00013884,0.00013884,0.00013884,0.29828,0.01313,0.01033,0.91392,0.00036,4.79389,0.85323,6.85147,0.44883,1.42669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18,ateroesclerosis_tuning18,100.0,0.06612,0.09376,0.73812,0.47413,0.29921,0.39188,0.20637,1.8846,3.7246,2.6263,0.0001356,0.0001356,0.0001356,0.31022,0.01143,0.01162,0.90014,0.00037,3.85479,0.71973,5.76372,0.44548,1.46053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,30,ateroesclerosis_tuning19,100.0,0.08352,0.09124,0.7239,0.57594,0.22727,0.3637,0.20427,2.3324,3.7388,2.4146,0.00014478,0.00014478,0.00014478,0.30484,0.01274,0.01112,0.89179,0.00037,4.4088,0.85617,7.36484,0.43847,1.42942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,25,ateroesclerosis_tuning20,100.0,0.10109,0.15247,0.50713,0.57396,0.28537,0.39195,0.19764,2.3661,5.7577,1.6365,0.00014984,0.00014984,0.00014984,0.32082,0.01358,0.01079,0.9231,0.00035,4.41384,0.90315,7.48112,0.64927,0.98372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,48,ateroesclerosis_tuning21,100.0,0.07576,0.11392,0.55935,0.61038,0.28244,0.39222,0.19303,1.8642,4.1889,1.9005,0.00015525,0.00015525,0.00015525,0.31991,0.01407,0.01079,0.92202,0.00037,4.41384,0.84527,6.08548,0.51442,1.09929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,36,ateroesclerosis_tuning22,100.0,0.08934,0.09543,0.69492,0.57832,0.2233,0.35424,0.18803,2.5562,3.8205,2.4154,0.00013559,0.00013559,0.00013559,0.27982,0.01297,0.01021,0.90711,0.00036,4.45684,0.88638,7.5895,0.45407,1.3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,35,ateroesclerosis_tuning23,100.0,0.08192,0.08496,0.6934,0.4243,0.29435,0.36653,0.19619,2.3887,3.5402,2.3392,0.00011725,0.00011725,0.00011725,0.31212,0.01149,0.00996,0.90128,0.00033,4.41692,0.89403,7.6463,0.4232,1.37036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1,ateroesclerosis_tuning24,100.0,0.15873,0.1896,0.502,0.46449,0.33583,0.37574,0.19681,2.872,8.7837,1.6646,0.00015768,0.00015768,0.00015768,0.31846,0.01429,0.01079,0.94758,0.00041,4.41384,0.95,8.88826,0.65716,0.95567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,47,ateroesclerosis_tuning25,100.0,0.092,0.11638,0.53166,0.4304,0.35613,0.3908,0.19465,2.1173,4.6823,1.7361,0.00017202,0.00017202,0.00017202,0.33199,0.01559,0.01079,0.96244,0.00039,4.59476,0.84582,6.44716,0.48034,1.04051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,38,ateroesclerosis_tuning26,100.0,0.09082,0.11649,0.50417,0.5533,0.2356,0.33867,0.16865,2.161,4.3624,1.6109,0.00014984,0.00014984,0.00014984,0.29264,0.01358,0.01079,0.92376,0.00038,4.41384,0.84528,6.9799,0.50906,0.98382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,8,ateroesclerosis_tuning27,100.0,0.09415,0.10208,0.70538,0.53747,0.24448,0.32601,0.16957,2.3714,4.7232,2.2792,0.00013565,0.00013565,0.00013565,0.31917,0.01408,0.00939,0.89206,0.00037,3.95041,0.95,7.78703,0.46497,1.38628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
