fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.3068,0.01103,0.01049,0.90711,0.0005,3.36035,0.82975,7.95152,0.55488,1.46651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29248,0.01103,0.0108,0.88961,0.0005,2.92889,0.95,9.0481,0.61465,1.47052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28358,0.01037,0.00875,0.89929,0.0005,3.35908,0.75579,7.99201,0.49549,1.58444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33507,0.01281,0.01033,0.90711,0.00037,4.42771,0.85008,7.38856,0.44144,1.38628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29174,0.01129,0.01076,0.89953,0.00048,3.41619,0.82975,8.10076,0.55492,1.46632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30301,0.01431,0.01033,0.92154,0.0004,4.58941,0.89828,7.19532,0.43145,1.3247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28865,0.0129,0.01185,0.90016,0.0003,4.44946,0.91717,6.84052,0.44832,1.39783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29401,0.0139,0.01121,0.90711,0.00053,3.36035,0.95,9.06929,0.56202,1.39935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30044,0.01401,0.01033,0.92263,0.00037,4.42771,0.78435,6.75492,0.42596,1.20268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3122,0.01431,0.01033,0.92113,0.0004,4.70301,0.89828,7.25231,0.45819,1.33124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31283,0.01356,0.01062,0.90711,0.00037,4.41384,0.84527,7.01536,0.47861,0.94699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29906,0.01117,0.01033,0.90711,0.00038,4.42771,0.85008,7.72248,0.46106,1.24758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28463,0.01456,0.00953,0.90711,0.00037,5.0,0.90201,7.38856,0.44144,1.3384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28479,0.01281,0.00944,0.90711,0.00033,5.0,0.85008,5.99484,0.43237,1.50231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28732,0.01262,0.00882,0.90711,0.00037,4.42771,0.95,6.21085,0.4173,1.4774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34303,0.01358,0.01079,0.92376,0.00038,4.41384,0.84527,6.97985,0.50906,0.98372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29828,0.01313,0.01033,0.91392,0.00036,4.79389,0.85323,6.85147,0.44883,1.42669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31022,0.01143,0.01162,0.90014,0.00037,3.85479,0.71973,5.76372,0.44548,1.46053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30484,0.01274,0.01112,0.89179,0.00037,4.4088,0.85617,7.36484,0.43847,1.42942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32082,0.01358,0.01079,0.9231,0.00035,4.41384,0.90315,7.48112,0.64927,0.98372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31991,0.01407,0.01079,0.92202,0.00037,4.41384,0.84527,6.08548,0.51442,1.09929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27982,0.01297,0.01021,0.90711,0.00036,4.45684,0.88638,7.5895,0.45407,1.3708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31212,0.01149,0.00996,0.90128,0.00033,4.41692,0.89403,7.6463,0.4232,1.37036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31846,0.01429,0.01079,0.94758,0.00041,4.41384,0.95,8.88826,0.65716,0.95567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33199,0.01559,0.01079,0.96244,0.00039,4.59476,0.84582,6.44716,0.48034,1.04051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29264,0.01358,0.01079,0.92376,0.00038,4.41384,0.84528,6.9799,0.50906,0.98382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31917,0.01408,0.00939,0.89206,0.00037,3.95041,0.95,7.78703,0.46497,1.38628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32469,0.01288,0.01163,0.97372,0.00041,5.0,0.86026,6.97985,0.50101,0.98372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30034,0.013,0.01033,0.88901,0.0004,4.50542,0.91553,7.1032,0.41268,1.32073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33462,0.01358,0.01134,0.92376,0.00044,4.79523,0.95,6.42635,0.50906,0.9571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31586,0.01358,0.01163,0.9135,0.00038,4.41384,0.91292,6.97985,0.49301,0.97116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34945,0.01422,0.01136,0.92331,0.0004,4.41384,0.88259,6.90272,0.53992,0.98372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.352,0.01358,0.01079,0.95104,0.00035,3.81069,0.91679,7.06193,0.50906,0.85908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30176,0.01422,0.01207,0.92668,0.00039,4.28352,0.87454,6.90272,0.53649,0.96966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30234,0.01632,0.01117,0.89793,0.00048,5.0,0.95,6.2869,0.43786,0.98947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31849,0.0139,0.00844,0.98,0.00035,3.46825,0.95,7.95151,0.50906,1.17199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28635,0.01365,0.0109,0.95325,0.00036,3.80154,0.92971,7.1011,0.50906,0.86152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30973,0.01117,0.01281,0.96391,0.00039,5.0,0.95,7.87859,0.54405,0.5724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31954,0.00856,0.01131,0.89403,0.00036,3.77845,0.95,5.62309,0.461,0.97876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30761,0.01286,0.01079,0.95104,0.00032,3.1545,0.92497,7.17706,0.50899,0.90179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34464,0.01527,0.01136,0.91246,0.0004,4.65383,0.92793,6.90272,0.53992,1.04057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29435,0.01322,0.01026,0.93764,0.00036,4.49569,0.85612,6.81929,0.56267,0.98372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27857,0.0176,0.01136,0.89244,0.00038,4.65383,0.94081,7.04566,0.4898,1.02476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2942,0.01358,0.01083,0.89807,0.00036,4.41384,0.84527,6.23059,0.41522,0.93475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29536,0.01361,0.01117,0.92736,0.00035,3.79927,0.87141,6.60654,0.48713,0.88037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32329,0.01391,0.01225,0.92017,0.00028,4.1061,0.8354,7.43933,0.50788,0.70148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33049,0.01358,0.01215,0.92967,0.00036,4.57947,0.90032,6.97985,0.50906,0.98372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32967,0.01488,0.00914,0.95104,0.00029,3.81069,0.80454,6.98751,0.50906,0.82028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30606,0.0145,0.00619,0.98,0.00035,3.28654,0.91679,6.80093,0.54494,0.86394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34166,0.01423,0.01143,0.92342,0.0004,4.39626,0.88543,6.8235,0.53992,0.98748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
