                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60954,                 0.4648,                0.79359,                0.51997,                0.33936,                0.33744,                 0.1408,                 2.4881,                 4.5359,                 1.9011,               0.073285,             2.6718e-06,             2.6718e-06
                      2,                0.44686,                 0.3205,                0.74769,                0.41148,                0.44925,                0.44853,                0.23152,                 2.4702,                 5.5397,                  1.928,               0.046475,             5.3386e-06,             5.3386e-06
                      3,                0.35205,                0.25081,                0.73082,                0.62741,                0.36933,                0.44822,                0.22921,                 2.4339,                 4.7668,                 1.9519,               0.019664,             7.9476e-06,             7.9476e-06
                      4,                0.30786,                0.21747,                0.72457,                0.60552,                0.41999,                0.49203,                0.25988,                 2.3257,                  4.576,                 1.8636,              9.758e-06,              9.758e-06,              9.758e-06
                      5,                0.28714,                0.20447,                0.72202,                0.62636,                0.39762,                 0.4772,                0.25564,                 2.3681,                   4.91,                 1.9047,             9.5726e-06,             9.5726e-06,             9.5726e-06
                      6,                0.27441,                0.20129,                0.72205,                0.64121,                0.40026,                  0.477,                0.24939,                 2.3464,                 5.1787,                 1.8772,             9.3377e-06,             9.3377e-06,             9.3377e-06
                      7,                0.27023,                0.19659,                0.71957,                0.63805,                 0.4188,                0.50262,                0.27044,                 2.3536,                 5.3576,                 1.8648,             9.0559e-06,             9.0559e-06,             9.0559e-06
                      8,                0.25839,                0.19428,                0.71857,                0.62846,                0.39414,                0.48283,                0.24964,                  2.409,                 5.0484,                  1.918,             8.7302e-06,             8.7302e-06,             8.7302e-06
                      9,                0.24352,                0.18614,                0.71692,                0.65381,                 0.3782,                0.49404,                0.27816,                 2.3607,                 4.8812,                 1.8467,             8.3643e-06,             8.3643e-06,             8.3643e-06
                     10,                0.23497,                0.18261,                0.71656,                0.65364,                 0.3985,                0.50026,                0.26859,                 2.3712,                 4.8722,                 1.8644,             7.9622e-06,             7.9622e-06,             7.9622e-06
                     11,                0.22663,                0.17806,                0.71403,                0.63253,                0.39806,                 0.4823,                 0.2612,                 2.3565,                  5.275,                 1.8729,             7.5283e-06,             7.5283e-06,             7.5283e-06
                     12,                0.21572,                0.17152,                0.71315,                0.62697,                0.40869,                0.47845,                0.26178,                 2.3567,                  5.061,                  1.887,             7.0672e-06,             7.0672e-06,             7.0672e-06
                     13,                0.20245,                0.16777,                0.71222,                0.65373,                0.40909,                0.49766,                0.27215,                 2.3066,                   5.14,                 1.8319,             6.5841e-06,             6.5841e-06,             6.5841e-06
                     14,                 0.1906,                0.16194,                0.70919,                0.65917,                0.39276,                0.49399,                0.26953,                 2.3559,                 4.5922,                 1.8956,             6.0843e-06,             6.0843e-06,             6.0843e-06
                     15,                0.18198,                0.15744,                0.70998,                0.67039,                0.41527,                0.51595,                0.28135,                 2.3719,                 4.4966,                 1.9154,             5.5732e-06,             5.5732e-06,             5.5732e-06
                     16,                0.16742,                0.15149,                0.70849,                0.64733,                0.40335,                0.49664,                0.26662,                 2.3516,                  4.806,                 1.8761,             5.0565e-06,             5.0565e-06,             5.0565e-06
                     17,                0.15939,                0.14764,                0.70783,                0.67498,                0.39762,                0.50313,                0.28145,                 2.3593,                 4.9459,                 1.8926,             4.5398e-06,             4.5398e-06,             4.5398e-06
                     18,                0.15084,                0.14223,                0.70746,                0.61015,                0.40556,                 0.4905,                0.26698,                 2.3558,                 4.8544,                 1.8858,             4.0287e-06,             4.0287e-06,             4.0287e-06
                     19,                0.14149,                0.13726,                0.70559,                0.64476,                0.41169,                0.49681,                0.27072,                 2.3472,                 4.8138,                 1.8904,             3.5289e-06,             3.5289e-06,             3.5289e-06
                     20,                0.13284,                0.13443,                0.70655,                 0.6682,                0.40468,                0.49466,                0.27023,                 2.3539,                 4.8226,                 1.9015,             3.0458e-06,             3.0458e-06,             3.0458e-06
                     21,                0.12469,                0.13065,                0.70669,                0.66652,                0.40071,                0.49579,                0.26674,                  2.365,                 4.7791,                  1.902,             2.5848e-06,             2.5848e-06,             2.5848e-06
                     22,                0.11932,                0.12798,                0.70581,                0.66642,                0.40378,                0.49706,                0.27007,                 2.3488,                 4.9137,                 1.8889,             2.1508e-06,             2.1508e-06,             2.1508e-06
                     23,                0.11148,                0.12369,                0.70421,                0.66306,                 0.4038,                0.49305,                0.26282,                 2.3573,                 4.9334,                 1.9006,             1.7487e-06,             1.7487e-06,             1.7487e-06
                     24,                0.10712,                0.12245,                0.70442,                0.67263,                0.40203,                0.49744,                0.26874,                 2.3615,                 4.9734,                 1.9012,             1.3828e-06,             1.3828e-06,             1.3828e-06
                     25,                0.10179,                 0.1199,                0.70421,                0.64145,                0.41703,                0.49703,                0.27026,                 2.3571,                 5.0013,                 1.8981,             1.0571e-06,             1.0571e-06,             1.0571e-06
                     26,                0.09997,                0.11933,                0.70401,                0.66959,                0.40155,                0.49804,                0.27021,                 2.3574,                 4.9191,                 1.9098,              7.753e-07,              7.753e-07,              7.753e-07
                     27,                0.09667,                0.11801,                0.70423,                0.64035,                0.41565,                 0.5009,                0.27406,                 2.3587,                 4.9528,                 1.9054,             5.4039e-07,             5.4039e-07,             5.4039e-07
                     28,                0.09596,                0.11724,                 0.7046,                0.66239,                0.40777,                 0.5005,                0.27207,                 2.3606,                 4.9195,                  1.908,             3.5495e-07,             3.5495e-07,             3.5495e-07
                     29,                0.09436,                0.11647,                0.70445,                0.64033,                0.41483,                0.5012,                0.27871,                 2.3602,                 4.9033,                 1.9087,             2.2103e-07,             2.2103e-07,             2.2103e-07
                     30,                0.09241,                0.11616,                0.70388,                0.64014,                0.41748,                 0.50519,                0.28122,                 2.3606,                 4.9449,                 1.9083,             1.4008e-07,             1.4008e-07,             1.4008e-07
