                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6618,                 3.3093,                 1.5905,                 0.5016,                0.35966,                0.37419,                0.14904,                 2.7886,                 3.7925,                 1.5335,               0.065003,                3.5e-06,                3.5e-06
                      2,                 1.8907,                 1.2907,                  1.206,                0.57607,                0.43071,                0.44617,                0.19941,                 2.7014,                 3.8089,                 1.5367,               0.029882,             7.0098e-06,             7.0098e-06
                      3,                 1.5412,                0.88685,                 1.0759,                0.59533,                0.45056,                0.47817,                0.24384,                 2.7695,                 3.0114,                 1.6306,             9.9848e-06,             9.9848e-06,             9.9848e-06
                      4,                 1.3152,                0.68645,                0.99563,                0.57382,                0.44484,                0.46124,                0.22773,                 2.7212,                 3.7179,                 1.5857,             9.9658e-06,             9.9658e-06,             9.9658e-06
                      5,                 1.1502,                  0.584,                0.93619,                0.56512,                0.46778,                0.49407,                0.26465,                 2.6889,                 3.6351,                 1.6177,             9.9393e-06,             9.9393e-06,             9.9393e-06
                      6,                 1.0419,                0.51532,                 0.9019,                0.57811,                0.45631,                0.48661,                0.24454,                 2.7818,                  3.315,                 1.7193,             9.9052e-06,             9.9052e-06,             9.9052e-06
                      7,                 0.9449,                0.46917,                0.86758,                0.62948,                 0.4391,                0.48529,                0.25219,                 2.7464,                 3.3577,                 1.6906,             9.8637e-06,             9.8637e-06,             9.8637e-06
                      8,                0.88116,                0.43953,                0.84808,                0.60759,                 0.4338,                0.48854,                0.26075,                 2.7028,                 3.5294,                 1.6649,             9.8148e-06,             9.8148e-06,             9.8148e-06
                      9,                0.81206,                0.40984,                0.83055,                0.61113,                0.43733,                0.49538,                0.25188,                  2.763,                 3.5416,                 1.7483,             9.7585e-06,             9.7585e-06,             9.7585e-06
                     10,                  0.748,                0.38802,                0.81078,                0.61978,                0.43204,                0.50804,                0.26676,                 2.7601,                 3.5353,                 1.7269,              9.695e-06,              9.695e-06,              9.695e-06
                     11,                0.70743,                0.36609,                0.79824,                 0.6056,                0.42216,                0.47983,                0.25106,                 2.7626,                 3.7569,                 1.7401,             9.6244e-06,             9.6244e-06,             9.6244e-06
                     12,                0.66161,                0.34603,                0.78532,                0.64905,                0.42718,                0.50041,                0.26132,                 2.7413,                 3.7826,                 1.7834,             9.5468e-06,             9.5468e-06,             9.5468e-06
                     13,                0.62258,                0.33391,                0.77718,                0.59138,                0.43495,                0.47525,                 0.2568,                 2.6975,                 4.4797,                 1.7409,             9.4622e-06,             9.4622e-06,             9.4622e-06
                     14,                0.58752,                0.31405,                0.76862,                0.60997,                0.41825,                0.48001,                0.24909,                 2.7698,                 3.9595,                 1.7898,             9.3709e-06,             9.3709e-06,             9.3709e-06
                     15,                0.56199,                 0.3061,                0.76401,                0.66367,                0.42365,                0.51729,                0.28127,                 2.6713,                 3.7774,                 1.7268,             9.2729e-06,             9.2729e-06,             9.2729e-06
                     16,                0.53502,                0.29794,                0.75662,                0.61923,                 0.4263,                0.50695,                0.27308,                 2.7201,                   3.84,                 1.7569,             9.1685e-06,             9.1685e-06,             9.1685e-06
                     17,                0.50859,                0.28432,                0.75191,                0.61537,                0.42939,                0.49487,                 0.2698,                 2.7318,                 3.8958,                  1.775,             9.0577e-06,             9.0577e-06,             9.0577e-06
                     18,                 0.4925,                0.27774,                0.74796,                0.61625,                0.42365,                0.50793,                0.27143,                   2.73,                 3.8789,                 1.7971,             8.9408e-06,             8.9408e-06,             8.9408e-06
                     19,                0.47089,                0.27074,                0.74398,                0.63147,                0.41741,                0.50732,                0.27939,                  2.738,                 4.0208,                   1.79,             8.8179e-06,             8.8179e-06,             8.8179e-06
                     20,                0.44748,                0.26158,                 0.7416,                0.62127,                0.39056,                0.48639,                0.27341,                 2.6928,                 4.1531,                 1.7565,             8.6892e-06,             8.6892e-06,             8.6892e-06
