fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.40499,1e-05,0.01,0.7,0.0005,3,0.8,7.5,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38534,1e-05,0.00968,0.73405,0.0005,2.6988,0.77498,7.71832,0.46629,1.55328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4027,1e-05,0.01,0.7,0.00051,3.05355,0.81158,7.5,0.51141,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39775,1e-05,0.01003,0.70471,0.0005,3.05355,0.7964,7.61598,0.51141,1.48774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40726,1e-05,0.01038,0.7,0.0005,3.07059,0.8585,7.65736,0.48138,1.47838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41148,1e-05,0.01066,0.70064,0.00052,3.0977,0.8267,8.40933,0.49493,1.47838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40727,1e-05,0.00849,0.7,0.00046,2.82057,0.77165,8.23338,0.59005,1.64258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40811,1e-05,0.00971,0.70477,0.00043,1.83007,0.92093,8.23338,0.59649,1.16207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38613,1e-05,0.01054,0.7,0.00052,3.41055,0.77165,8.23338,0.59005,1.71523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39474,1e-05,0.0111,0.7,0.00043,1.96882,0.85866,8.30242,0.64129,1.18633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41634,1e-05,0.01141,0.7,0.00058,3.39047,0.79158,7.13915,0.48147,1.39918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38714,1e-05,0.01268,0.7,0.00058,3.39047,0.95,8.08392,0.52301,1.39918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38807,1e-05,0.01058,0.70064,0.00052,3.06995,0.82905,8.54375,0.49632,1.47894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41797,1e-05,0.01139,0.7,0.00058,3.45762,0.77785,7.24426,0.47634,1.40296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3756,1e-05,0.01324,0.7,0.00065,3.39047,0.75002,7.51727,0.60902,1.39918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38391,1e-05,0.01181,0.7,0.00059,3.39047,0.79064,7.099,0.48092,1.39918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39625,1e-05,0.0113,0.70164,0.00058,3.58666,0.78032,7.40022,0.48515,1.42902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39771,1e-05,0.01091,0.71579,0.00055,2.41889,0.77203,8.03789,0.56256,1.4387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37011,1e-05,0.01149,0.7,0.00058,3.44455,0.7765,7.24426,0.47799,1.40898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37374,1e-05,0.01074,0.70372,0.00063,4.1322,0.81414,7.4181,0.45337,1.62456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39383,1e-05,0.0104,0.77512,0.00048,3.36942,0.7536,8.60502,0.38527,1.47838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3835,1e-05,0.01202,0.71282,0.00056,3.53951,0.76814,6.52643,0.49171,1.37433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38843,1e-05,0.01141,0.7,0.00058,3.37646,0.81188,6.96202,0.46461,1.47445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4126,1e-05,0.01066,0.70064,0.00053,3.0977,0.8267,8.40933,0.49493,1.47854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4061,1e-05,0.01051,0.7,0.00079,3.10363,0.78107,7.11539,0.47634,1.20217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39873,1e-05,0.01141,0.7044,0.00058,3.39047,0.79158,6.94751,0.48147,1.41892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
