                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9716,                 2.4235,                  1.643,                0.47186,                0.25949,                0.30726,                0.14452,                 1.6943,                 2.4027,                 1.3399,               0.066698,             1.9146e-06,             1.9146e-06
                      2,                 1.4408,                 1.2185,                 1.2943,                 0.5196,                0.39541,                0.41673,                0.20574,                 1.6486,                 2.4714,                 1.3223,               0.033367,             3.8295e-06,             3.8295e-06
                      3,                 1.1888,                0.85277,                 1.1542,                0.48666,                0.42056,                 0.4074,                0.19446,                 1.7688,                 3.1165,                 1.4335,             3.5394e-05,             5.7385e-06,             5.7385e-06
                      4,                 1.0382,                0.68476,                 1.0869,                0.52242,                0.42963,                0.43349,                0.20817,                 1.7566,                 2.6699,                 1.4323,             5.7292e-06,             5.7292e-06,             5.7292e-06
                      5,                0.94074,                0.59762,                 1.0346,                0.50906,                0.39232,                 0.4048,                0.18912,                 1.8627,                 2.6011,                 1.5182,             5.7139e-06,             5.7139e-06,             5.7139e-06
                      6,                0.86147,                0.53212,                0.99475,                0.54016,                0.40291,                0.44057,                0.21109,                 1.8002,                  2.571,                 1.4796,             5.6943e-06,             5.6943e-06,             5.6943e-06
                      7,                0.78166,                0.47558,                0.95451,                0.53995,                0.41439,                0.42989,                0.20565,                 1.7945,                 2.7836,                 1.4857,             5.6703e-06,             5.6703e-06,             5.6703e-06
                      8,                0.73661,                0.43711,                0.93126,                0.55402,                0.38923,                0.42167,                0.21473,                 1.8152,                 2.7532,                 1.5446,             5.6421e-06,             5.6421e-06,             5.6421e-06
                      9,                0.67568,                0.40792,                0.90095,                0.55061,                0.41743,                0.43931,                0.22191,                 1.7979,                 2.8246,                 1.5477,             5.6097e-06,             5.6097e-06,             5.6097e-06
                     10,                0.64391,                0.38094,                0.88806,                0.57637,                0.38173,                0.44532,                 0.2196,                 1.8302,                 2.6372,                 1.6065,              5.573e-06,              5.573e-06,              5.573e-06
                     11,                0.59788,                 0.3578,                0.86557,                0.52905,                 0.4113,                0.43142,                0.20769,                 1.8308,                 3.0082,                 1.6224,             5.5323e-06,             5.5323e-06,             5.5323e-06
                     12,                0.57302,                0.33896,                0.86537,                0.54656,                0.40909,                0.42192,                 0.2005,                  1.804,                 3.3168,                   1.58,             5.4875e-06,             5.4875e-06,             5.4875e-06
                     13,                0.54889,                0.32826,                0.85067,                0.54814,                0.40953,                0.43159,                0.20398,                 1.8466,                 2.8503,                  1.624,             5.4388e-06,             5.4388e-06,             5.4388e-06
                     14,                 0.5211,                0.31374,                0.84053,                0.57871,                0.37379,                0.42479,                0.20533,                 1.8108,                 2.9012,                 1.6104,             5.3861e-06,             5.3861e-06,             5.3861e-06
                     15,                0.49188,                0.29762,                0.83017,                0.55877,                 0.3707,                0.40963,                0.19391,                 1.7966,                 3.0657,                  1.584,             5.3296e-06,             5.3296e-06,             5.3296e-06
                     16,                0.47889,                0.28814,                0.82554,                0.56765,                0.38614,                0.41595,                0.19296,                 1.8423,                 3.1573,                 1.6355,             5.2693e-06,             5.2693e-06,             5.2693e-06
                     17,                 0.4558,                0.27658,                 0.8221,                0.58027,                 0.3685,                0.41623,                 0.1957,                 1.8201,                 3.1474,                 1.6295,             5.2055e-06,             5.2055e-06,             5.2055e-06
                     18,                0.43191,                 0.2689,                0.81081,                0.60676,                0.39585,                0.42926,                0.20471,                 1.8051,                 2.8918,                 1.6153,              5.138e-06,              5.138e-06,              5.138e-06
