                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3609,                 3.3939,                  1.632,                0.51965,                0.26302,                0.29466,                0.13569,                 2.4154,                 3.8405,                 1.6274,               0.073285,             2.6718e-06,             2.6718e-06
                      2,                 1.6649,                 1.3637,                 1.2206,                 0.4836,                0.41659,                0.39476,                0.18938,                 2.3305,                 5.0431,                 1.5175,               0.046475,             5.3517e-06,             5.3517e-06
                      3,                 1.4007,                0.98115,                  1.105,                0.51685,                 0.4241,                0.42699,                0.21996,                 2.3193,                 3.8757,                 1.5621,               0.019665,             8.0265e-06,             8.0265e-06
                      4,                 1.1858,                 0.7532,                 1.0149,                0.54712,                0.43336,                0.44042,                0.21901,                 2.3326,                 3.8868,                 1.6087,             9.9781e-06,             9.9781e-06,             9.9781e-06
                      5,                 1.0268,                0.61762,                0.94755,                0.51346,                0.43601,                0.38528,                0.18181,                 2.3869,                 4.2659,                 1.6521,              9.961e-06,              9.961e-06,              9.961e-06
                      6,                0.91235,                0.54032,                0.90171,                0.56851,                0.41483,                0.42696,                0.21045,                 2.3755,                  4.141,                 1.6883,             9.9391e-06,             9.9391e-06,             9.9391e-06
                      7,                0.82668,                0.48969,                0.87278,                0.52991,                 0.4038,                0.40893,                0.19662,                 2.4218,                 4.5642,                  1.727,             9.9124e-06,             9.9124e-06,             9.9124e-06
                      8,                0.75942,                0.44384,                0.84692,                0.54766,                0.43336,                 0.4236,                0.19905,                 2.4223,                    4.1,                 1.8032,             9.8809e-06,             9.8809e-06,             9.8809e-06
                      9,                0.70738,                0.41475,                0.82797,                0.55982,                0.43822,                0.43091,                 0.2049,                 2.4298,                 3.6453,                 1.7927,             9.8447e-06,             9.8447e-06,             9.8447e-06
                     10,                0.64684,                 0.3918,                0.80974,                0.50215,                0.43469,                0.42278,                0.20503,                 2.4574,                 4.0845,                 1.8428,             9.8037e-06,             9.8037e-06,             9.8037e-06
                     11,                 0.6088,                 0.3712,                0.79659,                0.56169,                0.42358,                0.42639,                0.19772,                 2.4418,                 4.2035,                 1.8652,              9.758e-06,              9.758e-06,              9.758e-06
                     12,                0.57544,                0.35326,                0.78654,                0.55383,                0.42586,                0.41978,                 0.1966,                 2.3974,                 4.1365,                 1.8244,             9.7077e-06,             9.7077e-06,             9.7077e-06
                     13,                0.54218,                0.34175,                0.77955,                0.55689,                0.43095,                0.43051,                0.20229,                   2.42,                 3.8589,                 1.8769,             9.6529e-06,             9.6529e-06,             9.6529e-06
                     14,                0.51629,                0.32574,                0.76857,                0.54237,                 0.4158,                0.41014,                0.18853,                 2.4809,                 4.2161,                  1.917,             9.5934e-06,             9.5934e-06,             9.5934e-06
                     15,                0.48346,                0.30931,                0.76294,                0.57396,                0.43954,                0.45435,                0.22484,                 2.4186,                 4.3183,                 1.8691,             9.5295e-06,             9.5295e-06,             9.5295e-06
                     16,                0.46875,                0.30119,                0.75696,                0.54485,                0.42586,                0.41657,                0.20036,                 2.4352,                 4.5991,                 1.8981,             9.4612e-06,             9.4612e-06,             9.4612e-06
                     17,                0.45632,                 0.3015,                0.75525,                0.56344,                0.39938,                0.42668,                0.19546,                 2.4479,                 4.8673,                  1.911,             9.3885e-06,             9.3885e-06,             9.3885e-06
                     18,                 0.4322,                0.28565,                0.75031,                0.55794,                0.43292,                0.42845,                0.20848,                  2.446,                 4.2997,                 1.9178,             9.3116e-06,             9.3116e-06,             9.3116e-06
                     19,                0.41098,                0.27909,                0.74589,                0.59362,                0.40909,                0.43823,                0.21526,                 2.4011,                 4.7502,                  1.857,             9.2304e-06,             9.2304e-06,             9.2304e-06
                     20,                0.39832,                0.26961,                0.74332,                0.58133,                 0.3835,                0.42833,                0.21244,                 2.4211,                 5.1585,                 1.8555,             9.1452e-06,             9.1452e-06,             9.1452e-06
                     21,                 0.3873,                0.26296,                0.74068,                0.56494,                0.41041,                0.44104,                0.21626,                 2.3932,                 4.5285,                 1.9087,             9.0559e-06,             9.0559e-06,             9.0559e-06
                     22,                0.37081,                0.25384,                0.73723,                0.59742,                0.40865,                0.44353,                0.21375,                 2.4424,                 4.2693,                 1.9088,             8.9626e-06,             8.9626e-06,             8.9626e-06
                     23,                0.35727,                0.24768,                0.73387,                0.56406,                0.43167,                0.44238,                0.21853,                 2.4275,                 4.8167,                 1.8881,             8.8655e-06,             8.8655e-06,             8.8655e-06
                     24,                0.34868,                0.24406,                0.73313,                0.55447,                0.38658,                0.43226,                0.21459,                 2.4167,                 4.5827,                 1.9094,             8.7647e-06,             8.7647e-06,             8.7647e-06
