                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0326,                 3.9087,                 1.4425,                0.51397,                0.31068,                0.31692,                0.11343,                 2.2119,                 4.1825,                 1.4458,                0.07518,             2.4823e-06,             2.4823e-06
                      2,                 1.4621,                 1.5801,                  1.088,                0.54387,                0.33672,                0.36435,                0.16423,                 2.1588,                 4.8365,                 1.4364,               0.050271,             4.9722e-06,             4.9722e-06
                      3,                 1.2523,                 1.1343,                0.99123,                0.55212,                0.40821,                0.42637,                0.20946,                 2.1725,                 4.1259,                 1.4663,               0.025362,             7.4572e-06,             7.4572e-06
                      4,                 1.0811,                0.86617,                0.92135,                0.61347,                0.39894,                0.43539,                0.22225,                 2.0692,                 4.0795,                 1.4351,              0.0004532,             9.9338e-06,             9.9338e-06
                      5,                0.93996,                0.70678,                0.86196,                 0.6004,                0.40512,                0.44751,                0.22897,                 2.1322,                 4.3667,                 1.4986,             9.9609e-06,             9.9609e-06,             9.9609e-06
                      6,                0.83724,                0.61524,                0.82195,                0.60224,                0.41483,                0.46861,                0.23876,                 2.1624,                 4.1516,                  1.545,              9.939e-06,              9.939e-06,              9.939e-06
                      7,                0.76485,                0.55696,                0.78784,                0.58134,                0.40026,                0.45126,                0.23268,                 2.1686,                 4.3534,                 1.5548,             9.9122e-06,             9.9122e-06,             9.9122e-06
                      8,                0.70252,                0.51293,                0.76515,                0.60829,                0.42365,                 0.4744,                0.23366,                 2.1796,                 4.0011,                 1.6179,             9.8806e-06,             9.8806e-06,             9.8806e-06
                      9,                 0.6406,                0.47776,                0.74278,                0.63867,                0.41968,                0.47654,                0.23154,                 2.1736,                 4.2879,                 1.6096,             9.8442e-06,             9.8442e-06,             9.8442e-06
                     10,                0.59643,                0.45494,                0.72733,                0.64675,                0.39276,                0.45883,                0.24089,                  2.174,                 4.7149,                 1.6036,             9.8031e-06,             9.8031e-06,             9.8031e-06
                     11,                0.55837,                 0.4244,                0.71466,                0.58763,                0.40512,                0.46369,                0.22949,                 2.1614,                 4.6656,                 1.6165,             9.7573e-06,             9.7573e-06,             9.7573e-06
                     12,                 0.5266,                0.40437,                 0.7056,                0.60416,                0.43647,                0.48037,                0.23647,                 2.1795,                 4.3851,                 1.6432,             9.7069e-06,             9.7069e-06,             9.7069e-06
                     13,                  0.499,                0.39361,                0.69666,                0.62442,                0.41262,                0.47558,                0.24841,                 2.1761,                 4.5441,                 1.6396,             9.6518e-06,             9.6518e-06,             9.6518e-06
                     14,                 0.4738,                0.37754,                0.68701,                0.60358,                0.43601,                0.46673,                0.22934,                 2.1699,                 4.6095,                 1.6638,             9.5922e-06,             9.5922e-06,             9.5922e-06
                     15,                 0.4518,                0.36086,                 0.6836,                0.68426,                0.39011,                0.48736,                0.25641,                 2.1622,                 4.5134,                 1.6575,             9.5281e-06,             9.5281e-06,             9.5281e-06
                     16,                0.43035,                0.35228,                0.67656,                0.61888,                0.41133,                0.47211,                0.23475,                 2.1239,                 4.9789,                 1.6178,             9.4596e-06,             9.4596e-06,             9.4596e-06
                     17,                0.41169,                0.33995,                0.67046,                0.61569,                  0.391,                0.46088,                 0.2262,                 2.1429,                 5.3719,                 1.6069,             9.3867e-06,             9.3867e-06,             9.3867e-06
                     18,                0.39889,                0.33289,                0.66773,                0.59232,                0.41163,                0.46652,                0.22284,                 2.1464,                 4.7047,                 1.6704,             9.3096e-06,             9.3096e-06,             9.3096e-06
                     19,                0.37658,                0.31725,                0.66144,                0.60386,                0.40468,                0.48358,                0.25081,                 2.1192,                 5.2533,                 1.6051,             9.2282e-06,             9.2282e-06,             9.2282e-06
                     20,                0.37024,                0.31512,                0.66154,                0.59748,                0.39541,                0.46748,                0.25118,                 2.1189,                 5.2086,                 1.6217,             9.1427e-06,             9.1427e-06,             9.1427e-06
                     21,                0.35217,                0.30332,                0.65732,                0.61441,                0.40011,                 0.4802,                0.25654,                 2.1688,                 4.7424,                 1.7072,             9.0531e-06,             9.0531e-06,             9.0531e-06
                     22,                0.33707,                0.29851,                0.65427,                0.59495,                0.39365,                0.45788,                0.23194,                 2.1032,                  4.927,                  1.642,             8.9596e-06,             8.9596e-06,             8.9596e-06
