fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.2458,1e-05,0.0113,0.70791,0.00059,3.73119,0.82891,8.62695,0.62974,1.39943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27456,1e-05,0.01126,0.70352,0.00063,3.84726,0.85586,8.85331,0.65956,1.39943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28841,1e-05,0.01178,0.71132,0.00064,3.69761,0.80535,8.39926,0.64558,1.25953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26505,1e-05,0.01087,0.71132,0.00065,3.69761,0.75293,8.39926,0.65353,1.21133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29581,1e-05,0.01258,0.70697,0.0007,3.83472,0.80535,9.36247,0.59716,1.27692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,1e-05,0.01126,0.7,0.0006,4.64449,0.91134,8.32863,0.68207,1.26408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26383,1e-05,0.01258,0.70646,0.00077,4.47317,0.60999,10.33628,0.4335,1.37312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28353,1e-05,0.00995,0.71132,0.00061,3.69761,0.80535,7.33856,0.59904,1.25953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28629,1e-05,0.01109,0.71132,0.00057,3.82559,0.71032,8.39926,0.59548,1.22846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27531,1e-05,0.01243,0.7,0.0007,3.86743,0.79903,9.36247,0.59716,1.3048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28594,1e-05,0.01178,0.71132,0.00072,2.80663,0.71732,8.17426,0.64558,1.24296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
