                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8336,                  3.753,                 1.7282,                0.00729,                0.42354,                 0.0052,                0.00231,                 2.0826,                 429.63,                 1.9699,             0.00066574,             0.00066574,             0.00066574
                      2,                 1.3851,                 1.3414,                 1.3969,                0.00729,                0.42354,                 0.0052,                0.00231,                 2.2639,                 4.5803,                 1.8598,              0.0013192,              0.0013192,              0.0013192
                      3,                 1.2489,                 1.1377,                 1.3064,                0.00729,                0.42354,                 0.0052,                0.00231,                 2.1656,                 4.8418,                 1.9256,              0.0019595,              0.0019595,              0.0019595
                      4,                 1.1436,                0.92556,                 1.2356,                0.48277,                0.18721,                   0.13,                0.07864,                  1.946,                 3.6938,                 1.8354,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.0307,                0.75825,                 1.1497,                0.39463,                 0.2175,                0.18068,                 0.0612,                 2.2366,                 3.2012,                 2.0641,              0.0019208,              0.0019208,              0.0019208
                      6,                0.96396,                0.65135,                  1.103,                0.57279,                0.23633,                0.27756,                0.15871,                 1.9387,                 3.3937,                 1.8706,               0.001901,               0.001901,               0.001901
                      7,                 0.8904,                0.56555,                 1.0672,                0.50866,                0.06302,                0.06851,                0.04664,                 2.0289,                 4.1198,                  4.012,              0.0018812,              0.0018812,              0.0018812
                      8,                0.79749,                0.52701,                 1.0068,                0.45136,                0.19277,                0.23015,                0.13744,                 1.7605,                 2.8251,                 1.8445,              0.0018614,              0.0018614,              0.0018614
                      9,                0.74546,                0.50348,                0.97613,                0.41722,                 0.1798,                0.18603,                0.11121,                 2.0417,                 3.2263,                 2.0856,              0.0018416,              0.0018416,              0.0018416
                     10,                0.69222,                0.44556,                0.92778,                0.55985,                0.25109,                  0.322,                0.19545,                 1.8996,                 3.2037,                 1.9245,              0.0018218,              0.0018218,              0.0018218
                     11,                0.64726,                0.41849,                 0.9134,                0.66164,                0.17942,                 0.3052,                0.15679,                 1.8007,                 3.2599,                 1.8225,               0.001802,               0.001802,               0.001802
                     12,                0.60444,                0.40217,                0.88557,                0.71004,                 0.3268,                0.43494,                 0.2543,                 2.0069,                  3.244,                 2.0586,              0.0017822,              0.0017822,              0.0017822
                     13,                0.55937,                0.37143,                0.87907,                0.68658,                0.21501,                0.29043,                0.14955,                 1.9879,                 3.6801,                 2.0302,              0.0017624,              0.0017624,              0.0017624
                     14,                0.51642,                0.33888,                  0.838,                0.38863,                0.31047,                0.39492,                0.26817,                 1.9022,                 3.6696,                 1.9639,              0.0017426,              0.0017426,              0.0017426
