                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8022,                 2.6396,                  1.725,                0.52872,                0.27618,                0.27896,                0.14161,                 2.0252,                 6.2619,                 2.0343,               0.080255,             0.00019944,             0.00019944
                      2,                 1.2713,                0.96695,                 1.3418,                0.57871,                0.27498,                0.32137,                0.16571,                  2.076,                  2.856,                  1.875,               0.060455,             0.00039937,             0.00039937
                      3,                 1.1468,                0.79304,                 1.2582,                0.05888,                0.05653,                0.03578,                0.01463,                 2.3367,                 4.4543,                 2.2591,               0.040655,             0.00059903,             0.00059903
                      4,                 1.0608,                0.70538,                 1.1939,                 0.7192,                0.29472,                0.33641,                0.19003,                 2.2834,                 3.3637,                 2.2292,               0.020854,             0.00079822,             0.00079822
                      5,                 1.0154,                0.66404,                 1.1625,                0.27597,                0.14643,                0.10745,                0.04018,                 2.2198,                 3.5328,                 2.0621,              0.0010526,             0.00099673,             0.00099673
                      6,                0.88993,                0.57217,                 1.0852,                0.32198,                0.28916,                0.31837,                0.19216,                 1.9762,                  3.738,                 1.9039,             0.00099577,             0.00099577,             0.00099577
                      7,                0.83454,                0.52858,                 1.0537,                0.86009,                 0.1696,                0.22496,                0.14011,                 2.1204,                  4.225,                 2.0581,             0.00099391,             0.00099391,             0.00099391
                      8,                0.74999,                0.46654,                   1.01,                0.69591,                0.20482,                0.27359,                 0.1863,                 2.1622,                  3.786,                 2.2272,             0.00099171,             0.00099171,             0.00099171
                      9,                0.70972,                0.42375,                0.97077,                0.54137,                0.25765,                0.26134,                0.12981,                 2.1199,                  3.367,                 2.1573,             0.00098918,             0.00098918,             0.00098918
                     10,                0.65324,                 0.3964,                0.94798,                0.19776,                 0.2456,                0.23852,                0.11359,                 2.1701,                 3.8398,                 2.1799,             0.00098632,             0.00098632,             0.00098632
                     11,                0.59186,                0.38541,                0.90349,                0.67234,                0.18447,                0.26191,                0.18049,                 2.2354,                 3.8384,                 2.2118,             0.00098313,             0.00098313,             0.00098313
                     12,                0.58297,                0.37036,                0.90146,                0.99208,                0.16589,                0.30559,                0.23668,                 2.0957,                 3.9783,                 2.0977,             0.00097962,             0.00097962,             0.00097962
                     13,                0.53797,                0.34019,                 0.8853,                0.94373,                0.17331,                0.27972,                 0.1948,                 2.2516,                 4.4634,                 2.1368,             0.00097577,             0.00097577,             0.00097577
                     14,                0.51312,                0.34664,                0.86305,                0.88797,                0.17146,                0.34657,                0.23753,                 2.1293,                 4.3458,                 2.0966,             0.00097161,             0.00097161,             0.00097161
                     15,                 0.4874,                 0.3248,                0.85532,                0.85941,                 0.2317,                0.41562,                 0.2786,                 2.2022,                 3.9391,                 2.3657,             0.00096712,             0.00096712,             0.00096712
                     16,                0.49627,                0.31419,                0.85857,                0.82185,                0.18628,                0.25992,                0.17006,                 2.0855,                 3.8505,                 2.1546,             0.00096232,             0.00096232,             0.00096232
                     17,                0.46214,                0.30124,                0.84226,                0.65634,                0.21594,                0.46651,                0.34393,                 2.1118,                 4.1904,                 2.1769,             0.00095721,             0.00095721,             0.00095721
                     18,                0.42354,                0.28673,                0.82758,                0.43122,                0.25857,                0.39287,                0.25809,                 2.5431,                 4.2974,                 2.3996,             0.00095178,             0.00095178,             0.00095178
                     19,                0.41522,                0.27847,                0.81875,                0.85059,                0.18994,                0.41009,                0.28394,                 2.3873,                 4.3825,                 2.4482,             0.00094605,             0.00094605,             0.00094605
                     20,                0.39113,                0.26499,                0.81098,                0.40755,                0.18999,                0.33591,                 0.2227,                 2.4353,                 4.8471,                 2.2372,             0.00094001,             0.00094001,             0.00094001
                     21,                0.37547,                0.25425,                0.80632,                 0.6194,                0.15385,                0.37433,                0.27868,                  2.195,                 4.6837,                 2.2604,             0.00093368,             0.00093368,             0.00093368
                     22,                0.35112,                0.24604,                0.79352,                0.55455,                0.28267,                0.45268,                0.31541,                  2.354,                 4.1097,                 2.2579,             0.00092706,             0.00092706,             0.00092706
                     23,                0.36193,                0.24664,                0.79798,                0.38746,                0.12604,                0.24734,                  0.168,                 2.5183,                 4.8825,                 2.4539,             0.00092014,             0.00092014,             0.00092014
                     24,                 0.3483,                0.23796,                0.80203,                0.54364,                0.32901,                0.47436,                0.30276,                 2.1635,                 3.7129,                 2.3295,             0.00091294,             0.00091294,             0.00091294
