                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95032,                 0.6744,                0.97329,                 0.0035,                0.06194,                0.00186,                 0.0009,                 1.2194,                    nan,                 1.0264,                    0.1,               0.099853,               0.099853
                      2,                 1.0033,                0.84203,                 1.0011,                 0.0035,                0.06194,                0.00186,                 0.0009,                 1.8983,                    nan,                 1.7183,               0.099983,               0.099983,               0.099983
                      3,                  0.963,                    nan,                0.98373,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.099932,               0.099932,               0.099932
                      4,                0.89015,                    nan,                0.93336,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.099847,               0.099847,               0.099847
                      5,                0.81646,                    nan,                0.82526,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.099729,               0.099729,               0.099729
                      6,                  0.775,                    nan,                0.75192,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.099577,               0.099577,               0.099577
                      7,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.099391,               0.099391,               0.099391
                      8,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.099171,               0.099171,               0.099171
                      9,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.098918,               0.098918,               0.098918
                     10,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.098632,               0.098632,               0.098632
                     11,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.098313,               0.098313,               0.098313
                     12,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.097962,               0.097962,               0.097962
                     13,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.097577,               0.097577,               0.097577
                     14,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.097161,               0.097161,               0.097161
                     15,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.096712,               0.096712,               0.096712
                     16,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.096232,               0.096232,               0.096232
                     17,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.095721,               0.095721,               0.095721
                     18,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.095178,               0.095178,               0.095178
                     19,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.094605,               0.094605,               0.094605
                     20,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.094001,               0.094001,               0.094001
                     21,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.093368,               0.093368,               0.093368
                     22,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.092706,               0.092706,               0.092706
                     23,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.092014,               0.092014,               0.092014
                     24,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.091294,               0.091294,               0.091294
                     25,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.090546,               0.090546,               0.090546
                     26,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.089771,               0.089771,               0.089771
                     27,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.088969,               0.088969,               0.088969
                     28,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,                0.08814,                0.08814,                0.08814
                     29,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.087286,               0.087286,               0.087286
                     30,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.086406,               0.086406,               0.086406
                     31,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.085502,               0.085502,               0.085502
                     32,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.084574,               0.084574,               0.084574
                     33,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.083622,               0.083622,               0.083622
                     34,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.082648,               0.082648,               0.082648
                     35,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.081651,               0.081651,               0.081651
                     36,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.080634,               0.080634,               0.080634
                     37,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.079595,               0.079595,               0.079595
                     38,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.078537,               0.078537,               0.078537
                     39,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,                0.07746,                0.07746,                0.07746
                     40,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.076364,               0.076364,               0.076364
                     41,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,                0.07525,                0.07525,                0.07525
                     42,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.074119,               0.074119,               0.074119
                     43,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.072973,               0.072973,               0.072973
                     44,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,                0.07181,                0.07181,                0.07181
                     45,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.070633,               0.070633,               0.070633
                     46,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.069443,               0.069443,               0.069443
                     47,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.068239,               0.068239,               0.068239
                     48,                    nan,                    nan,                    nan,                 0.0035,                0.06194,                0.00186,                 0.0009,                    nan,                    nan,                    nan,               0.067023,               0.067023,               0.067023
