                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8775,                 2.2012,                 1.5399,                0.78123,                0.21396,                0.29619,                0.15921,                 1.6572,                 2.2433,                 1.2814,             0.00024735,             9.9853e-05,             9.9853e-05
                      2,                 1.1283,                0.71818,                 1.0743,                0.62714,                0.44032,                0.50969,                0.22539,                 1.6565,                 1.7068,                  1.348,             9.9983e-05,             9.9983e-05,             9.9983e-05
                      3,                0.94699,                0.54615,                0.98164,                0.70108,                0.27928,                0.39036,                 0.1962,                 1.6154,                 2.1124,                 1.3551,             9.9932e-05,             9.9932e-05,             9.9932e-05
                      4,                0.80033,                0.47028,                0.91018,                0.84313,                0.32683,                0.45511,                0.25051,                 1.5342,                 2.0735,                 1.2409,             9.9847e-05,             9.9847e-05,             9.9847e-05
                      5,                0.69479,                0.41607,                0.86357,                0.60642,                0.25225,                0.37443,                0.24418,                 1.5945,                 2.7195,                 1.2998,             9.9729e-05,             9.9729e-05,             9.9729e-05
                      6,                0.63223,                0.34501,                0.83307,                 0.6903,                0.29167,                 0.4185,                0.24873,                 1.5986,                 2.5294,                 1.3375,             9.9577e-05,             9.9577e-05,             9.9577e-05
                      7,                0.57223,                0.32734,                0.81427,                0.47504,                0.31081,                0.41613,                0.27919,                 1.6134,                 2.9867,                 1.3149,             9.9391e-05,             9.9391e-05,             9.9391e-05
                      8,                0.50331,                0.31432,                0.76867,                0.68519,                0.33333,                0.54213,                0.34849,                 1.5246,                 3.0185,                 1.3003,             9.9171e-05,             9.9171e-05,             9.9171e-05
                      9,                0.45247,                0.27133,                0.75749,                0.54046,                0.39865,                0.52213,                0.28988,                 1.5662,                 2.6745,                  1.319,             9.8918e-05,             9.8918e-05,             9.8918e-05
                     10,                 0.4384,                0.26391,                  0.747,                0.82638,                0.23048,                0.40488,                0.25821,                 1.6144,                 2.9407,                 1.3578,             9.8632e-05,             9.8632e-05,             9.8632e-05
                     11,                0.39767,                0.24611,                0.74214,                0.57058,                 0.3232,                0.48396,                0.31297,                  1.538,                 3.0458,                 1.3233,             9.8313e-05,             9.8313e-05,             9.8313e-05
                     12,                 0.3789,                0.23614,                0.74055,                0.51385,                0.22973,                0.39927,                0.27638,                 1.5957,                 3.2975,                 1.3687,             9.7962e-05,             9.7962e-05,             9.7962e-05
                     13,                0.36168,                0.22573,                0.73137,                0.45287,                0.22185,                0.35005,                 0.2326,                 1.6007,                 3.5607,                 1.3398,             9.7577e-05,             9.7577e-05,             9.7577e-05
                     14,                0.33588,                0.21234,                0.72142,                0.64767,                0.28153,                0.48942,                0.31558,                 1.5762,                 3.3044,                 1.3491,             9.7161e-05,             9.7161e-05,             9.7161e-05
                     15,                0.32386,                 0.2067,                0.71563,                0.72775,                0.31306,                0.55107,                0.37367,                 1.5105,                 3.0529,                 1.3366,             9.6712e-05,             9.6712e-05,             9.6712e-05
                     16,                0.31124,                0.20106,                0.71321,                0.52096,                0.29392,                0.43097,                0.29083,                 1.6293,                 3.3892,                 1.4338,             9.6232e-05,             9.6232e-05,             9.6232e-05
                     17,                0.29529,                0.19293,                0.71478,                0.68095,                0.32207,                0.51808,                0.35652,                 1.5621,                  3.331,                 1.3453,             9.5721e-05,             9.5721e-05,             9.5721e-05
