                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.1122,                0.10969,                0.68346,                0.97143,                0.15315,                0.56437,                0.42927,                0.36946,                0.76019,                0.37766,             0.00024735,             9.9853e-05,             9.9853e-05
                      2,                0.10414,                0.10118,                0.67363,                0.79121,                0.16216,                0.49207,                0.33949,                0.56366,                 1.2175,                 0.5703,             9.9976e-05,             9.9976e-05,             9.9976e-05
                      3,                0.11252,                0.10495,                  0.682,                0.93525,                 0.1464,                0.54508,                0.37592,                0.50681,                 1.0622,                0.49522,             9.9902e-05,             9.9902e-05,             9.9902e-05
                      4,                0.13048,                0.11722,                0.69838,                0.91587,                  0.125,                0.27531,                0.20191,                0.59583,                 1.4008,                0.58813,              9.978e-05,              9.978e-05,              9.978e-05
                      5,                0.10712,                0.10396,                0.68893,                0.91176,                0.20946,                0.56655,                0.40433,                0.55876,                 1.1094,                0.55508,              9.961e-05,              9.961e-05,              9.961e-05
                      6,                0.10721,                 0.1017,                0.68819,                0.62373,                0.20721,                0.44672,                0.31504,                0.65963,                 1.3204,                0.67952,             9.9391e-05,             9.9391e-05,             9.9391e-05
                      7,                0.10395,                0.10106,                0.69016,                0.55949,                0.19595,                0.41337,                0.30823,                0.56877,                 1.1457,                0.62804,             9.9123e-05,             9.9123e-05,             9.9123e-05
                      8,                0.09834,                0.09723,                0.66997,                0.94038,                0.10658,                0.18526,                0.13147,                0.51377,                 1.2389,                0.55535,             9.8808e-05,             9.8808e-05,             9.8808e-05
                      9,                0.10119,                0.09547,                0.67696,                0.97981,                0.14752,                0.37825,                0.27559,                0.57949,                 1.2398,                0.56593,             9.8445e-05,             9.8445e-05,             9.8445e-05
                     10,                0.08994,                0.09211,                0.67471,                0.98585,                0.15691,                 0.2135,                0.15262,                0.53101,                 1.1277,                0.54587,             9.8035e-05,             9.8035e-05,             9.8035e-05
                     11,                0.08915,                0.08942,                0.68086,                0.91192,                 0.1982,                0.56007,                0.39444,                0.65762,                 1.2994,                0.63264,             9.7577e-05,             9.7577e-05,             9.7577e-05
                     12,                0.08992,                0.08947,                0.68497,                0.93785,                0.18694,                0.56693,                0.40319,                0.46187,                  1.045,                0.47782,             9.7074e-05,             9.7074e-05,             9.7074e-05
                     13,                0.09118,                0.09237,                0.67954,                0.89744,                0.15766,                0.53528,                0.39538,                 0.4003,                0.84004,                0.40969,             9.6524e-05,             9.6524e-05,             9.6524e-05
                     14,                0.09211,                0.09305,                0.67755,                0.86826,                0.16329,                0.52481,                0.38277,                0.39123,                0.86676,                0.37653,             9.5929e-05,             9.5929e-05,             9.5929e-05
                     15,                0.09082,                0.09197,                0.67576,                0.94944,                0.19032,                0.57365,                0.41242,                0.45214,                0.96945,                0.45479,             9.5289e-05,             9.5289e-05,             9.5289e-05
                     16,                0.08903,                0.08859,                0.67465,                0.94798,                0.18468,                0.57004,                0.41471,                0.49069,                 1.0454,                0.50327,             9.4605e-05,             9.4605e-05,             9.4605e-05
                     17,                0.08936,                0.09182,                0.68052,                0.97878,                0.15584,                0.23471,                0.16184,                0.51149,                 1.0192,                0.53796,             9.3877e-05,             9.3877e-05,             9.3877e-05
                     18,                0.09071,                0.09225,                0.68001,                 0.9783,                0.10153,                0.26247,                0.18516,                0.72279,                 1.7344,                0.67123,             9.3107e-05,             9.3107e-05,             9.3107e-05
                     19,                0.09437,                0.09144,                0.68558,                0.72021,                0.15653,                0.45755,                0.33626,                0.85488,                 1.8539,                0.85235,             9.2294e-05,             9.2294e-05,             9.2294e-05
                     20,                0.08881,                0.09022,                0.68452,                0.90608,                0.18468,                0.55246,                0.37548,                0.45146,                0.90888,                0.46233,              9.144e-05,              9.144e-05,              9.144e-05
                     21,                0.08405,                0.08613,                0.67789,                0.92667,                0.15653,                0.54636,                0.40979,                0.51967,                   1.14,                 0.5155,             9.0546e-05,             9.0546e-05,             9.0546e-05
                     22,                0.08418,                 0.0886,                0.68072,                0.94839,                0.16554,                0.55997,                0.41818,                0.55409,                 1.2133,                 0.5682,             8.9613e-05,             8.9613e-05,             8.9613e-05
                     23,                0.09003,                 0.0894,                0.69283,                0.89222,                0.16779,                0.53798,                0.37836,                 0.5061,                 1.0675,                0.49979,              8.864e-05,              8.864e-05,              8.864e-05
                     24,                0.08484,                0.08875,                0.68682,                0.92958,                0.14865,                0.54254,                0.38703,                0.57743,                  1.416,                0.58281,              8.763e-05,              8.763e-05,              8.763e-05
                     25,                0.08636,                0.08825,                0.68462,                0.67677,                 0.1509,                0.43602,                0.30473,                0.57218,                 1.2913,                0.57594,             8.6584e-05,             8.6584e-05,             8.6584e-05
                     26,                0.07748,                0.08282,                0.66697,                0.89655,                 0.1464,                0.52719,                0.36763,                0.53857,                 1.3827,                0.52913,             8.5502e-05,             8.5502e-05,             8.5502e-05
                     27,                0.07993,                0.08619,                0.67897,                0.87736,                0.20946,                0.55011,                0.38487,                0.59611,                 1.1039,                0.61427,             8.4385e-05,             8.4385e-05,             8.4385e-05
                     28,                0.07569,                0.08089,                0.67511,                0.82249,                0.15653,                0.49898,                0.36558,                0.45666,                 1.1093,                0.45519,             8.3235e-05,             8.3235e-05,             8.3235e-05
                     29,                 0.0765,                0.08192,                0.68611,                0.91613,                0.15991,                0.54265,                 0.4067,                0.47175,                 1.1256,                0.47232,             8.2052e-05,             8.2052e-05,             8.2052e-05
                     30,                0.07976,                0.08235,                 0.6716,                0.93706,                 0.1509,                0.54685,                0.38479,                0.41567,                0.95863,                0.41164,             8.0839e-05,             8.0839e-05,             8.0839e-05
                     31,                0.07115,                0.07814,                0.66643,                0.95333,                0.16104,                0.55959,                0.40641,                0.47676,                 1.0856,                0.50585,             7.9595e-05,             7.9595e-05,             7.9595e-05
                     32,                0.07688,                0.08071,                0.66899,                0.96503,                0.15541,                0.56148,                0.41514,                0.41943,                0.95727,                0.42524,             7.8323e-05,             7.8323e-05,             7.8323e-05
                     33,                0.07422,                0.08003,                0.68874,                 0.8869,                0.16779,                0.53577,                0.38451,                0.59776,                 1.1844,                0.59841,             7.7023e-05,             7.7023e-05,             7.7023e-05
                     34,                0.07273,                0.07912,                0.68131,                0.94483,                0.15428,                0.55334,                0.39613,                0.42592,                 1.0557,                0.43069,             7.5698e-05,             7.5698e-05,             7.5698e-05
