                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.12907,                0.12451,                0.68239,                   0.82,                0.23086,                0.54239,                0.38214,                 0.8532,                 1.4916,                0.98641,             0.00024735,             9.9853e-05,             9.9853e-05
                      2,                0.11861,                0.11123,                0.67172,                0.99301,                0.15991,                0.57698,                0.43008,                0.47705,                 1.1232,                0.48742,             9.9983e-05,             9.9983e-05,             9.9983e-05
                      3,                 0.1243,                 0.1098,                0.68054,                0.87907,                0.21284,                0.55675,                0.38715,                 1.0073,                 1.9505,                 1.1248,             9.9932e-05,             9.9932e-05,             9.9932e-05
                      4,                0.12515,                 0.1176,                 0.6872,                0.80569,                0.19144,                 0.5142,                0.37282,                 0.9225,                 1.8722,                 1.0364,             9.9846e-05,             9.9846e-05,             9.9846e-05
                      5,                0.12046,                0.10927,                0.68868,                0.87245,                0.19257,                0.54177,                0.37521,                 0.9339,                 1.9141,                0.99864,             9.9726e-05,             9.9726e-05,             9.9726e-05
                      6,                0.12407,                 0.1149,                0.69217,                 0.8125,                0.19032,                0.51414,                0.34761,                0.96782,                 1.7396,                 1.0199,             9.9573e-05,             9.9573e-05,             9.9573e-05
                      7,                0.11863,                0.11007,                0.69172,                0.91139,                0.16216,                0.54268,                0.41218,                0.88615,                 1.7944,                0.95076,             9.9385e-05,             9.9385e-05,             9.9385e-05
                      8,                0.11282,                0.10438,                0.66993,                0.89873,                0.15991,                 0.5355,                 0.4042,                0.90254,                 2.0143,                0.98858,             9.9164e-05,             9.9164e-05,             9.9164e-05
                      9,                0.10803,                0.10413,                0.67462,                0.96774,                0.16892,                0.57046,                0.41974,                 0.9657,                 1.9207,                   1.02,             9.8908e-05,             9.8908e-05,             9.8908e-05
                     10,                0.11928,                0.11836,                0.67996,                0.76636,                0.18468,                0.49314,                0.34875,                 1.0591,                 2.1251,                 1.1101,              9.862e-05,              9.862e-05,              9.862e-05
                     11,                0.11252,                0.10578,                0.68217,                0.80392,                0.18468,                0.50576,                 0.3561,                  1.054,                 2.2229,                 1.0629,             9.8298e-05,             9.8298e-05,             9.8298e-05
                     12,                0.10615,                0.10422,                0.68603,                0.89231,                0.19595,                0.55192,                0.37967,                0.94732,                 1.9705,                 1.0753,             9.7943e-05,             9.7943e-05,             9.7943e-05
                     13,                0.10494,                0.09957,                0.67907,                0.83051,                0.16554,                0.50759,                0.36747,                0.92356,                 2.0158,                 1.0308,             9.7555e-05,             9.7555e-05,             9.7555e-05
