                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.11875,                0.12784,                0.68208,                0.96622,                0.16104,                0.56614,                0.43356,                0.36629,                0.93876,                0.39417,             0.00024735,             9.9853e-05,             9.9853e-05
                      2,                0.12115,                0.11203,                0.67227,                0.91195,                0.16329,                0.54163,                0.38524,                0.50788,                 1.3671,                0.48901,             9.9983e-05,             9.9983e-05,             9.9983e-05
                      3,                0.13671,                0.13135,                0.68265,                0.86207,                0.16892,                0.52594,                0.37492,                0.45828,                0.91345,                0.43947,             9.9931e-05,             9.9931e-05,             9.9931e-05
                      4,                0.13484,                0.12751,                0.68902,                0.95999,                 0.1621,                0.17486,                0.12358,                0.86644,                 3.9949,                0.80531,             9.9846e-05,             9.9846e-05,             9.9846e-05
                      5,                0.12525,                0.11456,                0.68824,                0.97116,                0.15991,                0.43214,                0.34705,                0.76188,                 1.6448,                0.77447,             9.9726e-05,             9.9726e-05,             9.9726e-05
                      6,                0.12541,                0.11473,                0.68925,                0.87195,                0.16104,                 0.5263,                0.39781,                0.80657,                 2.0726,                0.81584,             9.9572e-05,             9.9572e-05,             9.9572e-05
                      7,                0.12829,                0.11686,                0.69126,                0.74038,                0.17342,                0.47639,                0.35022,                 1.2827,                 2.9513,                 1.3097,             9.9384e-05,             9.9384e-05,             9.9384e-05
                      8,                0.11493,                0.10718,                0.67003,                0.86628,                0.16779,                0.52714,                 0.4064,                 0.9841,                 2.1523,                 1.0043,             9.9163e-05,             9.9163e-05,             9.9163e-05
                      9,                0.11507,                0.11427,                0.67631,                  0.875,                0.16554,                0.53033,                0.42148,                 1.0093,                 2.3564,                0.94901,             9.8907e-05,             9.8907e-05,             9.8907e-05
                     10,                0.11468,                0.10843,                 0.6762,                0.90566,                0.16216,                0.54142,                0.42425,                0.71807,                 1.7442,                0.71047,             9.8619e-05,             9.8619e-05,             9.8619e-05
                     11,                0.11734,                0.10992,                0.68217,                0.83158,                0.17793,                0.51771,                0.38688,                0.77063,                  1.901,                0.77543,             9.8296e-05,             9.8296e-05,             9.8296e-05
                     12,                0.12229,                0.12186,                0.69207,                0.69658,                0.18356,                0.46361,                0.33509,                 1.4934,                 3.0792,                 1.3093,             9.7941e-05,             9.7941e-05,             9.7941e-05
                     13,                0.11232,                0.10444,                0.67932,                0.82979,                0.17568,                0.51591,                 0.3895,                 1.2165,                 2.6694,                 1.1161,             9.7553e-05,             9.7553e-05,             9.7553e-05
                     14,                0.10743,                 0.1034,                0.67762,                0.84293,                0.18131,                0.52464,                0.40332,                 1.3267,                 2.7521,                 1.2129,             9.7132e-05,             9.7132e-05,             9.7132e-05
                     15,                 0.1105,                0.10688,                0.67587,                0.83938,                0.18243,                0.52326,                0.38891,                 1.4815,                 2.9362,                  1.342,             9.6679e-05,             9.6679e-05,             9.6679e-05
                     16,                0.10865,                0.10225,                0.67698,                0.76382,                0.17117,                0.48637,                0.35286,                 1.3107,                 2.7768,                 1.2721,             9.6194e-05,             9.6194e-05,             9.6194e-05
                     17,                0.10742,                0.10541,                0.68061,                0.86517,                0.17342,                0.52993,                 0.3803,                0.98433,                 2.4261,                0.98897,             9.5677e-05,             9.5677e-05,             9.5677e-05
                     18,                0.10489,                0.10145,                0.68031,                0.86782,                0.17005,                0.52761,                0.37666,                  1.083,                 2.5489,                 1.0714,              9.513e-05,              9.513e-05,              9.513e-05
