                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.14057,                0.13225,                0.68453,                0.77928,                0.19482,                0.50605,                0.37684,                 1.5731,                 3.3465,                 1.4612,             0.00024735,             9.9853e-05,             9.9853e-05
                      2,                0.11997,                0.11272,                 0.6724,                0.89143,                0.17568,                0.54255,                0.43473,                0.88964,                 2.0169,                0.87072,             9.9983e-05,             9.9983e-05,             9.9983e-05
                      3,                0.12497,                0.11098,                0.68111,                0.86413,                0.17905,                0.53057,                0.39327,                0.87005,                 1.9805,                0.90689,             9.9931e-05,             9.9931e-05,             9.9931e-05
                      4,                0.13067,                0.12291,                0.68842,                0.82439,                0.19032,                0.51586,                0.34866,                 0.8606,                 1.9175,                0.85729,             9.9846e-05,             9.9846e-05,             9.9846e-05
                      5,                0.12255,                0.11126,                0.68803,                0.83495,                0.19369,                0.52548,                0.39736,                0.72803,                 1.5736,                0.73979,             9.9726e-05,             9.9726e-05,             9.9726e-05
                      6,                  0.125,                0.11365,                0.68929,                0.77387,                0.17342,                0.49053,                 0.3751,                0.86989,                 2.0301,                0.88545,             9.9572e-05,             9.9572e-05,             9.9572e-05
                      7,                0.12815,                0.11424,                0.69244,                0.82447,                0.17455,                 0.5128,                0.39798,                0.90729,                 2.1649,                0.89271,             9.9384e-05,             9.9384e-05,             9.9384e-05
                      8,                0.12078,                0.11023,                0.67159,                0.86127,                0.16779,                0.52315,                0.39638,                0.76508,                 1.8983,                0.81975,             9.9163e-05,             9.9163e-05,             9.9163e-05
                      9,                0.12082,                0.11989,                0.67807,                0.74208,                0.18468,                0.48379,                0.37299,                0.82739,                 1.7605,                0.86041,             9.8907e-05,             9.8907e-05,             9.8907e-05
                     10,                0.12145,                 0.1142,                 0.6787,                0.76818,                0.19032,                0.49014,                0.32993,                 1.2441,                 2.5555,                 1.1921,             9.8619e-05,             9.8619e-05,             9.8619e-05
