                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9205,                 1.9789,                 1.5151,                0.64148,                0.26998,                0.32389,                0.18015,                 1.8131,                 2.7346,                 1.3064,               0.066745,             3.3289e-05,             3.3289e-05
                      2,                 1.4319,                0.98673,                 1.2305,                0.55246,                0.29075,                0.34463,                0.18765,                 1.8746,                 2.4907,                 1.3792,               0.033445,             6.6611e-05,             6.6611e-05
                      3,                 1.2637,                 0.7557,                 1.1509,                0.52733,                0.35562,                0.37028,                0.19217,                 1.8306,                  3.379,                 1.3954,             0.00014469,             9.9887e-05,             9.9887e-05
                      4,                 1.1213,                0.63072,                 1.0871,                0.53558,                0.33669,                0.37569,                0.19377,                 1.8529,                 2.6797,                 1.4136,             9.9847e-05,             9.9847e-05,             9.9847e-05
                      5,                 1.0025,                0.53836,                 1.0281,                 0.5554,                0.32756,                0.34909,                0.17295,                 1.8292,                 3.2109,                 1.4245,             9.9729e-05,             9.9729e-05,             9.9729e-05
                      6,                0.89593,                 0.4823,                0.98089,                0.45005,                0.31338,                0.31881,                0.16444,                 1.8637,                 3.5775,                 1.4649,             9.9577e-05,             9.9577e-05,             9.9577e-05
                      7,                0.81842,                0.43369,                0.94398,                0.56662,                0.32172,                0.37359,                0.19973,                 1.8533,                 3.3865,                 1.4958,             9.9391e-05,             9.9391e-05,             9.9391e-05
                      8,                0.73986,                 0.3996,                0.90993,                0.61057,                0.29453,                0.38336,                0.21102,                 1.8333,                 3.2355,                 1.4943,             9.9171e-05,             9.9171e-05,             9.9171e-05
                      9,                0.67553,                 0.3658,                0.88445,                0.60643,                0.25771,                0.36252,                0.20233,                 1.8747,                 3.4957,                 1.5205,             9.8918e-05,             9.8918e-05,             9.8918e-05
                     10,                0.62721,                0.34107,                0.86501,                0.51581,                0.25645,                0.32304,                0.17816,                 1.8466,                 3.5086,                 1.5422,             9.8632e-05,             9.8632e-05,             9.8632e-05
                     11,                0.59142,                0.32065,                0.85101,                0.54794,                0.27911,                0.34989,                0.19414,                 1.8392,                 3.6121,                 1.5231,             9.8313e-05,             9.8313e-05,             9.8313e-05
                     12,                0.54665,                0.30266,                0.83285,                0.57335,                0.31122,                0.38783,                 0.2201,                  1.855,                 3.4325,                  1.549,             9.7962e-05,             9.7962e-05,             9.7962e-05
                     13,                0.51724,                0.28966,                0.82321,                0.61784,                0.25614,                0.39008,                0.21137,                 1.8599,                 3.6422,                 1.5708,             9.7577e-05,             9.7577e-05,             9.7577e-05
                     14,                0.48648,                0.27771,                0.81161,                 0.5942,                0.25111,                0.34646,                0.19537,                 1.9201,                 3.6031,                 1.5877,             9.7161e-05,             9.7161e-05,             9.7161e-05
                     15,                0.46069,                0.26692,                0.80498,                0.61567,                0.26935,                0.35687,                0.18989,                 1.8479,                 3.8919,                 1.5609,             9.6712e-05,             9.6712e-05,             9.6712e-05
                     16,                0.43384,                0.25635,                0.79863,                0.57286,                0.26337,                0.36015,                0.20394,                 1.9153,                 3.8683,                 1.5831,             9.6232e-05,             9.6232e-05,             9.6232e-05
                     17,                0.42341,                0.25073,                0.79209,                0.56524,                0.24506,                0.33176,                0.18985,                 1.8748,                 3.9081,                 1.5887,             9.5721e-05,             9.5721e-05,             9.5721e-05
                     18,                0.40045,                0.24059,                0.78961,                 0.6476,                0.27467,                0.40097,                 0.2256,                 1.8486,                 3.7363,                 1.6248,             9.5178e-05,             9.5178e-05,             9.5178e-05
                     19,                0.38411,                0.23171,                0.78503,                0.59761,                0.25796,                0.32015,                0.18432,                 1.8547,                 3.7108,                 1.5815,             9.4605e-05,             9.4605e-05,             9.4605e-05
                     20,                0.37148,                0.22754,                   0.78,                0.38906,                0.31561,                0.37765,                0.22464,                 1.8934,                 3.9596,                 1.5758,             9.4001e-05,             9.4001e-05,             9.4001e-05
                     21,                0.35911,                0.22253,                0.77886,                 0.3821,                0.27533,                0.34231,                0.20056,                 1.9164,                 4.0782,                 1.6276,             9.3368e-05,             9.3368e-05,             9.3368e-05
                     22,                0.33879,                 0.2196,                0.77441,                 0.4924,                0.27533,                0.39394,                0.23407,                 1.8521,                 4.0481,                 1.5804,             9.2706e-05,             9.2706e-05,             9.2706e-05
                     23,                0.33487,                0.21062,                 0.7736,                0.45544,                0.27816,                0.34986,                0.18925,                 1.9052,                 4.2333,                 1.5901,             9.2014e-05,             9.2014e-05,             9.2014e-05
                     24,                0.32418,                0.20805,                0.76977,                0.49663,                0.27785,                0.39416,                0.22159,                 1.9128,                 3.9703,                 1.5983,             9.1294e-05,             9.1294e-05,             9.1294e-05
                     25,                0.31157,                0.20481,                0.76682,                0.50524,                0.27281,                0.39615,                0.23028,                 1.9037,                 4.0028,                 1.6154,             9.0546e-05,             9.0546e-05,             9.0546e-05
                     26,                0.30011,                0.20165,                0.76534,                0.52378,                0.26337,                0.37991,                0.21926,                  1.919,                 4.0832,                 1.6356,             8.9771e-05,             8.9771e-05,             8.9771e-05
                     27,                 0.2955,                0.19245,                 0.7639,                0.60122,                0.24764,                0.41784,                0.24735,                 1.9706,                 4.0983,                  1.621,             8.8969e-05,             8.8969e-05,             8.8969e-05
                     28,                0.28693,                 0.1918,                0.76323,                0.57727,                0.24449,                0.40238,                0.23489,                 1.9589,                   4.23,                 1.6608,              8.814e-05,              8.814e-05,              8.814e-05
