                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9873,                 2.3767,                 1.6591,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.066798,             3.3235e-05,             3.3235e-05
                      2,                 1.1896,                0.74098,                 1.1578,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.033496,             6.4372e-05,             6.4372e-05
                      3,                0.96391,                0.56163,                 1.0369,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00019164,             9.3308e-05,             9.3308e-05
                      4,                0.82086,                0.44967,                0.97434,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               9.01e-05,               9.01e-05,               9.01e-05
                      5,                0.69378,                0.38742,                0.90487,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               8.68e-05,               8.68e-05,               8.68e-05
                      6,                 0.6267,                0.34945,                0.86806,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               8.35e-05,               8.35e-05,               8.35e-05
                      7,                0.52004,                0.31135,                0.83191,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               8.02e-05,               8.02e-05,               8.02e-05
                      8,                0.47653,                0.27855,                0.81693,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               7.69e-05,               7.69e-05,               7.69e-05
                      9,                0.44081,                0.26284,                0.80835,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               7.36e-05,               7.36e-05,               7.36e-05
                     10,                0.40301,                0.24498,                0.79401,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               7.03e-05,               7.03e-05,               7.03e-05
                     11,                0.35764,                0.22924,                0.77931,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                6.7e-05,                6.7e-05,                6.7e-05
                     12,                0.32808,                0.21246,                0.77608,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               6.37e-05,               6.37e-05,               6.37e-05
                     13,                0.31412,                 0.2035,                0.78077,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               6.04e-05,               6.04e-05,               6.04e-05
                     14,                0.27893,                0.19285,                0.76183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               5.71e-05,               5.71e-05,               5.71e-05
                     15,                0.25731,                0.18173,                0.75696,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               5.38e-05,               5.38e-05,               5.38e-05
                     16,                0.23064,                0.16472,                0.75031,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               5.05e-05,               5.05e-05,               5.05e-05
                     17,                 0.2143,                0.16014,                0.75425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               4.72e-05,               4.72e-05,               4.72e-05
                     18,                0.20407,                0.15304,                0.74539,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               4.39e-05,               4.39e-05,               4.39e-05
                     19,                0.18552,                0.14223,                0.73999,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               4.06e-05,               4.06e-05,               4.06e-05
                     20,                0.17582,                0.13834,                0.74027,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               3.73e-05,               3.73e-05,               3.73e-05
                     21,                 0.1693,                0.13636,                0.74383,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                3.4e-05,                3.4e-05,                3.4e-05
                     22,                0.15724,                0.12979,                0.74159,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               3.07e-05,               3.07e-05,               3.07e-05
                     23,                0.13596,                0.12143,                0.73768,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               2.74e-05,               2.74e-05,               2.74e-05
                     24,                0.12935,                0.11579,                0.73668,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               2.41e-05,               2.41e-05,               2.41e-05
                     25,                0.11393,                0.10828,                0.73128,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               2.08e-05,               2.08e-05,               2.08e-05
                     26,                0.10912,                0.10502,                0.73787,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               1.75e-05,               1.75e-05,               1.75e-05
                     27,                0.09601,                 0.0998,                0.73505,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               1.42e-05,               1.42e-05,               1.42e-05
                     28,                0.09033,                0.09532,                0.73499,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               1.09e-05,               1.09e-05,               1.09e-05
                     29,                0.08164,                0.08961,                0.73026,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                7.6e-06,                7.6e-06,                7.6e-06
                     30,                0.07721,                0.08782,                0.74001,                0.44643,                0.30968,                0.40914,                0.28314,                 1.7096,                 3.3039,                 1.6167,                4.3e-06,                4.3e-06,                4.3e-06
