                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5345,                 2.8959,                 1.7583,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.077039,             1.6084e-05,             1.6084e-05
                      2,                0.93245,                0.96817,                 1.2368,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.054008,             3.1149e-05,             3.1149e-05
                      3,                0.75211,                0.70949,                 1.1037,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.030976,             4.5144e-05,             4.5144e-05
                      4,                0.63766,                0.57961,                  1.027,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              0.0079439,              5.807e-05,              5.807e-05
                      5,                0.54738,                0.49634,                0.95777,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             6.0722e-05,             6.0722e-05,             6.0722e-05
                      6,                0.48054,                0.44867,                0.91467,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.8402e-05,             5.8402e-05,             5.8402e-05
                      7,                0.41865,                0.38546,                0.87651,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.6083e-05,             5.6083e-05,             5.6083e-05
                      8,                0.36662,                0.34821,                0.85113,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.3763e-05,             5.3763e-05,             5.3763e-05
                      9,                0.34776,                0.33338,                0.84771,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.1444e-05,             5.1444e-05,             5.1444e-05
                     10,                 0.3194,                0.31803,                 0.8306,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.9124e-05,             4.9124e-05,             4.9124e-05
                     11,                0.28083,                0.28831,                0.81286,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.6805e-05,             4.6805e-05,             4.6805e-05
                     12,                0.26517,                0.27202,                0.81179,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.4485e-05,             4.4485e-05,             4.4485e-05
                     13,                0.24473,                 0.2627,                0.81099,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             4.2166e-05,             4.2166e-05,             4.2166e-05
                     14,                0.21768,                0.24142,                0.79372,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             3.9846e-05,             3.9846e-05,             3.9846e-05
                     15,                0.20929,                0.23135,                0.79101,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             3.7527e-05,             3.7527e-05,             3.7527e-05
                     16,                0.18979,                0.21911,                0.78516,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             3.5207e-05,             3.5207e-05,             3.5207e-05
                     17,                 0.1793,                0.20844,                0.78616,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             3.2888e-05,             3.2888e-05,             3.2888e-05
                     18,                0.16585,                0.19917,                0.77721,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             3.0568e-05,             3.0568e-05,             3.0568e-05
                     19,                0.15308,                0.19147,                0.77186,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             2.8249e-05,             2.8249e-05,             2.8249e-05
                     20,                0.14239,                0.18346,                0.77135,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             2.5929e-05,             2.5929e-05,             2.5929e-05
                     21,                0.13762,                0.17822,                0.77433,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              2.361e-05,              2.361e-05,              2.361e-05
                     22,                0.12628,                0.16925,                0.77051,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              2.129e-05,              2.129e-05,              2.129e-05
                     23,                0.11061,                0.15832,                0.76753,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.8971e-05,             1.8971e-05,             1.8971e-05
                     24,                 0.1071,                0.15298,                0.76633,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.6651e-05,             1.6651e-05,             1.6651e-05
                     25,                0.09311,                0.14224,                0.76084,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.4332e-05,             1.4332e-05,             1.4332e-05
                     26,                0.08817,                0.13862,                0.76707,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.2012e-05,             1.2012e-05,             1.2012e-05
                     27,                0.07977,                 0.1327,                0.76451,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             9.6925e-06,             9.6925e-06,             9.6925e-06
                     28,                0.07455,                0.12908,                0.76353,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              7.373e-06,              7.373e-06,              7.373e-06
                     29,                0.06675,                 0.1225,                 0.7589,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             5.0534e-06,             5.0534e-06,             5.0534e-06
                     30,                0.06506,                 0.1222,                0.76911,                0.67553,                0.42905,                0.57907,                 0.3513,                 1.1338,                 3.7161,                  1.521,             2.7339e-06,             2.7339e-06,             2.7339e-06
