,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,ateroesclerosis_tuning223,30.0,0.07164,0.11318,0.70013,0.51003,0.34347,0.47722,0.30576,1.4896,4.1639,1.498,3.6029e-06,3.6029e-06,3.6029e-06
1,ateroesclerosis_tuning181,30.0,0.07605,0.10274,0.58177,0.69217,0.42793,0.59964,0.35868,1.5727,3.1541,1.2557,3.1701e-06,3.1701e-06,3.1701e-06
2,ateroesclerosis_tuning189,30.0,0.0678,0.07945,0.76527,0.69384,0.39302,0.56993,0.37254,1.348,2.3461,1.522,3.0549e-06,3.0549e-06,3.0549e-06
3,ateroesclerosis_tuning190,30.0,0.07916,0.11333,0.69921,0.6847,0.41329,0.56499,0.34002,1.6905,3.7627,1.5008,3.542e-06,3.542e-06,3.542e-06
4,ateroesclerosis_tuning77,30.0,0.07638,0.07964,0.77076,0.69528,0.36486,0.54231,0.34044,1.7075,2.6711,1.8404,3.0736e-06,3.0736e-06,3.0736e-06
5,ateroesclerosis_tuning160,30.0,0.07216,0.11794,0.78003,0.6075,0.34685,0.51115,0.3426,1.5468,3.7684,1.6604,3.5029e-06,3.5029e-06,3.5029e-06
6,ateroesclerosis_tuning29,30.0,0.07614,0.0803,0.72375,0.65659,0.26914,0.48664,0.31318,1.6022,3.1532,1.4785,3.803e-06,3.803e-06,3.803e-06
7,ateroesclerosis_tuning24,30.0,0.07036,0.07611,0.73326,0.66276,0.2545,0.48353,0.35397,1.3627,2.8371,1.4008,3.8047e-06,3.8047e-06,3.8047e-06
8,ateroesclerosis_tuning112,30.0,0.07635,0.10837,0.61841,0.51306,0.37613,0.47467,0.29321,1.449,3.6049,1.2248,3.515e-06,3.515e-06,3.515e-06
9,ateroesclerosis_tuning83,30.0,0.0605,0.05684,1.0988,0.6109,0.36599,0.52867,0.31861,1.2714,2.0698,2.2696,4.9535e-06,4.9535e-06,4.9535e-06
10,ateroesclerosis_tuning30,30.0,0.1059,0.08666,0.77233,0.66667,0.37838,0.53983,0.32471,2.3214,3.0245,1.5464,3.81e-06,3.81e-06,3.81e-06
11,ateroesclerosis_tuning199,30.0,0.07238,0.09444,0.63551,0.57971,0.36036,0.504,0.32238,1.5316,3.2043,1.3379,3.4689e-06,3.4689e-06,3.4689e-06
12,ateroesclerosis_tuning89,30.0,0.07566,0.11104,0.71889,0.81864,0.36599,0.60972,0.38739,1.6745,3.7588,1.5786,3.0108e-06,3.0108e-06,3.0108e-06
13,ateroesclerosis_tuning237,30.0,0.06344,0.09278,0.52336,0.69313,0.36374,0.55839,0.36529,1.3231,3.3666,1.0255,4.344e-06,4.344e-06,4.344e-06
14,ateroesclerosis_tuning137,30.0,0.08026,0.0989,0.63358,0.5453,0.35248,0.50524,0.34092,1.5605,3.5187,1.2558,3.2165e-06,3.2165e-06,3.2165e-06
15,ateroesclerosis_tuning125,30.0,0.05876,0.10108,0.53407,0.6816,0.32545,0.52162,0.3418,1.2021,3.6514,1.0981,3.9066e-06,3.9066e-06,3.9066e-06
16,ateroesclerosis_tuning41,30.0,0.07538,0.10538,0.63525,0.94198,0.23767,0.52994,0.40162,1.5731,3.7244,1.2672,3.5203e-06,3.5203e-06,3.5203e-06
17,ateroesclerosis_tuning155,30.0,0.065,0.09973,0.63517,0.7037,0.34234,0.54346,0.34798,1.2636,3.4858,1.3136,3.5203e-06,3.5203e-06,3.5203e-06
18,ateroesclerosis_tuning87,30.0,0.0738,0.10273,0.64207,0.72632,0.31081,0.53909,0.37627,1.5171,3.5797,1.2965,3.5203e-06,3.5203e-06,3.5203e-06
19,ateroesclerosis_tuning159,30.0,0.0719,0.12332,0.7296,0.61597,0.36486,0.53409,0.3315,1.6113,3.8846,1.7345,3.0827e-06,3.0827e-06,3.0827e-06
20,ateroesclerosis_tuning224,30.0,0.06285,0.11355,0.69843,0.62891,0.36261,0.51884,0.35175,1.3463,3.8834,1.507,3.5377e-06,3.5377e-06,3.5377e-06
21,ateroesclerosis_tuning122,30.0,0.08,0.10445,0.63642,0.74251,0.41892,0.6134,0.36412,1.7546,3.3355,1.3304,3.5777e-06,3.5777e-06,3.5777e-06
22,ateroesclerosis_tuning37,30.0,0.07524,0.07921,0.78747,0.64165,0.29842,0.5064,0.36941,1.6366,2.9446,1.5728,4.0873e-06,4.0873e-06,4.0873e-06
23,ateroesclerosis_tuning17,30.0,0.07183,0.07214,0.75108,0.5361,0.33446,0.473,0.29131,1.5959,2.5502,1.5634,3.8804e-06,3.8804e-06,3.8804e-06
24,ateroesclerosis_tuning234,30.0,0.07081,0.10642,0.69884,0.66742,0.33446,0.53305,0.35559,1.6097,3.8264,1.541,3.5359e-06,3.5359e-06,3.5359e-06
25,ateroesclerosis_tuning80,30.0,0.05264,0.05854,0.85586,0.71504,0.30518,0.52905,0.35638,1.1074,2.1818,1.678,3.7134e-06,3.7134e-06,3.7134e-06
26,ateroesclerosis_tuning,30.0,0.07721,0.08782,0.74001,0.44643,0.30968,0.40914,0.28314,1.7096,3.3039,1.6167,4.3e-06,4.3e-06,4.3e-06
27,ateroesclerosis_tuning45,30.0,0.07495,0.09874,0.5373,0.71805,0.39865,0.58919,0.36398,1.6786,3.3381,1.1137,3.9114e-06,3.9114e-06,3.9114e-06
28,ateroesclerosis_tuning244,30.0,0.05448,0.11498,0.743,0.6723,0.35811,0.54592,0.35558,1.1059,4.0475,1.5877,3.5203e-06,3.5203e-06,3.5203e-06
29,ateroesclerosis_tuning99,30.0,0.06051,0.04856,0.97325,0.74157,0.2973,0.54427,0.39226,1.3038,1.8155,1.9712,4.039e-06,4.039e-06,4.039e-06
30,ateroesclerosis_tuning226,30.0,0.07076,0.10223,0.68917,0.64344,0.3536,0.52543,0.3456,1.4496,3.4065,1.4874,3.5098e-06,3.5098e-06,3.5098e-06
31,ateroesclerosis_tuning148,30.0,0.07447,0.10984,0.71795,0.67615,0.34797,0.54814,0.36042,1.551,3.7171,1.5269,3.2343e-06,3.2343e-06,3.2343e-06
32,ateroesclerosis_tuning66,30.0,0.0606,0.05717,0.7244,0.67634,0.34122,0.5277,0.35777,1.3107,2.0878,1.5332,4.0699e-06,4.0699e-06,4.0699e-06
33,ateroesclerosis_tuning213,30.0,0.05876,0.11191,0.83163,0.76796,0.31306,0.5614,0.36849,1.2276,3.8421,1.733,4.4993e-06,4.4993e-06,4.4993e-06
34,ateroesclerosis_tuning27,30.0,0.08126,0.07429,0.87069,0.73529,0.33784,0.55831,0.35022,1.6762,2.5481,1.7762,4.1136e-06,4.1136e-06,4.1136e-06
35,ateroesclerosis_tuning242,30.0,0.07048,0.12278,0.69915,0.63483,0.38176,0.55763,0.3482,1.4269,4.0273,1.4123,3.549e-06,3.549e-06,3.549e-06
36,ateroesclerosis_tuning157,30.0,0.07135,0.11719,0.70497,0.68803,0.36261,0.55312,0.35909,1.4494,3.8154,1.4609,3.5211e-06,3.5211e-06,3.5211e-06
37,ateroesclerosis_tuning39,30.0,0.09265,0.06762,0.73402,0.65063,0.28941,0.5051,0.36675,2.0601,2.5198,1.5423,3.8152e-06,3.8152e-06,3.8152e-06
38,ateroesclerosis_tuning182,30.0,0.06449,0.11349,0.92369,0.66491,0.28378,0.51044,0.3727,1.3259,4.0078,2.0339,3.8234e-06,3.8234e-06,3.8234e-06
39,ateroesclerosis_tuning101,30.0,0.10245,0.08277,0.57661,0.61765,0.33108,0.51536,0.35814,2.2263,2.9604,1.2038,3.8051e-06,3.8051e-06,3.8051e-06
40,ateroesclerosis_tuning120,30.0,0.07012,0.05074,0.49136,0.70332,0.38176,0.56932,0.35915,1.3619,1.5118,1.0171,2.5481e-06,2.5481e-06,2.5481e-06
41,ateroesclerosis_tuning54,30.0,0.07025,0.09046,0.64373,0.71474,0.50225,0.6319,0.36099,1.3866,2.6662,1.2664,3.1291e-06,3.1291e-06,3.1291e-06
42,ateroesclerosis_tuning14,30.0,0.08108,0.08247,0.6463,0.67937,0.34122,0.52027,0.32897,1.723,2.8415,1.403,4.2188e-06,4.2188e-06,4.2188e-06
43,ateroesclerosis_tuning225,30.0,0.08171,0.13926,0.70054,0.69145,0.41892,0.57064,0.34538,1.5362,3.9697,1.4777,3.98e-06,3.98e-06,3.98e-06
44,ateroesclerosis_tuning168,30.0,0.07572,0.126,0.69962,0.50888,0.29054,0.42952,0.28143,1.523,4.186,1.4522,3.5255e-06,3.5255e-06,3.5255e-06
45,ateroesclerosis_tuning96,30.0,0.07151,0.07941,0.76172,0.72494,0.31757,0.55358,0.39065,1.5359,2.8932,1.6193,3.9114e-06,3.9114e-06,3.9114e-06
46,ateroesclerosis_tuning146,30.0,0.07086,0.11051,0.66923,0.59964,0.37275,0.51244,0.3069,1.5397,3.6027,1.53,3.5203e-06,3.5203e-06,3.5203e-06
47,ateroesclerosis_tuning38,30.0,0.06927,0.07624,0.80105,0.68687,0.30631,0.51421,0.3345,1.4481,2.8199,1.6243,3.6368e-06,3.6368e-06,3.6368e-06
48,ateroesclerosis_tuning206,30.0,0.07276,0.11869,0.69782,0.64333,0.33108,0.52449,0.3533,1.4213,3.8353,1.4194,3.5211e-06,3.5211e-06,3.5211e-06
49,ateroesclerosis_tuning210,30.0,0.05515,0.10667,0.68232,0.76038,0.26802,0.53055,0.36865,1.1678,4.2585,1.4118,4.6531e-06,4.6531e-06,4.6531e-06
50,ateroesclerosis_tuning119,30.0,0.08191,0.11057,0.60072,0.67221,0.31869,0.51506,0.36437,1.6814,4.2725,1.1902,3.1438e-06,3.1438e-06,3.1438e-06
51,ateroesclerosis_tuning65,30.0,0.08001,0.07906,0.73386,0.6808,0.34347,0.52625,0.34512,1.6937,2.737,1.5297,3.8778e-06,3.8778e-06,3.8778e-06
52,ateroesclerosis_tuning154,30.0,0.07679,0.10723,0.55735,0.72577,0.34572,0.56087,0.38834,1.5233,3.6419,1.0777,3.6168e-06,3.6168e-06,3.6168e-06
53,ateroesclerosis_tuning90,30.0,0.06037,0.06413,0.60874,0.42751,0.25901,0.39219,0.29097,1.2545,2.7704,1.1412,6.7973e-06,6.7973e-06,6.7973e-06
54,ateroesclerosis_tuning123,30.0,0.06903,0.12185,0.63557,0.58647,0.35135,0.50737,0.35399,1.3268,4.1694,1.2545,3.1291e-06,3.1291e-06,3.1291e-06
55,ateroesclerosis_tuning193,30.0,0.08663,0.10208,0.48471,0.74279,0.37725,0.57765,0.36373,1.6154,3.5203,0.90939,2.6784e-06,2.6784e-06,2.6784e-06
56,ateroesclerosis_tuning104,30.0,0.06366,0.05911,0.73534,0.62745,0.32432,0.51269,0.37033,1.3374,2.0271,1.4926,3.8004e-06,3.8004e-06,3.8004e-06
57,ateroesclerosis_tuning172,30.0,0.07423,0.10625,0.76853,0.69831,0.37275,0.56047,0.36029,1.6396,3.3701,1.6834,3.8747e-06,3.8747e-06,3.8747e-06
58,ateroesclerosis_tuning192,30.0,0.0698,0.11112,0.73693,0.65676,0.27365,0.48364,0.35041,1.5336,4.2237,1.6371,3.5194e-06,3.5194e-06,3.5194e-06
59,ateroesclerosis_tuning135,30.0,0.07634,0.10283,0.56507,0.71631,0.34122,0.55224,0.36169,1.5433,3.5371,1.1205,3.5411e-06,3.5411e-06,3.5411e-06
60,ateroesclerosis_tuning78,30.0,0.06112,0.06339,0.60065,0.84238,0.28604,0.47313,0.29639,1.279,2.0692,1.1972,3.7125e-06,3.7125e-06,3.7125e-06
61,ateroesclerosis_tuning64,30.0,0.07053,0.07999,0.73974,0.67775,0.29842,0.51022,0.33929,1.4825,3.0724,1.4674,3.8178e-06,3.8178e-06,3.8178e-06
62,ateroesclerosis_tuning187,30.0,0.05265,0.11738,0.63359,0.71719,0.35698,0.55759,0.35972,1.1577,3.8149,1.4187,3.8292e-06,3.8292e-06,3.8292e-06
63,ateroesclerosis_tuning76,30.0,0.07887,0.08084,0.77532,0.68254,0.33896,0.54658,0.37703,1.5157,2.9255,1.5156,4.2449e-06,4.2449e-06,4.2449e-06
64,ateroesclerosis_tuning218,30.0,0.07347,0.09932,0.69947,0.77022,0.26689,0.43497,0.25972,1.5293,3.5179,1.4354,3.5203e-06,3.5203e-06,3.5203e-06
65,ateroesclerosis_tuning113,30.0,0.07905,0.11341,0.55043,0.69856,0.32883,0.5429,0.37779,1.6447,4.0156,1.123,3.9878e-06,3.9878e-06,3.9878e-06
66,ateroesclerosis_tuning9,30.0,0.07742,0.08795,0.78836,0.53356,0.3491,0.49365,0.31354,1.6609,3.1394,1.6037,4.328e-06,4.328e-06,4.328e-06
67,ateroesclerosis_tuning59,30.0,0.0694,0.10401,0.66395,0.68591,0.45495,0.59831,0.3632,1.4613,3.1963,1.384,3.0966e-06,3.0966e-06,3.0966e-06
68,ateroesclerosis_tuning36,30.0,0.08851,0.10079,0.76393,0.78809,0.31411,0.50109,0.32647,1.7574,3.2983,1.5367,3.8761e-06,3.8761e-06,3.8761e-06
69,ateroesclerosis_tuning44,30.0,0.06803,0.06983,0.66064,0.66364,0.32883,0.52742,0.33993,1.3876,2.6781,1.2505,4.3986e-06,4.3986e-06,4.3986e-06
70,ateroesclerosis_tuning52,30.0,0.08109,0.08752,0.73404,0.68839,0.27365,0.50161,0.36598,1.8592,3.1995,1.6052,3.6916e-06,3.6916e-06,3.6916e-06
71,ateroesclerosis_tuning10,30.0,0.07728,0.0884,0.78253,0.71891,0.32545,0.5559,0.3768,1.8074,3.134,1.6797,3.9535e-06,3.9535e-06,3.9535e-06
72,ateroesclerosis_tuning92,30.0,0.03929,0.05698,0.59004,0.67674,0.3277,0.53048,0.33229,0.77536,2.0607,1.1636,4.0709e-06,4.0709e-06,4.0709e-06
73,ateroesclerosis_tuning34,30.0,0.08145,0.09177,0.80342,0.56711,0.33784,0.49331,0.30679,1.8352,3.2441,1.7316,4.7491e-06,4.7491e-06,4.7491e-06
74,ateroesclerosis_tuning173,30.0,0.05869,0.13058,0.63599,0.68783,0.43919,0.5911,0.36531,1.1825,4.1332,1.3375,3.6012e-06,3.6012e-06,3.6012e-06
75,ateroesclerosis_tuning132,30.0,0.08151,0.10194,0.77735,0.63469,0.38739,0.54353,0.33666,1.6952,3.3077,1.6262,3.0634e-06,3.0634e-06,3.0634e-06
76,ateroesclerosis_tuning71,30.0,0.07689,0.06598,0.8069,0.57483,0.38063,0.52772,0.32009,1.6814,2.3055,1.6435,3.9201e-06,3.9201e-06,3.9201e-06
77,ateroesclerosis_tuning70,30.0,0.06276,0.06331,0.77034,0.57524,0.34009,0.49605,0.35274,1.3036,2.1323,1.5441,3.6951e-06,3.6951e-06,3.6951e-06
78,ateroesclerosis_tuning61,30.0,0.06149,0.07064,0.77409,0.62423,0.34234,0.5244,0.35045,1.3196,2.615,1.5528,3.6882e-06,3.6882e-06,3.6882e-06
79,ateroesclerosis_tuning250,30.0,0.07549,0.10367,0.53738,0.70231,0.37725,0.57583,0.36706,1.6068,3.5632,1.1054,3.5203e-06,3.5203e-06,3.5203e-06
80,ateroesclerosis_tuning194,30.0,0.06309,0.12058,0.52911,0.60989,0.375,0.53086,0.36613,1.1516,3.5607,1.0351,3.2072e-06,3.2072e-06,3.2072e-06
81,ateroesclerosis_tuning175,30.0,0.08253,0.09511,0.63594,0.65377,0.36149,0.53243,0.33742,1.5778,3.1401,1.2872,3.5168e-06,3.5168e-06,3.5168e-06
82,ateroesclerosis_tuning5,30.0,0.07045,0.07901,0.80095,0.6096,0.32883,0.49329,0.32486,1.5151,2.718,1.6871,4.3116e-06,4.3116e-06,4.3116e-06
