,Unnamed: 0,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0,26,ateroesclerosis_tuning,30.0,0.07721,0.08782,0.74001,0.44643,0.30968,0.40914,0.28314,1.7096,3.3039,1.6167,4.3e-06,4.3e-06,4.3e-06,0.29574,0.0001,0.01,0.7,0.0005,3.0,0.8,7.5,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,161,ateroesclerosis_tuning2,30.0,0.07411,0.08516,0.78307,0.72074,0.30518,0.52982,0.37021,1.6574,3.3155,1.5926,4.3116e-06,4.3116e-06,4.3116e-06,0.38617,0.0001,0.01012,0.7,0.00055,2.88379,0.76365,7.5,0.4785,1.59017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,157,ateroesclerosis_tuning3,30.0,0.07415,0.08168,0.73378,0.75205,0.41329,0.60224,0.36635,1.6499,2.5692,1.576,3.8074e-06,3.8074e-06,3.8074e-06,0.38994,9e-05,0.00928,0.71354,0.00058,2.93629,0.76365,7.17845,0.44997,1.48777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,176,ateroesclerosis_tuning4,30.0,0.08097,0.0812,0.65518,0.76667,0.38851,0.59274,0.36767,1.6168,2.8697,1.2921,3.783e-06,3.783e-06,3.783e-06,0.39018,9e-05,0.009,0.71354,0.00058,2.78807,0.80904,7.76922,0.46655,1.32657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,82,ateroesclerosis_tuning5,30.0,0.07045,0.07901,0.80095,0.6096,0.32883,0.49329,0.32486,1.5151,2.718,1.6871,4.3116e-06,4.3116e-06,4.3116e-06,0.3417,0.0001,0.01012,0.7212,0.00056,2.60252,0.72597,6.71397,0.42317,1.62625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,190,ateroesclerosis_tuning6,30.0,0.09509,0.09085,0.66154,0.62173,0.34797,0.53054,0.35375,1.798,2.7739,1.2884,3.0479e-06,3.0479e-06,3.0479e-06,0.37143,7e-05,0.01056,0.7,0.00071,2.71146,0.87785,8.70949,0.4785,1.33884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,232,ateroesclerosis_tuning7,30.0,0.07509,0.08834,0.6736,0.83628,0.30068,0.46874,0.28525,1.5304,2.9681,1.2937,4.098e-06,4.098e-06,4.098e-06,0.3036,0.0001,0.00791,0.7084,0.00067,2.78807,0.80904,7.15768,0.48355,1.3653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,237,ateroesclerosis_tuning8,30.0,0.09272,0.09372,0.86224,0.56882,0.38626,0.51832,0.3178,1.9209,2.8294,1.7822,3.4802e-06,3.4802e-06,3.4802e-06,0.33785,8e-05,0.01052,0.71199,0.00055,3.2302,0.8571,8.4986,0.48957,1.74647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,66,ateroesclerosis_tuning9,30.0,0.07742,0.08795,0.78836,0.53356,0.3491,0.49365,0.31354,1.6609,3.1394,1.6037,4.328e-06,4.328e-06,4.328e-06,0.33155,0.0001,0.01029,0.7,0.00055,2.86453,0.75404,7.4328,0.4828,1.59917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,71,ateroesclerosis_tuning10,30.0,0.07728,0.0884,0.78253,0.71891,0.32545,0.5559,0.3768,1.8074,3.134,1.6797,3.9535e-06,3.9535e-06,3.9535e-06,0.39471,9e-05,0.01096,0.7045,0.00059,2.68319,0.72691,7.74684,0.49597,1.59017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
