fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.29574,0.0001,0.01,0.7,0.0005,3.0,0.8,7.5,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38617,0.0001,0.01012,0.7,0.00055,2.88379,0.76365,7.5,0.4785,1.59017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38994,9e-05,0.00928,0.71354,0.00058,2.93629,0.76365,7.17845,0.44997,1.48777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39018,9e-05,0.009,0.71354,0.00058,2.78807,0.80904,7.76922,0.46655,1.32657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3417,0.0001,0.01012,0.7212,0.00056,2.60252,0.72597,6.71397,0.42317,1.62625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37143,7e-05,0.01056,0.7,0.00071,2.71146,0.87785,8.70949,0.4785,1.33884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3036,0.0001,0.00791,0.7084,0.00067,2.78807,0.80904,7.15768,0.48355,1.3653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33785,8e-05,0.01052,0.71199,0.00055,3.2302,0.8571,8.4986,0.48957,1.74647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33155,0.0001,0.01029,0.7,0.00055,2.86453,0.75404,7.4328,0.4828,1.59917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39471,9e-05,0.01096,0.7045,0.00059,2.68319,0.72691,7.74684,0.49597,1.59017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34939,0.00011,0.01012,0.7,0.00052,2.88379,0.76365,5.93546,0.47661,1.75165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34715,9e-05,0.00906,0.7,0.00058,2.52624,0.88109,7.76922,0.4286,1.32657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38281,9e-05,0.00876,0.71709,0.00057,2.78807,0.8183,7.72586,0.46655,1.32657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3481,0.0001,0.00916,0.72101,0.00054,2.88483,0.89111,7.83455,0.46655,1.30983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29399,9e-05,0.01107,0.7,0.00055,2.90585,0.78615,8.00499,0.44675,1.38999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33366,6e-05,0.01096,0.7045,0.00053,2.89744,0.72691,9.72354,0.4246,1.60971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30947,9e-05,0.01012,0.7,0.00054,2.72336,0.73147,6.89854,0.39064,1.52338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3775,0.00012,0.01096,0.70884,0.00055,2.34056,0.77767,7.27715,0.49303,1.59017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38766,9e-05,0.00839,0.72103,0.00059,2.75652,0.71205,7.97422,0.43283,1.53089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36997,9e-05,0.01096,0.7,0.00059,3.46318,0.79829,9.04078,0.41313,1.58447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32575,9e-05,0.00787,0.72826,0.00059,2.79738,0.7641,7.7871,0.43283,1.54338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34099,9e-05,0.01127,0.70726,0.00059,2.68319,0.727,7.85873,0.49716,1.56534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41333,9e-05,0.00928,0.71395,0.00058,2.93629,0.76365,7.17845,0.44856,1.48777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36692,9e-05,0.00925,0.72063,0.0005,3.23036,0.79025,6.68069,0.40326,1.48777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36814,9e-05,0.01234,0.71148,0.00077,4.15837,0.7955,7.28102,0.38942,2.31704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33532,0.00011,0.00928,0.70574,0.00036,3.76356,0.73618,5.37468,0.3272,1.48777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37103,9e-05,0.0128,0.7,0.00059,2.675,0.90902,7.74684,0.41183,1.76696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34409,9e-05,0.00895,0.71395,0.00057,3.02085,0.74283,7.44924,0.45099,1.48595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33053,9e-05,0.00923,0.71218,0.00059,2.9205,0.75291,7.27061,0.44275,1.46746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34622,9e-05,0.00931,0.7,0.00059,2.68319,0.63512,10.48452,0.50577,1.56436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35925,0.00012,0.00913,0.71395,0.00052,3.58894,0.92158,7.17845,0.55005,1.74293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40696,0.0001,0.00928,0.7,0.00064,2.93629,0.81036,7.73152,0.43229,1.48777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40099,9e-05,0.00835,0.71395,0.00058,2.9647,0.5273,6.93676,0.47701,1.33611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32544,0.00011,0.01018,0.72873,0.00064,2.93629,0.58883,7.73152,0.49901,1.62983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37596,8e-05,0.00834,0.75672,0.00051,2.62285,0.82964,6.77471,0.45522,1.54041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34393,9e-05,0.01007,0.7,0.00064,2.78929,0.6487,8.13812,0.54517,1.54733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38311,0.0001,0.0078,0.7,0.00064,2.8204,0.81036,7.33642,0.43229,1.59597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35247,9e-05,0.00732,0.72457,0.00064,2.93629,0.80587,6.82859,0.43229,1.62609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38058,9e-05,0.00937,0.7027,0.0005,3.06339,0.7721,9.21408,0.38045,1.48777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34311,0.0001,0.0094,0.72164,0.00064,2.93629,0.81036,7.77599,0.4379,1.47641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41445,9e-05,0.00598,0.7,0.00046,3.15401,0.5273,6.93676,0.54835,1.28721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37752,9e-05,0.00598,0.7,0.00044,3.15401,0.52186,6.7029,0.53475,1.36479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37004,0.00011,0.009,0.73786,0.00048,2.60004,0.7927,7.26,0.49154,1.64549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35868,0.0001,0.01102,0.70988,0.00068,2.59392,0.81036,6.75316,0.39193,1.34076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3865,0.0001,0.00598,0.71288,0.00044,3.02821,0.60575,7.30075,0.55163,1.08675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39374,9e-05,0.00598,0.7,0.00065,4.23396,0.42278,6.72529,0.7628,1.28721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39669,0.0001,0.00928,0.7,0.00045,2.6721,0.76365,6.9448,0.53329,1.73878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39632,0.00012,0.00921,0.7,0.00087,3.23103,0.81036,7.36405,0.43229,1.69894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39766,9e-05,0.00928,0.7,0.00069,3.13752,0.84763,9.65328,0.48812,1.2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39813,0.00011,0.00552,0.71753,0.00046,2.8944,0.55564,6.48798,0.54835,1.07958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37147,0.00012,0.00598,0.7,0.00042,3.16861,0.5273,7.54451,0.54835,1.21541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37954,9e-05,0.00795,0.7,0.00063,3.40937,0.5571,7.65257,0.46981,1.48777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33844,9e-05,0.00923,0.7,0.00063,3.28381,0.81036,5.93105,0.22294,1.73401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38808,8e-05,0.00598,0.7,0.00045,3.55158,0.54424,6.7212,0.49345,1.30573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38304,8e-05,0.00887,0.72424,0.00059,2.93629,0.67688,7.85195,0.44856,1.72672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41489,9e-05,0.00819,0.7,0.00064,2.74151,0.78803,5.94586,0.3205,1.62132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33675,9e-05,0.00877,0.7,0.00064,2.8527,0.78775,5.77078,0.31355,1.67649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34188,0.0001,0.00928,0.7,0.0005,2.92487,0.74133,7.17845,0.44856,1.62565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38671,8e-05,0.00556,0.70598,0.0005,2.9092,0.46681,6.63852,0.56862,1.34592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37273,8e-05,0.0058,0.7,0.00037,2.82516,0.5273,7.06459,0.48463,1.44947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36785,9e-05,0.00791,0.72568,0.00066,3.09736,0.68652,5.94586,0.39094,1.57243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38258,9e-05,0.00819,0.7,0.00064,2.74151,0.83272,4.88048,0.29659,1.25531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35371,9e-05,0.00691,0.73945,0.0008,2.57614,0.78803,5.38567,0.30566,1.12002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35638,9e-05,0.0094,0.70044,0.00062,2.91426,0.77379,6.96303,0.43702,1.50574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36323,9e-05,0.01009,0.71313,0.00054,2.92592,0.71077,7.56397,0.42943,1.48777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37476,0.0001,0.00762,0.7,0.00074,2.509,0.78803,6.06356,0.32253,1.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31872,8e-05,0.00819,0.7087,0.00064,2.67514,0.76643,5.87379,0.33114,1.63324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37109,0.0001,0.00778,0.7,0.00069,2.62659,0.78098,6.09214,0.30819,1.47107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31541,9e-05,0.00918,0.70397,0.00058,2.98996,0.7592,7.23984,0.44799,1.46023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36707,9e-05,0.00799,0.7,0.00063,2.71779,0.80405,6.12276,0.33918,1.56431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34086,0.0001,0.00607,0.7,0.00079,2.48789,0.95,7.73152,0.37146,1.6378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3637,9e-05,0.00777,0.72233,0.00049,2.70091,0.85228,7.02306,0.44856,1.20878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37183,9e-05,0.00912,0.71214,0.00061,2.64755,0.76365,7.64861,0.44957,1.48777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40848,0.0001,0.00875,0.70484,0.00064,3.00036,0.82102,7.73152,0.43229,1.49347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36447,9e-05,0.00825,0.70033,0.00064,2.74151,0.78263,5.98129,0.31902,1.64016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.39398,0.0001,0.00943,0.72179,0.00058,3.01794,0.77785,7.45173,0.43218,1.57236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36063,7e-05,0.01094,0.7,0.00054,3.1527,0.86198,7.17845,0.44856,1.56352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31407,9e-05,0.00819,0.7,0.00058,2.64632,0.62327,5.95653,0.34917,1.21877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35448,0.0001,0.00887,0.7,0.00059,2.87319,0.81971,7.98516,0.42547,1.46057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37365,9e-05,0.0082,0.70342,0.0007,2.74151,0.6527,5.18101,0.32658,1.74308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35402,9e-05,0.0084,0.7,0.00065,2.73738,0.78084,6.01428,0.31664,1.62132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41472,0.00012,0.00822,0.7,0.00061,2.6604,0.79546,6.30623,0.3205,1.86667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33961,0.00012,0.00822,0.7,0.00048,2.70744,0.66197,6.03007,0.31565,2.23617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
