                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7696,                 2.9057,                   1.56,                0.65329,                0.32545,                0.42443,                0.19175,                 1.6955,                 2.6689,                 1.4582,               0.075096,             2.2434e-05,             2.2434e-05
                      2,                  1.058,                 0.9151,                 1.0958,                0.73263,                0.34122,                0.41588,                0.24442,                 1.5028,                  2.907,                 1.3316,               0.050118,             4.4561e-05,             4.4561e-05
                      3,                0.86451,                0.67648,                0.99028,                0.57025,                0.42793,                0.42067,                0.22372,                 1.4919,                 2.6748,                 1.3917,                0.02514,             6.6316e-05,             6.6316e-05
                      4,                0.76999,                0.60435,                0.93636,                0.60269,                0.41441,                 0.4418,                0.22455,                 1.5008,                 2.3525,                 1.4243,             0.00016145,             8.7699e-05,             8.7699e-05
                      5,                 0.6606,                0.49257,                0.87581,                0.84882,                 0.3536,                 0.5231,                0.29848,                 1.4752,                 2.8398,                 1.3309,             8.7018e-05,             8.7018e-05,             8.7018e-05
                      6,                0.60028,                0.46681,                0.83654,                0.58439,                0.45287,                0.46608,                0.23928,                 1.4802,                  2.037,                 1.4734,             8.6272e-05,             8.6272e-05,             8.6272e-05
                      7,                0.51839,                 0.4205,                0.80525,                0.73464,                0.37724,                0.51141,                0.27092,                 1.4867,                 2.7938,                 1.4492,             8.5527e-05,             8.5527e-05,             8.5527e-05
                      8,                0.46952,                0.38367,                0.78516,                0.73255,                0.39189,                0.49858,                 0.2721,                 1.4387,                 2.5719,                 1.3936,             8.4781e-05,             8.4781e-05,             8.4781e-05
                      9,                0.44501,                0.36521,                 0.7832,                0.82401,                0.27815,                0.45029,                0.28592,                 1.4573,                 3.4432,                 1.3712,             8.4036e-05,             8.4036e-05,             8.4036e-05
                     10,                0.41471,                0.34745,                 0.7669,                0.76612,                0.30293,                0.40283,                 0.2458,                 1.5618,                 3.3954,                 1.4537,              8.329e-05,              8.329e-05,              8.329e-05
                     11,                 0.3795,                 0.3156,                0.75411,                0.65629,                0.42145,                0.52072,                0.29029,                 1.6324,                 2.9564,                 1.5955,             8.2545e-05,             8.2545e-05,             8.2545e-05
                     12,                0.35385,                  0.298,                0.75011,                 0.7996,                0.37162,                0.52786,                0.28861,                  1.576,                 2.9317,                 1.5048,             8.1799e-05,             8.1799e-05,             8.1799e-05
                     13,                0.33996,                0.29704,                0.75085,                0.80372,                0.35506,                0.53437,                0.27968,                 1.6383,                 3.1952,                 1.5558,             8.1054e-05,             8.1054e-05,             8.1054e-05
                     14,                0.30832,                0.27076,                0.73538,                0.81442,                0.34234,                0.53832,                0.30688,                  1.608,                  3.502,                 1.5027,             8.0308e-05,             8.0308e-05,             8.0308e-05
                     15,                0.29895,                0.26694,                0.73118,                0.79277,                0.36036,                0.54016,                0.31975,                 1.6163,                 3.2261,                 1.5424,             7.9563e-05,             7.9563e-05,             7.9563e-05
                     16,                0.27971,                0.25833,                0.72455,                0.53203,                0.43018,                 0.5388,                0.31362,                 1.5477,                 3.3676,                 1.4872,             7.8817e-05,             7.8817e-05,             7.8817e-05
                     17,                0.27437,                 0.2496,                0.72856,                 0.5421,                0.41329,                0.52818,                0.31233,                 1.5861,                 3.4388,                 1.5354,             7.8072e-05,             7.8072e-05,             7.8072e-05
                     18,                0.26034,                 0.2424,                0.71937,                0.54709,                0.41216,                0.52089,                0.31449,                 1.4867,                  3.309,                 1.4165,             7.7326e-05,             7.7326e-05,             7.7326e-05
                     19,                0.24457,                0.23333,                0.71391,                0.45341,                0.36712,                0.45208,                0.26488,                 1.5916,                 3.6786,                 1.5099,             7.6581e-05,             7.6581e-05,             7.6581e-05
                     20,                0.24154,                0.23037,                 0.7152,                0.58401,                0.40315,                0.53786,                0.32164,                 1.5401,                 3.3162,                 1.4539,             7.5835e-05,             7.5835e-05,             7.5835e-05
