                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96943,                 2.2278,                 2.2488,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.074968,             5.0074e-06,             5.0074e-06
                      2,                0.54021,                0.59278,                 1.4855,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.049788,             1.0042e-05,             1.0042e-05
                      3,                0.41942,                0.42682,                 1.3043,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.024608,             1.5067e-05,             1.5067e-05
                      4,                 0.3331,                0.34171,                 1.1865,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.9956e-05,             1.9956e-05,             1.9956e-05
                      5,                0.27382,                0.28925,                 1.1117,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.9922e-05,             1.9922e-05,             1.9922e-05
                      6,                0.25064,                0.26182,                 1.0868,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.9878e-05,             1.9878e-05,             1.9878e-05
                      7,                0.21809,                0.23134,                 1.0504,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.9824e-05,             1.9824e-05,             1.9824e-05
                      8,                0.20039,                0.21045,                  1.035,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.9761e-05,             1.9761e-05,             1.9761e-05
                      9,                0.18048,                0.19673,                 1.0183,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.9688e-05,             1.9688e-05,             1.9688e-05
                     10,                0.16827,                0.18692,                 1.0146,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.9606e-05,             1.9606e-05,             1.9606e-05
                     11,                0.16272,                0.18026,                 1.0033,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.9514e-05,             1.9514e-05,             1.9514e-05
                     12,                0.15201,                0.17297,                0.99952,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.9413e-05,             1.9413e-05,             1.9413e-05
                     13,                0.14294,                0.16572,                0.99329,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.9303e-05,             1.9303e-05,             1.9303e-05
                     14,                0.13684,                0.15997,                0.98648,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.9183e-05,             1.9183e-05,             1.9183e-05
                     15,                0.13226,                0.15601,                0.98506,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.9055e-05,             1.9055e-05,             1.9055e-05
                     16,                0.12351,                0.14833,                0.98355,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.8918e-05,             1.8918e-05,             1.8918e-05
                     17,                0.12067,                0.14436,                 0.9798,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.8772e-05,             1.8772e-05,             1.8772e-05
                     18,                0.11723,                0.14377,                0.97486,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.8617e-05,             1.8617e-05,             1.8617e-05
                     19,                0.10969,                0.13611,                0.97216,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.8454e-05,             1.8454e-05,             1.8454e-05
                     20,                0.10823,                0.13704,                0.97111,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.8283e-05,             1.8283e-05,             1.8283e-05
                     21,                0.10869,                0.13666,                0.97489,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.8103e-05,             1.8103e-05,             1.8103e-05
                     22,                 0.1013,                0.13083,                0.96949,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.7916e-05,             1.7916e-05,             1.7916e-05
                     23,                0.09839,                0.12968,                0.96689,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.7721e-05,             1.7721e-05,             1.7721e-05
                     24,                0.09538,                 0.1252,                0.96656,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.7518e-05,             1.7518e-05,             1.7518e-05
                     25,                0.09294,                0.12336,                0.96225,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.7308e-05,             1.7308e-05,             1.7308e-05
                     26,                0.09338,                0.12331,                0.96666,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.7091e-05,             1.7091e-05,             1.7091e-05
                     27,                0.08964,                0.12111,                0.96551,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.6867e-05,             1.6867e-05,             1.6867e-05
                     28,                 0.0865,                0.12041,                0.96209,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.6636e-05,             1.6636e-05,             1.6636e-05
                     29,                0.08479,                0.11619,                0.95997,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.6399e-05,             1.6399e-05,             1.6399e-05
                     30,                0.08465,                0.11538,                0.96496,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.6156e-05,             1.6156e-05,             1.6156e-05
                     31,                0.07916,                0.11238,                0.96078,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.5906e-05,             1.5906e-05,             1.5906e-05
                     32,                0.07656,                0.11054,                 0.9598,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.5651e-05,             1.5651e-05,             1.5651e-05
                     33,                0.07585,                0.10989,                0.96074,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              1.539e-05,              1.539e-05,              1.539e-05
                     34,                 0.0751,                0.10825,                0.96468,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.5124e-05,             1.5124e-05,             1.5124e-05
                     35,                 0.0722,                0.10574,                0.95924,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.4853e-05,             1.4853e-05,             1.4853e-05
                     36,                 0.0719,                0.10496,                 0.9631,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.4577e-05,             1.4577e-05,             1.4577e-05
                     37,                0.06846,                0.10168,                0.95922,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.4297e-05,             1.4297e-05,             1.4297e-05
                     38,                0.06581,                0.09826,                0.95492,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.4013e-05,             1.4013e-05,             1.4013e-05
                     39,                 0.0653,                0.09746,                0.95561,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.3724e-05,             1.3724e-05,             1.3724e-05
                     40,                0.06366,                0.09591,                0.95693,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.3433e-05,             1.3433e-05,             1.3433e-05
                     41,                0.06093,                0.09457,                0.95459,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.3137e-05,             1.3137e-05,             1.3137e-05
                     42,                 0.0602,                 0.0933,                0.95324,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.2839e-05,             1.2839e-05,             1.2839e-05
                     43,                0.06009,                0.09257,                0.95413,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.2538e-05,             1.2538e-05,             1.2538e-05
                     44,                0.05822,                 0.0915,                0.95681,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.2235e-05,             1.2235e-05,             1.2235e-05
                     45,                0.05744,                0.08923,                0.95671,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.1929e-05,             1.1929e-05,             1.1929e-05
                     46,                0.05498,                0.08721,                0.94961,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             1.1622e-05,             1.1622e-05,             1.1622e-05
