,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,ateroesclerosis_tuning77,100.0,0.02793,0.05731,0.95614,0.66038,0.35473,0.54212,0.32763,0.99616,2.8295,2.3851,1.283e-07,1.283e-07,1.283e-07
1,ateroesclerosis_tuning29,100.0,0.03136,0.05653,0.94576,0.71901,0.39189,0.58583,0.36509,0.99858,2.6894,2.1793,1.371e-07,1.371e-07,1.371e-07
2,ateroesclerosis_tuning24,100.0,0.02846,0.05047,1.1108,0.74483,0.36486,0.56864,0.34831,0.97231,2.5509,2.5344,1.2351e-07,1.2351e-07,1.2351e-07
3,ateroesclerosis_tuning112,100.0,0.02204,0.05859,0.91363,0.64681,0.34234,0.52159,0.32992,0.83136,2.8356,2.4713,1.255e-07,1.255e-07,1.255e-07
4,ateroesclerosis_tuning83,100.0,0.02342,0.03857,0.98799,0.74555,0.32995,0.55479,0.35478,0.86916,2.0472,2.4021,1.2351e-07,1.2351e-07,1.2351e-07
5,ateroesclerosis_tuning30,100.0,0.02772,0.04273,1.1352,0.69178,0.45495,0.6054,0.36402,1.1471,1.8196,3.1937,1.373e-07,1.373e-07,1.373e-07
6,ateroesclerosis_tuning89,100.0,0.02522,0.05752,0.91577,0.81911,0.45383,0.66456,0.3984,0.85742,2.6526,2.0597,1.253e-07,1.253e-07,1.253e-07
7,ateroesclerosis_tuning41,100.0,0.02646,0.04835,0.95634,0.71242,0.36824,0.56039,0.37031,0.86245,2.2018,2.2212,1.1411e-07,1.1411e-07,1.1411e-07
8,ateroesclerosis_tuning87,100.0,0.0299,0.04828,0.90377,0.72353,0.41554,0.60837,0.39546,0.97309,2.2462,2.0908,1.255e-07,1.255e-07,1.255e-07
9,ateroesclerosis_tuning37,100.0,0.02645,0.04866,0.98309,0.69106,0.38288,0.55505,0.36319,0.92041,2.372,2.3574,1.281e-07,1.281e-07,1.281e-07
10,ateroesclerosis_tuning17,100.0,0.02917,0.05269,0.98031,0.72946,0.40991,0.58933,0.36077,1.0427,2.6014,2.3715,1.2351e-07,1.2351e-07,1.2351e-07
11,ateroesclerosis_tuning80,100.0,0.02546,0.05672,0.91506,0.68306,0.4223,0.57998,0.33049,0.98064,2.9552,2.3899,1.269e-07,1.269e-07,1.269e-07
12,ateroesclerosis_tuning,100.0,0.02688,0.0479,0.98916,0.71404,0.46396,0.62489,0.34717,0.88874,2.2424,2.4109,1.2351e-07,1.2351e-07,1.2351e-07
13,ateroesclerosis_tuning45,100.0,0.03253,0.05201,1.169,0.71429,0.36599,0.57208,0.35903,1.1534,2.5942,2.8088,1.333e-07,1.333e-07,1.333e-07
14,ateroesclerosis_tuning99,100.0,0.02601,0.05652,0.90988,0.71545,0.3964,0.57828,0.33976,1.0286,2.7335,2.4114,1.2071e-07,1.2071e-07,1.2071e-07
15,ateroesclerosis_tuning66,100.0,0.02731,0.04246,1.1236,0.54626,0.34572,0.49753,0.3447,1.0469,2.154,2.8472,1.375e-07,1.375e-07,1.375e-07
16,ateroesclerosis_tuning27,100.0,0.03429,0.0554,0.9479,0.70988,0.38851,0.57104,0.37376,1.2412,2.5866,2.3312,1.305e-07,1.305e-07,1.305e-07
17,ateroesclerosis_tuning39,100.0,0.03252,0.04374,0.90564,0.61456,0.25676,0.45032,0.2754,1.1289,2.2609,2.1802,1.379e-07,1.379e-07,1.379e-07
