fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.45229,2e-05,0.00593,0.77038,0.0005,3.62563,0.2073,3.79369,0.34028,2.03064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33843,2e-05,0.00426,0.77038,0.00041,3.56174,0.22603,4.56894,0.3578,1.70365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34857,2e-05,0.00578,0.80467,0.00043,3.62563,0.18657,3.79369,0.3703,2.5987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34377,2e-05,0.00576,0.78358,0.0005,3.41783,0.2073,3.79369,0.35391,1.94196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3604,2e-05,0.00661,0.77038,0.00046,3.44431,0.2073,3.97174,0.38782,2.03064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37245,3e-05,0.00654,0.77038,0.0005,3.24347,0.21628,3.05951,0.32412,2.09615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38725,2e-05,0.00593,0.73428,0.0005,3.41573,0.18523,3.79369,0.34028,1.58079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28094,2e-05,0.00664,0.74668,0.00049,3.45751,0.2125,3.97174,0.33606,2.08174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.43296,2e-05,0.00661,0.76808,0.0005,3.33454,0.19817,4.26899,0.38631,1.94838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38764,2e-05,0.00658,0.76808,0.0005,3.28601,0.19458,3.96259,0.38631,1.90406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
