,Unnamed: 0,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0,22,ateroesclerosis_tuning,50.0,0.05072,0.07386,0.64042,0.7199,0.30968,0.54218,0.39027,1.5958,3.7127,1.3785,5.5846e-07,5.5846e-07,5.5846e-07,0.31774,8e-05,0.006,0.7,0.00045,3.55158,0.54424,6.7212,0.49345,1.30573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,130,ateroesclerosis_tuning2,50.0,0.05875,0.07598,0.64046,0.70455,0.27928,0.51785,0.36763,1.8834,3.8525,1.5205,6.1041e-07,6.1041e-07,6.1041e-07,0.28811,8e-05,0.00665,0.78268,0.00048,5.0,0.65388,7.70431,0.49912,1.30573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,127,ateroesclerosis_tuning3,50.0,0.05028,0.07403,0.64076,0.78477,0.26689,0.55061,0.43345,1.5483,3.9217,1.339,5.6325e-07,5.6325e-07,5.6325e-07,0.28355,8e-05,0.00606,0.70034,0.00045,3.55158,0.54488,6.72305,0.49617,1.30573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,140,ateroesclerosis_tuning4,50.0,0.05938,0.07613,0.64642,0.72647,0.27815,0.52708,0.38859,1.8086,4.0494,1.4473,6.1041e-07,6.1041e-07,6.1041e-07,0.2892,8e-05,0.00665,0.7858,0.00049,5.0,0.66838,7.71253,0.50246,1.31828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,69,ateroesclerosis_tuning5,50.0,0.05854,0.07593,0.81522,0.67397,0.27703,0.4987,0.3589,1.8787,4.0225,1.7943,7.3166e-07,7.3166e-07,7.3166e-07,0.28521,9e-05,0.00715,0.7748,0.00046,5.0,0.8094,7.77306,0.50246,1.66322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,152,ateroesclerosis_tuning6,50.0,0.05272,0.07501,0.66334,0.72665,0.35923,0.56779,0.38062,1.5977,3.5572,1.4716,4.2641e-07,4.2641e-07,4.2641e-07,0.36137,7e-05,0.00511,0.7,0.00046,4.11557,0.54331,6.7212,0.49345,1.35248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,185,ateroesclerosis_tuning7,50.0,0.0595,0.1051,0.60383,0.73378,0.36937,0.5777,0.3622,1.9088,4.6765,1.4444,5.5846e-07,5.5846e-07,5.5846e-07,0.36865,8e-05,0.006,0.7,0.00051,3.28511,0.80471,7.64297,0.66446,1.22986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,189,ateroesclerosis_tuning8,50.0,0.06333,0.04586,0.53456,0.84642,0.27928,0.57724,0.40723,2.1955,2.4614,1.2667,7.2309e-07,7.2309e-07,7.2309e-07,0.29207,8e-05,0.00806,0.70639,0.00051,3.64475,0.66302,8.20156,0.29859,1.0886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,54,ateroesclerosis_tuning9,50.0,0.05228,0.08537,0.55632,0.76301,0.2973,0.55519,0.39345,1.5677,4.1543,1.1944,4.2641e-07,4.2641e-07,4.2641e-07,0.30691,7e-05,0.00511,0.7,0.00043,4.44789,0.53971,6.7212,0.55003,1.1334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,59,ateroesclerosis_tuning10,50.0,0.05372,0.08915,0.53957,0.72796,0.32545,0.55105,0.35313,1.7075,4.3401,1.2535,4.2641e-07,4.2641e-07,4.2641e-07,0.32822,7e-05,0.00511,0.7,0.00041,3.95954,0.56523,6.7212,0.57995,1.09929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,160,ateroesclerosis_tuning11,50.0,0.05833,0.10749,0.60396,0.59024,0.27252,0.46566,0.33167,1.8903,6.0504,1.3735,6.7682e-07,6.7682e-07,6.7682e-07,0.27844,9e-05,0.00654,0.7,0.00051,3.23157,0.7436,7.66042,0.71934,1.22986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,123,ateroesclerosis_tuning12,50.0,0.04995,0.08098,0.6631,0.65435,0.33896,0.53152,0.34296,1.5625,3.8318,1.5644,3.6969e-07,3.6969e-07,3.6969e-07,0.33936,6e-05,0.00518,0.7,0.00039,3.68083,0.50099,6.32308,0.52573,1.35248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,97,ateroesclerosis_tuning13,50.0,0.04029,0.07163,0.66338,0.75741,0.31644,0.56191,0.39603,1.1805,3.7311,1.3794,4.9292e-07,4.9292e-07,4.9292e-07,0.3244,8e-05,0.00518,0.7,0.00032,3.74769,0.50099,5.17411,0.46433,1.35248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,34,ateroesclerosis_tuning14,50.0,0.04557,0.06902,0.75774,0.76092,0.37275,0.59698,0.38755,1.3801,3.2912,1.6658,2.8278e-07,2.8278e-07,2.8278e-07,0.37423,6e-05,0.00373,0.7,0.00043,4.33339,0.37105,5.98255,0.4587,1.5467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,129,ateroesclerosis_tuning15,50.0,0.05786,0.09937,0.60618,0.77451,0.26689,0.53902,0.38945,1.9413,5.4947,1.3788,5.5846e-07,5.5846e-07,5.5846e-07,0.27915,8e-05,0.006,0.7,0.0005,3.33398,0.81629,7.64297,0.67122,1.23518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,184,ateroesclerosis_tuning16,50.0,0.02896,0.09421,0.71094,0.60086,0.31532,0.48601,0.30036,0.93513,4.3019,1.6932,4.1884e-07,4.1884e-07,4.1884e-07,0.31382,6e-05,0.006,0.7,0.00049,3.97789,0.56809,3.72133,0.60291,1.44987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,20,ateroesclerosis_tuning17,50.0,0.04369,0.06131,0.54762,0.63636,0.31532,0.51522,0.34518,1.275,3.0216,1.1521,3.571e-07,3.571e-07,3.571e-07,0.3183,6e-05,0.00497,0.74164,0.00041,3.48872,0.50099,5.61597,0.40276,1.11698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
