                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2063,                  2.299,                 2.2832,                0.58629,                0.11486,                0.16969,                 0.0769,                 1.5263,                 2.4063,                 2.6133,               0.074706,             5.0599e-06,             5.0599e-06
                      2,                0.67187,                0.58815,                 1.5163,                0.70735,                 0.2973,                0.38545,                 0.2163,                 1.0659,                 1.8758,                 2.0047,               0.049262,             1.0148e-05,             1.0148e-05
                      3,                0.51979,                0.42533,                 1.3186,                0.57199,                0.41441,                0.44413,                0.23884,                 1.0451,                 1.6396,                  2.046,               0.023818,             1.5229e-05,             1.5229e-05
                      4,                0.41122,                0.33432,                 1.2049,                0.64428,                0.36712,                0.46416,                0.24957,                 1.0519,                 1.6736,                 2.0782,             1.9969e-05,             1.9969e-05,             1.9969e-05
                      5,                0.34529,                0.29132,                 1.1427,                0.73989,                0.36712,                0.41693,                0.19901,                 1.0798,                 1.7504,                 2.1705,             1.9945e-05,             1.9945e-05,             1.9945e-05
                      6,                0.30046,                 0.2552,                 1.1006,                0.64374,                0.40653,                0.47606,                0.23618,                 1.0872,                 1.6342,                 2.1992,             1.9915e-05,             1.9915e-05,             1.9915e-05
                      7,                0.26626,                 0.2302,                 1.0726,                0.67457,                0.42005,                 0.4714,                0.22911,                 1.0446,                 1.5344,                 2.1714,             1.9877e-05,             1.9877e-05,             1.9877e-05
                      8,                0.24737,                0.21343,                 1.0585,                0.66241,                0.43973,                0.48064,                0.22126,                 1.1025,                 1.6446,                  2.374,             1.9833e-05,             1.9833e-05,             1.9833e-05
                      9,                0.22763,                 0.1971,                 1.0452,                0.71869,                0.43018,                0.55344,                0.28742,                 1.0491,                 1.6131,                 2.1892,             1.9782e-05,             1.9782e-05,             1.9782e-05
                     10,                0.21398,                0.18598,                 1.0357,                0.69732,                0.40992,                0.47719,                0.25125,                 1.0592,                 1.7889,                 2.2231,             1.9725e-05,             1.9725e-05,             1.9725e-05
                     11,                  0.199,                0.17418,                 1.0255,                0.72012,                0.43131,                0.47047,                0.25185,                 1.0572,                 1.7373,                 2.3239,             1.9661e-05,             1.9661e-05,             1.9661e-05
                     12,                0.19299,                0.16985,                 1.0226,                0.75994,                 0.3957,                0.50926,                0.26643,                  1.064,                 1.8645,                 2.2691,              1.959e-05,              1.959e-05,              1.959e-05
                     13,                0.18401,                0.16127,                 1.0161,                0.73162,                0.39908,                0.52464,                0.27803,                 1.0587,                 1.8119,                 2.2852,             1.9513e-05,             1.9513e-05,             1.9513e-05
                     14,                0.17295,                0.15443,                  1.008,                0.72434,                0.38467,                0.52629,                0.26845,                 1.0774,                 1.7867,                 2.3629,             1.9429e-05,             1.9429e-05,             1.9429e-05
                     15,                 0.1672,                0.15058,                 1.0066,                 0.7785,                0.37725,                0.51586,                0.27203,                 1.0739,                 1.9281,                 2.3425,             1.9339e-05,             1.9339e-05,             1.9339e-05
                     16,                0.16262,                0.14846,                 1.0078,                0.77494,                0.43018,                 0.5536,                0.29083,                 1.0577,                 1.7761,                 2.2891,             1.9242e-05,             1.9242e-05,             1.9242e-05
                     17,                0.15327,                0.14071,                 1.0006,                0.78011,                0.41549,                 0.5204,                0.24928,                 1.1014,                 1.7841,                 2.4199,             1.9139e-05,             1.9139e-05,             1.9139e-05
                     18,                0.15311,                0.13936,                 1.0036,                0.74528,                0.42505,                0.54731,                0.27464,                 1.0544,                 1.7589,                 2.3518,              1.903e-05,              1.903e-05,              1.903e-05
                     19,                0.14432,                0.13447,                  1.001,                0.75592,                  0.422,                0.54913,                0.28901,                 1.0514,                 1.9822,                 2.2816,             1.8915e-05,             1.8915e-05,             1.8915e-05
                     20,                0.13878,                0.13087,                0.99791,                0.76539,                  0.375,                 0.5159,                0.27674,                 1.0974,                 1.9427,                  2.443,             1.8793e-05,             1.8793e-05,             1.8793e-05
                     21,                0.13479,                0.12781,                0.99311,                0.73887,                0.37282,                0.53138,                0.29244,                 1.0715,                 1.9987,                 2.3458,             1.8666e-05,             1.8666e-05,             1.8666e-05
                     22,                0.13307,                0.12552,                0.99354,                0.74623,                0.37162,                0.50827,                0.27489,                 1.0793,                 1.9912,                 2.3928,             1.8533e-05,             1.8533e-05,             1.8533e-05
                     23,                0.12661,                0.12102,                0.99242,                0.77211,                0.39298,                0.56937,                0.30554,                 1.0332,                 1.9486,                 2.2673,             1.8394e-05,             1.8394e-05,             1.8394e-05
                     24,                 0.1261,                0.12043,                0.98807,                0.75082,                0.37325,                 0.5575,                0.28753,                 1.0664,                 1.9538,                 2.3563,             1.8249e-05,             1.8249e-05,             1.8249e-05
                     25,                0.11884,                0.11578,                0.99014,                 0.7769,                0.40653,                0.57584,                0.30407,                  1.056,                 1.8818,                 2.3424,             1.8099e-05,             1.8099e-05,             1.8099e-05
                     26,                 0.1187,                0.11425,                0.98707,                0.74731,                0.39299,                0.53626,                0.27316,                 1.0788,                  1.952,                 2.3753,             1.7943e-05,             1.7943e-05,             1.7943e-05
                     27,                0.11614,                0.11345,                0.98685,                0.73016,                0.38395,                0.53165,                0.27055,                 1.0646,                 1.9652,                 2.3508,             1.7781e-05,             1.7781e-05,             1.7781e-05
                     28,                0.10882,                0.10952,                0.98497,                0.75689,                0.40766,                0.54544,                0.27163,                 1.0596,                 1.9846,                 2.3471,             1.7615e-05,             1.7615e-05,             1.7615e-05
