                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7912,                 2.6445,                 1.4578,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.072042,             2.2384e-05,             2.2384e-05
                      2,                 1.0349,                0.69031,                0.98648,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.043919,             4.4857e-05,             4.4857e-05
                      3,                0.83124,                0.53683,                0.88812,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.015796,             6.7153e-05,             6.7153e-05
                      4,                0.70786,                0.43627,                0.82739,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.9296e-05,             7.9296e-05,             7.9296e-05
                      5,                0.61202,                0.37509,                 0.7837,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.8751e-05,             7.8751e-05,             7.8751e-05
                      6,                0.54514,                0.33323,                0.75597,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.8054e-05,             7.8054e-05,             7.8054e-05
                      7,                0.49305,                0.30511,                0.73561,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.7208e-05,             7.7208e-05,             7.7208e-05
                      8,                0.44034,                0.27564,                0.71484,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.6216e-05,             7.6216e-05,             7.6216e-05
                      9,                0.39468,                0.25674,                0.70265,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.5082e-05,             7.5082e-05,             7.5082e-05
                     10,                 0.3667,                0.24553,                0.69455,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              7.381e-05,              7.381e-05,              7.381e-05
                     11,                0.33583,                0.22548,                0.68379,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.2407e-05,             7.2407e-05,             7.2407e-05
                     12,                 0.3124,                0.21541,                0.68051,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             7.0876e-05,             7.0876e-05,             7.0876e-05
                     13,                0.28606,                0.20726,                0.67263,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             6.9224e-05,             6.9224e-05,             6.9224e-05
                     14,                0.27036,                0.19784,                0.66821,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             6.7458e-05,             6.7458e-05,             6.7458e-05
                     15,                0.25996,                0.18994,                0.66681,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             6.5584e-05,             6.5584e-05,             6.5584e-05
                     16,                0.24656,                0.18571,                0.66469,                      0,                      0,                      0,                      0,                      0,                      0,                      0,              6.361e-05,              6.361e-05,              6.361e-05
                     17,                0.22847,                0.17317,                0.66079,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             6.1544e-05,             6.1544e-05,             6.1544e-05
