,name,epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,ateroesclerosis_tuning181,50.0,0.03956,0.06142,0.97307,0.85969,0.31869,0.51244,0.31846,1.0784,2.2642,2.3175,1.0685e-07,1.0685e-07,1.0685e-07
1,ateroesclerosis_tuning189,50.0,0.04915,0.06149,0.93821,0.50182,0.46509,0.53507,0.30108,1.3164,1.9909,2.3761,1.0005e-07,1.0005e-07,1.0005e-07
2,ateroesclerosis_tuning190,50.0,0.03484,0.07298,0.83277,0.74358,0.36901,0.55166,0.33641,0.97245,2.4663,2.042,9.6257e-08,9.6257e-08,9.6257e-08
3,ateroesclerosis_tuning77,50.0,0.04463,0.05371,0.76224,0.62712,0.375,0.53521,0.32884,1.2797,1.9928,1.958,8.8465e-08,8.8465e-08,8.8465e-08
4,ateroesclerosis_tuning160,50.0,0.05083,0.07131,0.74263,0.88209,0.30631,0.49848,0.33523,1.3376,2.6488,1.6513,1.0605e-07,1.0605e-07,1.0605e-07
5,ateroesclerosis_tuning29,50.0,0.04834,0.07122,0.90941,0.70737,0.34572,0.55335,0.3568,1.5237,3.3342,2.0566,2.5401e-07,2.5401e-07,2.5401e-07
6,ateroesclerosis_tuning24,50.0,0.04368,0.06443,0.82373,0.71968,0.40766,0.58748,0.3492,1.4692,2.9292,1.9836,2.582e-07,2.582e-07,2.582e-07
7,ateroesclerosis_tuning112,50.0,0.03878,0.06214,0.96244,0.58473,0.3536,0.49889,0.32445,1.0917,2.4145,2.2957,9.2261e-08,9.2261e-08,9.2261e-08
8,ateroesclerosis_tuning83,50.0,0.03775,0.06035,0.97267,0.66707,0.61599,0.6922,0.36866,1.043,1.7594,2.393,1.0725e-07,1.0725e-07,1.0725e-07
9,ateroesclerosis_tuning30,50.0,0.05144,0.05702,0.87579,0.65269,0.36824,0.54804,0.35284,1.5651,2.5835,1.9699,2.021e-07,2.021e-07,2.021e-07
10,ateroesclerosis_tuning199,50.0,0.03784,0.06152,0.79748,0.62195,0.40203,0.53536,0.35832,1.0013,2.2975,1.899,9.2061e-08,9.2061e-08,9.2061e-08
11,ateroesclerosis_tuning89,50.0,0.04098,0.06489,0.76141,0.56311,0.45721,0.55473,0.33012,1.0619,2.2128,1.7382,1.2303e-07,1.2303e-07,1.2303e-07
12,ateroesclerosis_tuning137,50.0,0.04195,0.0597,1.1579,0.59801,0.40541,0.54775,0.34265,1.2055,2.1368,2.943,9.7656e-08,9.7656e-08,9.7656e-08
13,ateroesclerosis_tuning125,50.0,0.02487,0.06003,1.1252,0.706,0.38401,0.57303,0.3504,0.65697,2.487,2.4908,1.0765e-07,1.0765e-07,1.0765e-07
14,ateroesclerosis_tuning41,50.0,0.04908,0.06658,1.0127,0.5974,0.36261,0.52251,0.33475,1.5191,2.7868,2.3772,1.9531e-07,1.9531e-07,1.9531e-07
