fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.31774,8e-05,0.006,0.7,0.00045,3.55158,0.54424,6.7212,0.49345,1.30573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28811,8e-05,0.00665,0.78268,0.00048,5.0,0.65388,7.70431,0.49912,1.30573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28355,8e-05,0.00606,0.70034,0.00045,3.55158,0.54488,6.72305,0.49617,1.30573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2892,8e-05,0.00665,0.7858,0.00049,5.0,0.66838,7.71253,0.50246,1.31828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28521,9e-05,0.00715,0.7748,0.00046,5.0,0.8094,7.77306,0.50246,1.66322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36137,7e-05,0.00511,0.7,0.00046,4.11557,0.54331,6.7212,0.49345,1.35248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36865,8e-05,0.006,0.7,0.00051,3.28511,0.80471,7.64297,0.66446,1.22986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29207,8e-05,0.00806,0.70639,0.00051,3.64475,0.66302,8.20156,0.29859,1.0886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30691,7e-05,0.00511,0.7,0.00043,4.44789,0.53971,6.7212,0.55003,1.1334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32822,7e-05,0.00511,0.7,0.00041,3.95954,0.56523,6.7212,0.57995,1.09929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27844,9e-05,0.00654,0.7,0.00051,3.23157,0.7436,7.66042,0.71934,1.22986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33936,6e-05,0.00518,0.7,0.00039,3.68083,0.50099,6.32308,0.52573,1.35248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3244,8e-05,0.00518,0.7,0.00032,3.74769,0.50099,5.17411,0.46433,1.35248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37423,6e-05,0.00373,0.7,0.00043,4.33339,0.37105,5.98255,0.4587,1.5467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27915,8e-05,0.006,0.7,0.0005,3.33398,0.81629,7.64297,0.67122,1.23518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.31382,6e-05,0.006,0.7,0.00049,3.97789,0.56809,3.72133,0.60291,1.44987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3183,6e-05,0.00497,0.74164,0.00041,3.48872,0.50099,5.61597,0.40276,1.11698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32169,8e-05,0.00491,0.7,0.00035,3.75108,0.53049,5.49599,0.49345,1.28059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.33188,9e-05,0.00553,0.7,0.00052,3.28511,0.88579,6.58469,0.66446,1.281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
