                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7088,                 3.8488,                 2.3922,                0.06775,                0.11821,                0.02845,                0.00691,                 2.4085,                 25.454,                 2.0206,               0.070054,              0.0033273,              0.0033273
                      2,                 2.3354,                 2.8014,                 2.1172,                0.47027,                0.13992,                0.16842,                0.06515,                 2.1572,                 5.7238,                 1.8685,               0.040053,               0.006659,               0.006659
                      3,                 2.1875,                 2.6052,                 2.0035,                0.23132,                0.11594,                0.10449,                0.03482,                 2.2033,                 19.746,                 1.9081,               0.010044,              0.0099842,              0.0099842
                      4,                  2.056,                 2.3433,                 1.9045,                0.40913,                0.22781,                0.23828,                0.08639,                 2.0252,                 5.6583,                 1.7469,               0.009978,               0.009978,               0.009978
                      5,                 1.9814,                 2.2912,                 1.8501,                 0.5435,                0.07428,                 0.1273,                0.04445,                 2.2108,                 3.3434,                 1.8721,               0.009961,               0.009961,               0.009961
                      6,                 1.8756,                 2.1654,                 1.7751,                0.17266,                0.14187,                0.11147,                0.04739,                 2.0896,                  4.815,                  1.764,              0.0099391,              0.0099391,              0.0099391
                      7,                 1.8537,                 2.0088,                  1.749,                0.07664,                0.19339,                0.02897,                0.01124,                 2.0564,                 46.224,                  1.779,              0.0099123,              0.0099123,              0.0099123
                      8,                 1.7564,                 1.8608,                 1.6863,                0.36991,                0.20686,                0.19565,                0.07027,                 2.1431,                 3.6144,                 1.7943,              0.0098808,              0.0098808,              0.0098808
                      9,                 1.7141,                 1.6771,                 1.6481,                0.37963,                0.24417,                0.21333,                0.09403,                 1.9853,                 4.3898,                 1.7821,              0.0098445,              0.0098445,              0.0098445
                     10,                 1.6766,                 1.6417,                 1.6296,                0.18827,                0.05797,                0.04448,                0.01515,                 2.5276,                 3.8879,                 2.1562,              0.0098035,              0.0098035,              0.0098035
                     11,                 1.6032,                 1.4855,                 1.5761,                0.39868,                0.22491,                0.23078,                0.09694,                 2.1018,                 3.6778,                 1.8173,              0.0097577,              0.0097577,              0.0097577
                     12,                 1.5627,                 1.4759,                 1.5452,                0.41971,                0.18614,                0.20095,                0.09431,                 2.2434,                 3.3637,                 1.9745,              0.0097074,              0.0097074,              0.0097074
                     13,                 1.5277,                 1.4038,                 1.5115,                0.29777,                0.26449,                0.20845,                0.09297,                 2.0202,                 5.1949,                 1.7672,              0.0096524,              0.0096524,              0.0096524
                     14,                 1.4724,                 1.2983,                 1.4784,                0.28926,                0.06341,                0.17595,                0.09042,                 3.0004,                 5.2592,                 2.5429,              0.0095929,              0.0095929,              0.0095929
                     15,                 1.4685,                 1.2614,                 1.4701,                0.39532,                0.32186,                0.25479,                0.10995,                 2.0263,                 4.1687,                  1.781,              0.0095289,              0.0095289,              0.0095289
                     16,                 1.4098,                  1.171,                 1.4315,                0.35822,                0.25815,                0.20799,                0.08508,                 2.2874,                 3.4829,                  2.048,              0.0094605,              0.0094605,              0.0094605
                     17,                 1.3883,                 1.1219,                 1.4224,                0.39991,                0.25408,                 0.2258,                0.08317,                 2.1684,                 4.8289,                 1.9489,              0.0093877,              0.0093877,              0.0093877
                     18,                 1.3512,                 1.1142,                 1.3917,                0.37144,                0.29393,                0.25411,                0.11067,                 2.0692,                 4.3614,                 1.8282,              0.0093107,              0.0093107,              0.0093107
                     19,                 1.3168,                0.98993,                 1.3742,                 0.2911,                0.15127,                0.13081,                0.05579,                 2.3149,                 4.5073,                 2.0529,              0.0092294,              0.0092294,              0.0092294
                     20,                 1.2732,                0.96098,                 1.3412,                0.55403,                0.29529,                0.30249,                0.13654,                 2.2544,                  4.267,                  2.032,               0.009144,               0.009144,               0.009144
                     21,                 1.1805,                0.86942,                  1.282,                0.47561,                0.33107,                0.31615,                0.14332,                  2.077,                 3.5407,                 1.9155,              0.0090546,              0.0090546,              0.0090546
                     22,                 1.1775,                0.84822,                   1.28,                0.39164,                0.21286,                0.21822,                0.09448,                 2.3218,                 3.6442,                 2.1277,              0.0089613,              0.0089613,              0.0089613
                     23,                 1.1413,                0.79852,                 1.2523,                0.49371,                0.25861,                0.30048,                0.14301,                 2.2345,                 3.6852,                 2.0101,               0.008864,               0.008864,               0.008864
                     24,                 1.1174,                0.80824,                 1.2425,                0.45358,                0.24683,                0.25694,                0.11608,                 2.1014,                 3.7959,                 1.9166,               0.008763,               0.008763,               0.008763
                     25,                 1.0754,                0.73915,                 1.2179,                 0.4862,                0.26359,                0.27282,                 0.1129,                 2.1279,                 3.5447,                  1.954,              0.0086584,              0.0086584,              0.0086584
                     26,                 1.0674,                0.73402,                 1.2073,                 0.3833,                0.27355,                0.22063,                0.09134,                 2.2197,                 5.0194,                 2.0483,              0.0085502,              0.0085502,              0.0085502
                     27,                 1.0054,                0.67485,                 1.1689,                0.50282,                0.29846,                0.29162,                0.13049,                 2.1339,                 3.9751,                 1.9809,              0.0084385,              0.0084385,              0.0084385
                     28,                0.95707,                0.64936,                 1.1369,                0.44248,                0.26947,                0.22871,                0.09545,                 2.1725,                 3.9876,                 2.0349,              0.0083235,              0.0083235,              0.0083235
                     29,                0.94665,                0.61866,                 1.1248,                0.46173,                0.26812,                0.26629,                0.12206,                 2.2619,                 3.7906,                 2.0816,              0.0082052,              0.0082052,              0.0082052
                     30,                0.93091,                0.62144,                 1.1109,                 0.5495,                0.29257,                0.28092,                0.12224,                 2.2313,                 11.893,                  2.104,              0.0080839,              0.0080839,              0.0080839
                     31,                0.90806,                0.62319,                  1.105,                 0.4547,                0.31686,                0.27373,                0.12334,                 2.1533,                 3.6021,                 2.0783,              0.0079595,              0.0079595,              0.0079595
                     32,                0.81743,                0.53241,                 1.0517,                0.51301,                0.27808,                 0.2735,                0.11971,                 2.1893,                  4.011,                 2.0961,              0.0078323,              0.0078323,              0.0078323
                     33,                0.84905,                0.55822,                 1.0667,                0.48182,                0.29257,                 0.2841,                0.12818,                 2.1854,                   4.07,                 2.1449,              0.0077023,              0.0077023,              0.0077023
                     34,                0.82349,                0.54324,                 1.0499,                0.48325,                0.27763,                0.28205,                0.12818,                 2.3117,                 4.1758,                 2.2554,              0.0075698,              0.0075698,              0.0075698
                     35,                0.79809,                0.52206,                 1.0418,                0.39719,                0.26902,                0.26412,                0.12419,                 2.1433,                 4.1954,                 2.1088,              0.0074347,              0.0074347,              0.0074347
                     36,                0.76894,                0.50288,                 1.0215,                0.48092,                0.30933,                0.31484,                0.14929,                 2.0846,                 3.2386,                 2.0063,              0.0072973,              0.0072973,              0.0072973
                     37,                0.75536,                 0.4893,                 1.0104,                0.42654,                0.27522,                0.26687,                0.11698,                 2.2589,                 4.0302,                 2.1838,              0.0071576,              0.0071576,              0.0071576
                     38,                0.71928,                0.47893,                0.99868,                0.49289,                0.28173,                0.29126,                0.13931,                  2.226,                  3.754,                 2.1669,              0.0070159,              0.0070159,              0.0070159
                     39,                0.70482,                0.45758,                0.98748,                0.48531,                0.28487,                0.29331,                0.13322,                 2.1955,                 4.0823,                 2.1686,              0.0068722,              0.0068722,              0.0068722
                     40,                0.68999,                0.45751,                0.97531,                0.49884,                0.23712,                 0.2176,                0.10448,                  2.162,                 4.5956,                 2.1062,              0.0067268,              0.0067268,              0.0067268
                     41,                0.67359,                0.44128,                0.97079,                0.55481,                0.28623,                0.29818,                0.13792,                 2.1657,                 3.8364,                  2.154,              0.0065796,              0.0065796,              0.0065796
                     42,                0.62565,                0.40852,                0.94093,                0.47546,                0.29484,                0.31891,                0.15264,                 2.2372,                 3.9728,                 2.1996,               0.006431,               0.006431,               0.006431
                     43,                0.62088,                0.40649,                0.93988,                 0.5085,                0.27174,                0.29724,                0.13696,                 2.1986,                 4.0017,                 2.1528,               0.006281,               0.006281,               0.006281
                     44,                0.60707,                0.40045,                0.92872,                 0.5646,                0.25634,                0.30065,                0.14553,                 2.1875,                  4.084,                 2.2005,              0.0061298,              0.0061298,              0.0061298
                     45,                0.59031,                0.38664,                0.92612,                0.46433,                0.28668,                0.32115,                0.16041,                 2.1654,                 4.2811,                 2.1591,              0.0059775,              0.0059775,              0.0059775
                     46,                0.57311,                0.38567,                0.91501,                0.52014,                0.30978,                0.33354,                 0.1569,                 2.1972,                 4.2442,                 2.2361,              0.0058244,              0.0058244,              0.0058244
                     47,                0.57049,                0.37897,                0.91431,                0.52418,                0.28351,                0.30212,                0.13509,                 2.2642,                 3.7531,                 2.2105,              0.0056704,              0.0056704,              0.0056704
                     48,                0.55397,                0.36881,                0.90592,                0.54368,                0.26766,                0.33235,                 0.1577,                 2.2544,                 4.0647,                 2.2502,              0.0055158,              0.0055158,              0.0055158
                     49,                0.53991,                0.36039,                0.89582,                0.54975,                0.25634,                0.27318,                0.12604,                 2.2629,                 4.2401,                  2.242,              0.0053608,              0.0053608,              0.0053608
                     50,                0.51073,                0.34769,                0.88464,                0.45254,                0.27853,                0.28549,                0.12967,                 2.2005,                 4.0572,                 2.1899,              0.0052055,              0.0052055,              0.0052055
                     51,                0.50408,                 0.3362,                0.88155,                0.54861,                0.27248,                0.32049,                0.14603,                 2.2057,                 4.1983,                 2.1973,                0.00505,                0.00505,                0.00505
                     52,                0.49231,                0.33539,                0.87909,                0.54111,                0.27129,                 0.3459,                 0.1799,                 2.1573,                 4.3064,                 2.1718,              0.0048945,              0.0048945,              0.0048945
                     53,                0.47699,                0.32551,                0.87165,                0.55882,                0.26585,                0.29989,                0.14208,                 2.2237,                 3.8667,                 2.2273,              0.0047392,              0.0047392,              0.0047392
                     54,                0.46071,                0.31545,                0.86476,                0.53964,                0.28562,                0.33141,                0.16263,                 2.2043,                 3.8285,                  2.215,              0.0045842,              0.0045842,              0.0045842
                     55,                0.44902,                0.31001,                0.86064,                 0.6063,                0.26016,                0.34986,                0.16534,                 2.2399,                 4.1507,                 2.2405,              0.0044296,              0.0044296,              0.0044296
                     56,                0.43386,                0.30377,                0.85174,                0.56014,                0.28804,                0.35511,                0.16582,                 2.1924,                 4.1965,                 2.1861,              0.0042756,              0.0042756,              0.0042756
                     57,                0.42013,                0.29533,                 0.8507,                0.58209,                0.26495,                0.35677,                0.17834,                 2.2009,                 4.2506,                  2.166,              0.0041225,              0.0041225,              0.0041225
                     58,                0.40566,                0.28918,                0.84497,                0.58002,                0.27582,                0.34594,                0.17106,                 2.1792,                 3.9011,                 2.1847,              0.0039702,              0.0039702,              0.0039702
                     59,                 0.3967,                0.28318,                0.84012,                0.53974,                0.27264,                0.33477,                0.16239,                 2.2108,                 4.0652,                 2.2035,               0.003819,               0.003819,               0.003819
                     60,                0.38661,                0.27755,                0.83714,                0.53524,                0.27748,                0.32448,                0.15611,                 2.2164,                 3.6799,                 2.1515,               0.003669,               0.003669,               0.003669
                     61,                0.38345,                0.27367,                0.83581,                 0.5218,                0.27264,                 0.3513,                0.17378,                 2.3008,                 4.0606,                 2.2617,              0.0035204,              0.0035204,              0.0035204
                     62,                0.36715,                0.26487,                0.82976,                0.53658,                0.25543,                0.34853,                0.17579,                 2.2293,                 4.0152,                 2.2527,              0.0033732,              0.0033732,              0.0033732
                     63,                0.35282,                0.25952,                0.82586,                0.55709,                0.25543,                0.34083,                0.16531,                  2.244,                 4.0415,                 2.2384,              0.0032278,              0.0032278,              0.0032278
                     64,                0.34833,                0.25501,                0.82322,                0.57881,                0.27627,                0.35446,                0.16911,                 2.2704,                 3.9887,                 2.2908,              0.0030841,              0.0030841,              0.0030841
                     65,                0.32806,                0.24639,                0.81508,                0.59617,                0.25996,                0.37498,                0.18118,                 2.3037,                 3.8479,                 2.3152,              0.0029424,              0.0029424,              0.0029424
                     66,                0.31667,                 0.2393,                0.81458,                0.53444,                0.26766,                0.36836,                0.18305,                 2.2304,                 4.1094,                  2.233,              0.0028027,              0.0028027,              0.0028027
                     67,                0.30635,                0.23404,                0.81276,                0.55866,                0.26585,                0.35562,                0.18148,                 2.2548,                 4.0992,                 2.2391,              0.0026653,              0.0026653,              0.0026653
                     68,                0.30112,                0.22959,                0.81041,                0.53524,                0.25974,                0.34728,                0.16975,                 2.2736,                 4.1387,                 2.3012,              0.0025302,              0.0025302,              0.0025302
                     69,                0.29219,                0.22469,                0.80775,                0.57815,                0.26676,                0.36252,                0.17165,                 2.2773,                 4.1515,                 2.2528,              0.0023977,              0.0023977,              0.0023977
                     70,                0.27963,                 0.2172,                0.80447,                0.55641,                  0.267,                0.36584,                0.18206,                  2.301,                  4.167,                 2.2873,              0.0022677,              0.0022677,              0.0022677
