                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7801,                 3.8954,                 2.4982,                0.06902,                 0.0412,                0.01775,                0.00413,                 2.9305,                 26.857,                 2.5849,               0.070067,              0.0033258,              0.0033258
                      2,                 2.4602,                 3.0111,                  2.276,                 0.1267,                0.09612,                0.03912,                0.01012,                 2.6391,                 29.091,                 2.2574,               0.040066,              0.0066575,              0.0066575
                      3,                 2.2648,                  2.703,                 2.1263,                0.29456,                0.08158,                0.09642,                0.02909,                 2.3957,                 4.9855,                 2.0381,               0.010058,              0.0099827,              0.0099827
                      4,                 2.1552,                 2.6235,                  2.038,                  0.218,                0.09047,                0.07332,                0.02209,                 2.3854,                 4.0943,                 2.0574,               0.009978,               0.009978,               0.009978
                      5,                 2.0984,                 2.4553,                 1.9918,                0.37574,                0.10097,                0.11763,                 0.0418,                 2.5223,                 3.4228,                 2.1776,               0.009961,               0.009961,               0.009961
                      6,                 2.0663,                 2.4437,                 1.9617,                 0.2345,                0.16559,                0.12537,                0.04027,                 2.4003,                 3.5896,                 2.0546,              0.0099391,              0.0099391,              0.0099391
                      7,                 1.9367,                 2.1799,                  1.869,                0.25449,                0.11389,                0.10102,                0.02991,                 2.4436,                 3.3667,                  2.091,              0.0099123,              0.0099123,              0.0099123
                      8,                 1.8782,                 2.1114,                 1.8094,                0.15939,                0.11147,                0.06147,                0.02028,                 2.6081,                 5.6348,                 2.2416,              0.0098808,              0.0098808,              0.0098808
                      9,                 1.8875,                 2.0428,                 1.8087,                0.28129,                0.22698,                0.17912,                0.05643,                 2.2461,                 8.2468,                 1.9736,              0.0098445,              0.0098445,              0.0098445
                     10,                 1.8486,                 1.9278,                  1.793,                0.27659,                0.23194,                0.17099,                0.05945,                 2.3764,                 3.6451,                 2.1023,              0.0098035,              0.0098035,              0.0098035
                     11,                 1.8066,                 1.8809,                 1.7486,                0.35347,                0.22456,                 0.1986,                0.06551,                 2.3346,                 4.0371,                 2.0096,              0.0097577,              0.0097577,              0.0097577
                     12,                  1.765,                 1.7738,                 1.7199,                0.35855,                0.25363,                0.21637,                0.07577,                 2.3595,                  3.318,                 2.0804,              0.0097074,              0.0097074,              0.0097074
                     13,                 1.7426,                 1.7852,                 1.6983,                0.16303,                0.15024,                0.09415,                0.03393,                 2.4656,                 4.5404,                 2.1482,              0.0096524,              0.0096524,              0.0096524
                     14,                 1.7016,                 1.6312,                 1.6678,                 0.3794,                0.22536,                0.21875,                0.07601,                 2.3954,                 3.5474,                 2.0811,              0.0095929,              0.0095929,              0.0095929
                     15,                 1.6574,                  1.473,                 1.6418,                0.33536,                0.23667,                0.20959,                0.07823,                 2.3897,                 5.0783,                 2.1365,              0.0095289,              0.0095289,              0.0095289
                     16,                 1.6222,                 1.4445,                 1.6188,                 0.4297,                 0.2824,                 0.2662,                0.09263,                 2.2616,                 3.7745,                 2.0018,              0.0094605,              0.0094605,              0.0094605
                     17,                 1.5939,                 1.3864,                 1.5907,                0.40878,                0.24233,                0.22222,                0.07578,                 2.3914,                 3.2491,                  2.113,              0.0093877,              0.0093877,              0.0093877
                     18,                  1.582,                 1.3282,                 1.5774,                0.35458,                0.21486,                0.18943,                0.06432,                 2.5071,                 4.2492,                 2.2653,              0.0093107,              0.0093107,              0.0093107
                     19,                 1.5736,                 1.2831,                 1.5837,                0.20877,                0.09532,                 0.0682,                0.02339,                 2.8784,                 4.6505,                  2.477,              0.0092294,              0.0092294,              0.0092294
                     20,                 1.5433,                  1.283,                   1.56,                0.39998,                0.25848,                0.24187,                0.09744,                 2.4368,                 3.6173,                 2.1573,               0.009144,               0.009144,               0.009144
                     21,                 1.4574,                 1.1858,                 1.4904,                0.43972,                0.25363,                0.22649,                0.07964,                 2.5094,                 3.2498,                 2.2513,              0.0090546,              0.0090546,              0.0090546
                     22,                 1.4718,                 1.1001,                  1.506,                 0.3816,                0.23748,                0.20355,                0.07518,                  2.404,                 4.6711,                  2.155,              0.0089613,              0.0089613,              0.0089613
                     23,                 1.4645,                 1.0748,                  1.506,                0.37922,                0.26979,                0.23839,                0.09049,                 2.4321,                 3.5748,                 2.1517,               0.008864,               0.008864,               0.008864
                     24,                 1.4056,                0.96087,                 1.4615,                0.34835,                0.25444,                0.22476,                 0.0869,                 2.5008,                 3.7269,                 2.2401,               0.008763,               0.008763,               0.008763
                     25,                 1.3645,                0.95284,                 1.4268,                0.43934,                0.29564,                 0.2798,                0.10005,                 2.4273,                 3.1612,                 2.1928,              0.0086584,              0.0086584,              0.0086584
                     26,                 1.3064,                0.86503,                 1.3852,                0.42909,                0.26979,                0.26198,                 0.1004,                 2.5088,                  3.419,                 2.2365,              0.0085502,              0.0085502,              0.0085502
                     27,                 1.3007,                0.87961,                 1.3877,                0.42358,                0.28271,                0.25638,                0.09269,                 2.4733,                 4.1586,                 2.2618,              0.0084385,              0.0084385,              0.0084385
                     28,                  1.253,                0.80359,                 1.3478,                0.42203,                0.26575,                0.24429,                0.09061,                 2.5243,                 3.7048,                 2.2601,              0.0083235,              0.0083235,              0.0083235
                     29,                 1.2341,                0.83574,                 1.3381,                0.41754,                0.27948,                0.25758,                0.09858,                 2.4661,                 3.9321,                 2.2249,              0.0082052,              0.0082052,              0.0082052
                     30,                  1.195,                0.73798,                 1.3157,                0.42722,                0.28675,                0.26278,                0.09719,                 2.5561,                  3.869,                 2.3456,              0.0080839,              0.0080839,              0.0080839
                     31,                 1.1765,                0.75389,                 1.2983,                0.50554,                 0.2916,                0.28232,                0.11141,                 2.5411,                 3.4431,                 2.3953,              0.0079595,              0.0079595,              0.0079595
                     32,                 1.1009,                0.68955,                 1.2515,                0.45608,                0.27625,                 0.2719,                0.10242,                 2.5491,                 3.3521,                 2.5077,              0.0078323,              0.0078323,              0.0078323
                     33,                 1.0876,                0.67055,                 1.2373,                0.31788,                0.21405,                0.19354,                0.07122,                 2.5872,                 3.7349,                 2.4017,              0.0077023,              0.0077023,              0.0077023
                     34,                 1.0576,                0.65967,                 1.2166,                 0.4737,                0.24556,                0.24893,                0.09526,                 2.5879,                 3.8567,                 2.4407,              0.0075698,              0.0075698,              0.0075698
                     35,                 1.0206,                0.62705,                 1.1942,                0.41638,                0.25299,                0.24719,                0.09445,                 2.5023,                 3.7694,                 2.3659,              0.0074347,              0.0074347,              0.0074347
                     36,                0.97569,                0.59284,                 1.1642,                0.33853,                0.20598,                0.20194,                0.08214,                 2.5977,                  4.083,                 2.4016,              0.0072973,              0.0072973,              0.0072973
                     37,                0.94555,                0.56986,                  1.143,                0.50062,                 0.2496,                0.22488,                0.08367,                 2.5561,                 4.1659,                 2.4758,              0.0071576,              0.0071576,              0.0071576
                     38,                0.93053,                0.57139,                 1.1372,                 0.3998,                0.25929,                0.22059,                0.07602,                 2.5509,                 5.6553,                 2.5142,              0.0070159,              0.0070159,              0.0070159
                     39,                 0.8993,                0.54723,                 1.1154,                0.38157,                0.24475,                0.18855,                0.06952,                 2.5631,                  4.946,                 2.5863,              0.0068722,              0.0068722,              0.0068722
                     40,                 0.8621,                0.54535,                 1.0833,                0.41809,                0.27787,                0.22974,                0.08158,                 2.5442,                 4.3018,                 2.4798,              0.0067268,              0.0067268,              0.0067268
                     41,                  0.832,                0.51489,                 1.0728,                0.48735,                0.22859,                0.24924,                0.09872,                 2.5451,                 3.9325,                 2.4493,              0.0065796,              0.0065796,              0.0065796
                     42,                 0.8228,                0.50578,                  1.065,                0.38926,                0.23102,                0.20921,                0.08288,                 2.6369,                 4.6779,                 2.6412,               0.006431,               0.006431,               0.006431
                     43,                0.80024,                0.50054,                 1.0471,                0.45742,                0.26171,                0.24478,                0.09445,                 2.5328,                 4.1512,                 2.5522,               0.006281,               0.006281,               0.006281
                     44,                0.75487,                0.47257,                  1.022,                0.37172,                0.21363,                0.24281,                0.10024,                  2.567,                 4.3773,                 2.5121,              0.0061298,              0.0061298,              0.0061298
                     45,                0.72412,                0.45962,                 1.0053,                0.40718,                0.24475,                0.23529,                0.09229,                 2.5702,                 3.9511,                 2.5705,              0.0059775,              0.0059775,              0.0059775
                     46,                0.71573,                0.44846,                0.99822,                0.41237,                0.25283,                0.23938,                0.09081,                 2.5746,                 4.4858,                 2.5502,              0.0058244,              0.0058244,              0.0058244
                     47,                0.69295,                0.44103,                0.98472,                0.44062,                0.25848,                0.26656,                0.10643,                 2.5279,                 3.9809,                 2.6229,              0.0056704,              0.0056704,              0.0056704
                     48,                 0.6812,                0.42944,                 0.9748,                0.42241,                0.22698,                0.27006,                0.10669,                  2.615,                   4.15,                  2.633,              0.0055158,              0.0055158,              0.0055158
                     49,                0.66203,                0.41789,                0.96955,                0.46627,                 0.2399,                0.24443,                0.09636,                 2.5719,                  4.405,                 2.6408,              0.0053608,              0.0053608,              0.0053608
                     50,                0.64264,                0.40547,                 0.9539,                0.49127,                0.24475,                0.26934,                0.10856,                 2.5616,                  4.176,                 2.6546,              0.0052055,              0.0052055,              0.0052055
                     51,                0.60903,                0.39448,                0.94286,                0.37942,                0.24233,                0.23497,                0.08853,                  2.545,                 4.2895,                 2.5508,                0.00505,                0.00505,                0.00505
                     52,                0.58905,                0.38099,                0.93001,                0.42352,                0.24687,                0.24518,                0.09525,                 2.6015,                  4.668,                  2.695,              0.0048945,              0.0048945,              0.0048945
                     53,                0.57887,                0.37685,                0.92215,                 0.3828,                 0.2399,                 0.2284,                0.09005,                  2.596,                 5.1728,                 2.6044,              0.0047392,              0.0047392,              0.0047392
                     54,                0.54957,                0.36158,                0.90919,                0.41627,                0.22859,                0.23188,                0.08846,                 2.6245,                 4.3921,                  2.697,              0.0045842,              0.0045842,              0.0045842
                     55,                 0.5192,                0.34528,                0.89325,                0.45371,                0.22675,                 0.2526,                 0.1045,                 2.5699,                   4.43,                 2.6186,              0.0044296,              0.0044296,              0.0044296
                     56,                0.52276,                0.34454,                0.89791,                0.46781,                0.23263,                 0.2533,                0.10127,                 2.6187,                 4.5493,                 2.6983,              0.0042756,              0.0042756,              0.0042756
                     57,                0.51333,                0.33923,                0.89159,                0.49157,                0.23667,                0.28282,                0.11553,                 2.6134,                 4.2483,                 2.6757,              0.0041225,              0.0041225,              0.0041225
                     58,                0.48688,                0.32921,                 0.8809,                0.39551,                 0.2496,                0.26209,                0.10248,                 2.6266,                 4.3839,                 2.6971,              0.0039702,              0.0039702,              0.0039702
                     59,                0.46855,                 0.3196,                0.87541,                0.46361,                0.23425,                 0.2578,                 0.1038,                 2.6211,                 4.3396,                 2.7239,               0.003819,               0.003819,               0.003819
                     60,                0.45537,                0.31159,                0.87055,                0.42681,                0.24475,                0.27042,                  0.107,                 2.5832,                 4.4798,                 2.6135,               0.003669,               0.003669,               0.003669
                     61,                0.43849,                0.30127,                0.85865,                0.44886,                0.23586,                 0.2535,                0.09907,                 2.6625,                 4.4431,                 2.8014,              0.0035204,              0.0035204,              0.0035204
                     62,                0.43203,                0.29711,                0.85768,                0.44026,                0.23508,                0.27787,                0.11443,                 2.6259,                 4.2913,                 2.7166,              0.0033732,              0.0033732,              0.0033732
                     63,                0.41681,                0.29066,                0.84675,                0.47129,                 0.2391,                0.27202,                0.11247,                 2.6376,                  4.261,                 2.7889,              0.0032278,              0.0032278,              0.0032278
                     64,                 0.3959,                0.28128,                0.84507,                0.49635,                0.22859,                  0.276,                0.11195,                 2.5865,                 4.3104,                 2.7687,              0.0030841,              0.0030841,              0.0030841
                     65,                 0.3905,                0.28046,                0.84219,                0.47915,                0.23506,                0.25645,                0.10202,                 2.5976,                 4.5856,                 2.7096,              0.0029424,              0.0029424,              0.0029424
                     66,                0.38018,                0.27253,                0.83953,                0.45733,                0.22055,                0.28316,                0.11744,                 2.6279,                 4.3201,                 2.7462,              0.0028027,              0.0028027,              0.0028027
                     67,                 0.3616,                 0.2633,                0.83195,                0.46352,                0.24556,                0.28375,                0.11527,                 2.5601,                 4.4737,                 2.6959,              0.0026653,              0.0026653,              0.0026653
                     68,                0.34765,                0.25593,                0.82723,                0.50393,                0.22617,                0.29521,                0.12281,                 2.5981,                 4.3396,                 2.7504,              0.0025302,              0.0025302,              0.0025302
                     69,                0.33544,                0.24881,                0.82392,                0.48018,                0.22617,                0.26748,                0.10975,                 2.6094,                 4.3724,                  2.801,              0.0023977,              0.0023977,              0.0023977
                     70,                0.32152,                0.24513,                0.81935,                0.43884,                 0.2399,                0.27825,                 0.1158,                 2.6166,                 4.3982,                 2.7899,              0.0022677,              0.0022677,              0.0022677
                     71,                0.31868,                0.23881,                0.81948,                0.44218,                0.23748,                0.27992,                0.11525,                 2.6242,                  4.403,                 2.8565,              0.0021405,              0.0021405,              0.0021405
                     72,                0.30591,                0.23291,                 0.8148,                0.55698,                0.22052,                0.27063,                0.11098,                 2.6191,                 4.5573,                 2.7604,              0.0020161,              0.0020161,              0.0020161
                     73,                0.29369,                0.22852,                0.81146,                0.46701,                0.23427,                0.25351,                0.09755,                 2.6162,                  4.841,                  2.717,              0.0018948,              0.0018948,              0.0018948
                     74,                0.28056,                0.22131,                0.80571,                0.49744,                0.23586,                0.28811,                0.12003,                 2.6248,                 4.3884,                 2.7645,              0.0017765,              0.0017765,              0.0017765
                     75,                0.26734,                0.21303,                0.80525,                0.46481,                0.22213,                0.25214,                0.10032,                 2.6197,                 4.6082,                 2.7666,              0.0016615,              0.0016615,              0.0016615
                     76,                0.25816,                0.20905,                0.80203,                0.47863,                0.23586,                0.28223,                0.11747,                 2.6265,                 4.6612,                  2.827,              0.0015498,              0.0015498,              0.0015498
                     77,                0.25174,                0.20324,                0.80024,                 0.4658,                0.24717,                 0.2918,                0.11918,                 2.6591,                  4.496,                 2.8216,              0.0014416,              0.0014416,              0.0014416
                     78,                 0.2409,                0.19854,                0.79622,                0.45972,                0.23425,                0.27506,                 0.1117,                 2.6636,                 4.6843,                 2.9117,               0.001337,               0.001337,               0.001337
                     79,                 0.2341,                0.19487,                0.79506,                0.43949,                0.24765,                0.28161,                0.11376,                 2.6502,                 4.5343,                 2.8501,               0.001236,               0.001236,               0.001236
                     80,                0.22131,                0.18837,                0.79368,                0.46227,                0.23506,                0.28989,                0.11943,                 2.6479,                 4.4367,                 2.9064,              0.0011387,              0.0011387,              0.0011387
                     81,                0.21085,                0.18251,                0.79018,                0.47183,                 0.2391,                0.28986,                0.11898,                 2.6584,                 4.2652,                 2.9078,              0.0010454,              0.0010454,              0.0010454
                     82,                0.20624,                0.18069,                0.79013,                0.48379,                0.24233,                0.29612,                0.12128,                 2.6472,                 4.2779,                 2.9107,             0.00095595,             0.00095595,             0.00095595
                     83,                0.19933,                0.17721,                0.78575,                0.49813,                0.22375,                0.28307,                0.11469,                 2.6424,                 4.6124,                  2.811,             0.00087058,             0.00087058,             0.00087058
                     84,                 0.1911,                0.17328,                0.78707,                0.50038,                 0.2189,                0.28807,                0.12117,                 2.6157,                 4.3589,                 2.8908,             0.00078933,             0.00078933,             0.00078933
                     85,                0.18281,                0.16806,                 0.7852,                0.49405,                0.22456,                0.28577,                0.11777,                 2.6434,                 4.4299,                 2.8596,             0.00071228,             0.00071228,             0.00071228
                     86,                0.17618,                0.16518,                0.78398,                0.50003,                0.23183,                0.28629,                0.11621,                 2.6092,                 4.4902,                 2.8762,             0.00063952,             0.00063952,             0.00063952
                     87,                0.16987,                0.16114,                0.78279,                0.45746,                0.23974,                0.28863,                0.11785,                 2.6339,                 4.3903,                   2.91,             0.00057111,             0.00057111,             0.00057111
                     88,                0.16312,                0.15802,                0.78141,                0.46379,                0.23667,                 0.2949,                0.12149,                 2.6508,                 4.3689,                 2.9444,             0.00050711,             0.00050711,             0.00050711
                     89,                0.16021,                0.15543,                0.78198,                0.44188,                0.23279,                0.29139,                0.11999,                 2.6424,                 4.3862,                 2.8938,             0.00044761,             0.00044761,             0.00044761
                     90,                0.15532,                0.15413,                0.77989,                0.45196,                 0.2399,                 0.2891,                0.11821,                 2.6439,                 4.4318,                 2.9214,             0.00039264,             0.00039264,             0.00039264
                     91,                0.15187,                0.15209,                0.78015,                0.45168,                 0.2399,                 0.2894,                0.11964,                 2.6616,                  4.398,                  2.931,             0.00034227,             0.00034227,             0.00034227
                     92,                0.14779,                0.14879,                 0.7774,                0.49743,                0.22546,                0.29639,                0.12079,                 2.6581,                 4.4137,                 2.9669,             0.00029655,             0.00029655,             0.00029655
                     93,                0.14352,                0.14775,                0.77734,                0.51305,                0.22294,                0.29528,                0.12041,                 2.6578,                 4.3863,                  2.957,             0.00025551,             0.00025551,             0.00025551
                     94,                0.14024,                0.14542,                0.77667,                0.52234,                0.21809,                0.28921,                0.11853,                  2.677,                 4.4057,                 2.9709,             0.00021921,             0.00021921,             0.00021921
                     95,                0.13761,                0.14464,                0.77622,                0.51847,                0.22178,                0.29267,                0.12018,                 2.6663,                 4.3424,                 2.9678,             0.00018768,             0.00018768,             0.00018768
                     96,                0.13681,                0.14392,                 0.7741,                0.51183,                0.22132,                0.28741,                0.11837,                 2.6556,                 4.4101,                 2.9426,             0.00016094,             0.00016094,             0.00016094
                     97,                0.13516,                0.14329,                0.77707,                0.46914,                0.23414,                0.29443,                0.12051,                 2.6723,                 4.3793,                 2.9604,             0.00013903,             0.00013903,             0.00013903
                     98,                0.13247,                0.14187,                0.77294,                0.50829,                0.22462,                0.29572,                0.12202,                 2.6772,                 4.3585,                 2.9694,             0.00012197,             0.00012197,             0.00012197
                     99,                0.13537,                0.14252,                0.77778,                0.50177,                0.22294,                0.29141,                0.12044,                 2.6798,                 4.3628,                 2.9857,             0.00010977,             0.00010977,             0.00010977
                    100,                0.13102,                0.14033,                0.77555,                0.51466,                0.22213,                0.29312,                  0.121,                 2.6794,                 4.4144,                 2.9725,             0.00010244,             0.00010244,             0.00010244
