                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.13082,                0.17603,                 0.9419,                0.84848,                0.25225,                0.56161,                0.34431,                0.97981,                 3.2565,                 2.3892,               0.070818,             5.8377e-06,             5.8377e-06
                      2,                0.10164,                0.13669,                0.93028,                0.80488,                0.44595,                0.64502,                0.36964,                0.98139,                 2.4072,                 2.4602,               0.041462,             1.1708e-05,             1.1708e-05
                      3,                0.09163,                0.11876,                0.92892,                0.70388,                0.48986,                0.63579,                0.35075,                0.96672,                 2.4758,                 2.4537,               0.012107,              1.757e-05,              1.757e-05
                      4,                0.08531,                0.10884,                0.92774,                0.67841,                0.49887,                0.63704,                0.34806,                0.94997,                 2.2941,                 2.3899,             1.9969e-05,             1.9969e-05,             1.9969e-05
                      5,                0.08403,                0.10768,                0.93013,                0.67308,                0.47297,                0.61751,                 0.3442,                0.96599,                 2.3875,                 2.4194,             1.9946e-05,             1.9946e-05,             1.9946e-05
                      6,                0.08252,                0.10487,                0.92642,                 0.6608,                0.46509,                0.60739,                 0.3399,                0.96028,                 2.5266,                 2.3957,             1.9915e-05,             1.9915e-05,             1.9915e-05
                      7,                 0.0786,                 0.1036,                0.92901,                0.61868,                0.53716,                0.62647,                0.33265,                0.96581,                 2.2552,                 2.4562,             1.9878e-05,             1.9878e-05,             1.9878e-05
                      8,                0.07999,                0.10395,                0.92526,                0.57671,                 0.4741,                0.58068,                0.31849,                0.97137,                 2.3587,                 2.4311,             1.9834e-05,             1.9834e-05,             1.9834e-05
                      9,                 0.0789,                0.10289,                0.92623,                0.63022,                0.49324,                0.60454,                0.33991,                0.96097,                 2.3586,                 2.3981,             1.9783e-05,             1.9783e-05,             1.9783e-05
                     10,                0.07556,                0.10089,                0.92337,                0.56441,                 0.4786,                0.57185,                 0.3299,                0.97021,                 2.3867,                 2.4498,             1.9725e-05,             1.9725e-05,             1.9725e-05
                     11,                0.07444,                0.09915,                0.92326,                0.60544,                0.50113,                0.60811,                0.32566,                0.96766,                 2.3332,                  2.447,             1.9661e-05,             1.9661e-05,             1.9661e-05
                     12,                0.07431,                0.10031,                0.92501,                0.83256,                0.41667,                0.60124,                0.32407,                0.96046,                 2.2225,                 2.4865,             1.9591e-05,             1.9591e-05,             1.9591e-05
                     13,                0.07271,                0.09854,                0.92224,                0.65373,                0.49324,                0.61482,                0.33859,                0.97969,                 2.3569,                 2.4907,             1.9514e-05,             1.9514e-05,             1.9514e-05
                     14,                0.06998,                0.09602,                0.91868,                0.70588,                0.48649,                0.62817,                0.34572,                0.93395,                 2.4522,                 2.3767,              1.943e-05,              1.943e-05,              1.943e-05
                     15,                0.06979,                0.09702,                0.92201,                0.66395,                0.45833,                0.60098,                0.34366,                0.95298,                 2.4668,                  2.413,              1.934e-05,              1.934e-05,              1.934e-05
                     16,                0.07032,                0.09688,                 0.9262,                0.67993,                0.44257,                0.58773,                0.34807,                0.95346,                 2.5639,                 2.4022,             1.9243e-05,             1.9243e-05,             1.9243e-05
                     17,                0.06778,                0.09494,                0.92022,                0.67814,                0.44369,                0.59509,                0.35077,                0.96641,                 2.5168,                  2.471,             1.9141e-05,             1.9141e-05,             1.9141e-05
                     18,                0.06966,                0.09594,                0.92548,                0.63843,                0.47523,                0.60063,                0.34715,                0.92886,                 2.4135,                 2.3516,             1.9032e-05,             1.9032e-05,             1.9032e-05
                     19,                 0.0669,                0.09498,                 0.9243,                 0.6026,                0.46959,                0.57695,                0.32464,                 0.9653,                 2.4592,                  2.399,             1.8917e-05,             1.8917e-05,             1.8917e-05
                     20,                0.06524,                0.09163,                0.92248,                0.71506,                0.44369,                0.61824,                0.35489,                 0.9538,                 2.4611,                 2.4242,             1.8795e-05,             1.8795e-05,             1.8795e-05
                     21,                0.06598,                0.09164,                0.92084,                0.68547,                0.45158,                0.60408,                0.35993,                0.96216,                 2.5494,                 2.4039,             1.8668e-05,             1.8668e-05,             1.8668e-05
                     22,                0.06565,                0.09284,                0.92084,                 0.7231,                0.46171,                0.61983,                0.35892,                0.96406,                 2.4625,                 2.4173,             1.8535e-05,             1.8535e-05,             1.8535e-05
                     23,                0.06353,                0.08997,                0.92279,                0.67545,                0.46171,                0.61107,                0.35511,                0.97915,                 2.4524,                 2.4665,             1.8396e-05,             1.8396e-05,             1.8396e-05
                     24,                0.06121,                 0.0892,                0.91833,                0.65954,                0.45158,                0.59927,                0.35033,                0.98579,                 2.5493,                 2.4622,             1.8252e-05,             1.8252e-05,             1.8252e-05
                     25,                0.06252,                0.08881,                0.92352,                0.68159,                0.46284,                0.60931,                0.35658,                0.96072,                 2.4872,                 2.4458,             1.8102e-05,             1.8102e-05,             1.8102e-05
                     26,                0.06132,                0.08666,                0.91974,                0.66725,                0.42905,                0.59018,                0.35419,                0.97316,                 2.5466,                 2.4452,             1.7946e-05,             1.7946e-05,             1.7946e-05
                     27,                0.06117,                0.08719,                0.92025,                0.69245,                0.43356,                 0.5996,                0.35744,                0.97924,                 2.5388,                 2.4666,             1.7785e-05,             1.7785e-05,             1.7785e-05
                     28,                 0.0597,                0.08529,                0.91969,                0.67018,                0.43018,                0.59022,                0.35394,                 0.9645,                 2.5437,                  2.417,             1.7619e-05,             1.7619e-05,             1.7619e-05
                     29,                0.05954,                0.08522,                0.92096,                0.64252,                0.45946,                0.59875,                0.34579,                0.97549,                 2.4815,                 2.4706,             1.7447e-05,             1.7447e-05,             1.7447e-05
