                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6596,                 4.5376,                  2.323,                0.23269,                0.05902,                 0.0669,                0.03323,                    nan,                    nan,                    nan,               0.070054,              0.0033274,              0.0033274
                      2,                 2.2374,                 3.2693,                 2.0417,                0.54178,                0.10656,                0.08019,                0.04494,                 2.0827,                 28.059,                 1.8519,               0.040052,              0.0066591,              0.0066591
                      3,                 2.0528,                 2.8284,                  1.905,                0.16319,                0.13256,                0.13862,                0.08442,                 2.2538,                 4.2054,                 1.9347,               0.010044,              0.0099843,              0.0099843
                      4,                 1.8905,                 2.4615,                 1.7938,                0.15777,                0.17767,                0.14637,                 0.1007,                 2.0352,                 6.0679,                 1.8116,               0.009978,               0.009978,               0.009978
                      5,                 1.7465,                 2.1395,                 1.6878,                0.09457,                0.26937,                0.08066,                0.03226,                 1.9926,                 26.138,                 1.7781,               0.009961,               0.009961,               0.009961
                      6,                 1.6714,                 1.9832,                 1.6349,                0.20324,                0.20964,                0.15151,                0.08995,                 1.9346,                 4.9715,                 1.7145,              0.0099391,              0.0099391,              0.0099391
                      7,                 1.6101,                 1.8064,                 1.5857,                0.08416,                0.34969,                0.09577,                0.05141,                 2.1318,                    nan,                 1.8311,              0.0099123,              0.0099123,              0.0099123
                      8,                 1.5405,                 1.6722,                 1.5318,                0.08011,                0.15559,                0.11554,                0.05338,                 1.9936,                 5.8705,                  1.758,              0.0098808,              0.0098808,              0.0098808
                      9,                 1.4641,                 1.5031,                 1.4823,                0.13904,                0.22724,                0.11374,                0.05913,                 2.0828,                 5.4024,                 1.8714,              0.0098445,              0.0098445,              0.0098445
                     10,                 1.4346,                 1.4564,                 1.4589,                0.11991,                0.15049,                0.09332,                0.03655,                 2.0044,                  3.991,                 1.7767,              0.0098035,              0.0098035,              0.0098035
                     11,                 1.3495,                 1.3139,                 1.4047,                0.24451,                0.16889,                0.13487,                 0.0702,                 1.8965,                 4.0332,                 1.7422,              0.0097577,              0.0097577,              0.0097577
                     12,                 1.3205,                 1.2519,                 1.3849,                0.07438,                0.07844,                0.05217,                0.02186,                 2.2618,                 4.8024,                 1.9708,              0.0097074,              0.0097074,              0.0097074
                     13,                 1.2915,                 1.2009,                 1.3622,                0.09057,                0.13733,                0.08289,                0.03948,                 1.9529,                 3.9032,                 1.8152,              0.0096524,              0.0096524,              0.0096524
                     14,                 1.2455,                 1.0967,                 1.3309,                0.13827,                0.17081,                0.11217,                0.05093,                 1.9458,                 4.1559,                 1.7547,              0.0095929,              0.0095929,              0.0095929
                     15,                 1.2087,                  1.074,                 1.3093,                0.13723,                0.17124,                0.11057,                0.04678,                  2.079,                 4.8012,                 1.8744,              0.0095289,              0.0095289,              0.0095289
                     16,                 1.1576,                0.97136,                 1.2788,                0.13126,                0.61686,                 0.2124,                0.11036,                 1.9836,                  6.059,                 1.7859,              0.0094605,              0.0094605,              0.0094605
                     17,                  1.125,                0.91809,                 1.2542,                0.13249,                0.48523,                0.17407,                0.06752,                 2.0111,                 3.7514,                 1.8134,              0.0093877,              0.0093877,              0.0093877
                     18,                 1.0752,                0.87166,                 1.2205,                0.14662,                0.12396,                0.09564,                0.03723,                 2.0565,                 4.1413,                 1.8461,              0.0093107,              0.0093107,              0.0093107
                     19,                  1.062,                0.85728,                 1.2151,                0.14444,                0.15834,                0.11783,                 0.0528,                 2.0413,                 3.9362,                 1.9133,              0.0092294,              0.0092294,              0.0092294
                     20,                 1.0206,                0.80304,                  1.191,                0.28682,                0.14998,                0.11389,                0.04881,                 1.9349,                 3.9484,                 1.7756,               0.009144,               0.009144,               0.009144
                     21,                0.98416,                  0.773,                 1.1609,                0.13833,                0.12666,                 0.0712,                0.03008,                 2.0638,                 5.5476,                 1.8901,              0.0090546,              0.0090546,              0.0090546
                     22,                 0.9759,                0.77071,                 1.1589,                0.15819,                0.17288,                0.10622,                0.04208,                    nan,                    nan,                    nan,              0.0089613,              0.0089613,              0.0089613
                     23,                0.92541,                0.72704,                 1.1334,                0.12058,                0.11969,                0.06229,                0.02329,                 2.1915,                 6.5422,                 2.0469,               0.008864,               0.008864,               0.008864
                     24,                0.90927,                 0.6932,                  1.115,                0.18223,                 0.1301,                0.10457,                0.04371,                 2.0331,                 8.3181,                 1.9506,               0.008763,               0.008763,               0.008763
                     25,                 0.8893,                0.66846,                 1.1008,                0.11715,                0.14499,                0.06778,                0.02696,                 1.9845,                 4.5579,                 1.8253,              0.0086584,              0.0086584,              0.0086584
                     26,                0.86746,                0.66205,                 1.0907,                0.27618,                 0.1074,                0.09519,                0.05002,                 2.0713,                 5.1715,                 1.9712,              0.0085502,              0.0085502,              0.0085502
                     27,                0.83967,                0.62931,                 1.0719,                0.13885,                0.31543,                0.14958,                  0.091,                 2.0291,                 4.2344,                  1.975,              0.0084385,              0.0084385,              0.0084385
                     28,                0.82588,                0.62102,                 1.0659,                0.08993,                0.33439,                0.08648,                  0.042,                  2.216,                 69.183,                  2.094,              0.0083235,              0.0083235,              0.0083235
                     29,                0.77765,                0.59527,                 1.0369,                0.16486,                0.16529,                0.10843,                0.04197,                 2.0356,                 4.2936,                 1.9523,              0.0082052,              0.0082052,              0.0082052
                     30,                0.76265,                0.56464,                 1.0285,                0.16256,                0.10346,                0.06829,                0.02485,                 2.0895,                 4.0743,                 1.9681,              0.0080839,              0.0080839,              0.0080839
                     31,                0.74283,                 0.5617,                 1.0144,                0.24256,                0.09299,                0.10531,                  0.041,                 2.2173,                  5.647,                 2.1039,              0.0079595,              0.0079595,              0.0079595
                     32,                0.74112,                0.55045,                 1.0128,                0.15497,                0.14376,                0.09969,                 0.0476,                 2.1315,                 4.3504,                 2.0085,              0.0078323,              0.0078323,              0.0078323
                     33,                0.72126,                 0.5207,                0.99739,                0.12672,                0.11616,                0.06823,                0.02882,                  2.169,                 4.4768,                 2.1009,              0.0077023,              0.0077023,              0.0077023
                     34,                0.69687,                0.51157,                0.98733,                0.12602,                0.12052,                0.09598,                0.04504,                 2.0416,                 4.7132,                 2.0219,              0.0075698,              0.0075698,              0.0075698
                     35,                0.69912,                0.51091,                0.98115,                0.15187,                0.12852,                 0.1015,                0.05018,                 2.1117,                 4.4115,                 2.1073,              0.0074347,              0.0074347,              0.0074347
                     36,                0.65428,                0.49191,                   0.96,                0.33006,                0.09098,                0.09766,                0.04425,                 2.0582,                 4.7509,                 1.9713,              0.0072973,              0.0072973,              0.0072973
                     37,                0.65277,                0.47742,                0.96211,                0.29914,                0.11565,                 0.0833,                0.03659,                 2.0945,                 4.4883,                  2.056,              0.0071576,              0.0071576,              0.0071576
                     38,                0.63383,                0.46653,                0.95112,                0.16117,                0.14543,                0.08878,                0.03242,                 2.0821,                 5.5065,                 2.0726,              0.0070159,              0.0070159,              0.0070159
                     39,                0.63091,                0.46376,                0.94598,                 0.1518,                0.13658,                0.08673,                0.03692,                 2.1225,                 4.5587,                 2.0837,              0.0068722,              0.0068722,              0.0068722
                     40,                0.60125,                0.44168,                0.93802,                0.17168,                0.13402,                0.09276,                0.03734,                 2.1105,                   4.19,                 2.0581,              0.0067268,              0.0067268,              0.0067268
                     41,                0.58205,                0.42464,                0.92626,                0.14191,                0.12501,                 0.0885,                0.03727,                 2.1247,                 4.3444,                 2.1304,              0.0065796,              0.0065796,              0.0065796
                     42,                0.56977,                0.42043,                0.91969,                0.11949,                0.11598,                 0.0673,                0.02869,                  2.139,                 4.4929,                 2.0814,               0.006431,               0.006431,               0.006431
                     43,                0.55811,                0.41136,                0.91314,                0.14713,                 0.1214,                0.09446,                  0.045,                 2.0877,                 4.4505,                 2.0378,               0.006281,               0.006281,               0.006281
                     44,                0.55552,                 0.4072,                0.90768,                0.18241,                0.11289,                0.09022,                0.03799,                  2.125,                 4.2204,                 2.1475,              0.0061298,              0.0061298,              0.0061298
                     45,                0.53506,                0.39815,                0.89884,                0.17215,                0.11311,                0.08914,                0.03557,                  2.101,                 4.3215,                 2.0747,              0.0059775,              0.0059775,              0.0059775
                     46,                 0.5265,                0.38754,                0.89503,                0.14232,                0.11674,                0.09244,                0.04093,                 2.0382,                 4.2108,                 2.0295,              0.0058244,              0.0058244,              0.0058244
                     47,                0.50828,                 0.3758,                0.88629,                0.17189,                0.14127,                0.10104,                0.04233,                 2.0541,                 4.2158,                 2.0932,              0.0056704,              0.0056704,              0.0056704
                     48,                0.48969,                0.36622,                0.88384,                0.30444,                0.10398,                0.08401,                0.03595,                 2.0623,                 4.3035,                 2.0322,              0.0055158,              0.0055158,              0.0055158
                     49,                0.48225,                0.35876,                0.87502,                0.17262,                0.11011,                 0.0825,                0.03379,                  2.142,                 4.3092,                  2.156,              0.0053608,              0.0053608,              0.0053608
